Rk	break	team	Pts	Spk	1sts	2nds
1	1	LSE A	24	1499.00	6	3
2	2	Sydney E	22	1475.00	6	2
3	3	Backpack	21	1497.00	6	1
4	4	Yale A	21	1484.00	4	4
5	5	Zagreb A	21	1478.00	5	2
6	6	Harvard B	21	1468.00	6	1
7	7	Yale C	21	1450.00	5	2
8	8	Oxford B	20	1478.00	3	5
9	9	Harvard A	20	1477.00	4	3
10	10	Oxford C	20	1474.00	5	2
11	11	IBA Dhaka A	20	1454.00	5	2
12	12	UC Dublin L&amp;H A	20	1452.00	5	2
13	(different break)	OU Israel A	20	1423.00	5	2
14	13	Macquarie B	19	1488.00	5	1
15	14	Cambridge A	19	1472.00	5	2
16	15	Melbourne A	19	1470.00	4	3
17	16	Hart House C	19	1454.00	5	1
18	17	Sydney D	19	1453.00	4	3
19	18	Yale E	19	1453.00	4	2
20	19	Durham A	19	1450.00	4	2
21	20	ANU A	19	1435.00	5	1
22	21	Stanford A	19	1426.00	6	0
23	22	McGill A	19	1426.00	4	3
24	23	Sydney A	18	1479.00	3	4
25	24	IBA Dhaka B	18	1463.00	4	2
26	25	Ateneo A	18	1460.00	4	2
27	26	Sydney B	18	1457.00	5	1
28	27	Helsinki A	18	1456.00	3	4
29	28	NUS A	18	1455.00	4	2
30	29	Oxford D	18	1454.00	4	2
31	30	Otago A	18	1454.00	4	1
32	31	Stanford C	18	1448.00	3	4
33	32	Bristol A	18	1443.00	5	1
34	33	Vic Wellington A	18	1443.00	4	2
35	34	Symbiosis A	18	1434.00	3	3
36	35	McGill B	18	1433.00	2	5
37	36	Sydney F	18	1432.00	4	2
38	37	HKU A	18	1429.00	5	1
39	38	Princeton C	18	1421.00	2	6
40	39	Taylor&#x27;s A	18	1419.00	4	2
41	40	Northeastern USA A	18	1415.00	3	3
42	41	ANU C	18	1409.00	5	1
43	42	Belgrade A	17	1475.00	4	1
44	43	Macquarie A	17	1465.00	3	4
45	44	Stanford B	17	1453.00	5	0
46	45	Taylor&#x27;s B	17	1446.00	3	3
47	46	LSE C	17	1444.00	3	4
48	47	Princeton D	17	1442.00	3	3
49	48	Pennsylvania A	17	1440.00	5	0
