Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev	Num
1	Speaker 2		Backpack	80	82	86	88	81	86	85	83	82	753	83.67	2.54	9
2	Arth Mishra		LSE A	83	85	84	83	82	81	85	83	85	751	83.44	1.34	9
3=	Abhinav Reddy Bathula		LSE A	81	85	83	82	83	81	83	85	85	748	83.11	1.52	9
3=	Ben Jackson		Macquarie B	80	85	84	87	81	81	83	86	81	748	83.11	2.38	9
5=	Shruti Baxi		Yale A	81	82	82	81	83	85	82	84	84	744	82.67	1.33	9
5=	Speaker 1		Backpack	81	81	83	86	80	86	82	82	83	744	82.67	2.00	9
7=	Eden Blair		Sydney A	83	81	79	85	84	84	82	80	84	742	82.44	1.95	9
7=	Rachel O&#x27;Nunain		Oxford B	80	79	84	84	83	86	82	83	81	742	82.44	2.06	9
9=	William Arnesen		Yale A	81	83	82	80	83	84	82	81	84	740	82.22	1.31	9
9=	Dominic Guinane		Macquarie B	80	85	84	86	80	79	81	85	80	740	82.22	2.57	9
9=	Tin Puljić	ESL	Zagreb A	81	83	82	78	83	82	83	85	83	740	82.22	1.81	9
9=	Aditya Dhar		Harvard A	81	83	84	82	83	81	82	82	82	740	82.22	0.92	9
13=	Samuel Arnesen		Princeton A	82	84	82	82	82	84	80	83	80	739	82.11	1.37	9
13=	Speaker 1		Oxford C	80	85	82	85	80	82	79	84	82	739	82.11	2.08	9
13=	Milos Marjanovic	ESL	Belgrade A	82	81	83	83	84	85	82	81	78	739	82.11	1.91	9
16=	Seamus Dove		Sydney E	80	81	82	81	82	81	84	83	84	738	82.00	1.33	9
16=	Luka Petrovic	ESL	Zagreb A	80	83	82	79	85	80	82	85	82	738	82.00	2.00	9
18=	Michel Nehme		Harvard A	82	80	85	81	84	79	82	82	82	737	81.89	1.73	9
18=	James Pacino		Sydney A	81	82	80	84	83	83	80	80	84	737	81.89	1.59	9
18=	Marcus McCulloch		Sydney E	81	80	82	80	83	81	85	83	82	737	81.89	1.52	9
