team	result	side	adjudicators
Duke BF	3rd	Opening Government	Suman MitraⒸ , Emily Paulin
Davidson ML	4th	Opening Opposition	Suman MitraⒸ , Emily Paulin
Northeastern AS	1st	Closing Government	Suman MitraⒸ , Emily Paulin
Harvard KY	2nd	Closing Opposition	Suman MitraⒸ , Emily Paulin
Swing 4	1st	Opening Government	Trinh Le QuangⒸ , Kayla Powers
Swing 2	2nd	Opening Opposition	Trinh Le QuangⒸ , Kayla Powers
UCLA HN	3rd	Closing Government	Trinh Le QuangⒸ , Kayla Powers
UCSD FH	4th	Closing Opposition	Trinh Le QuangⒸ , Kayla Powers
Hart House EM	2nd	Opening Government	Jacob SilcoffⒸ , Gwen Stearns , Pranav Anand
GWU PM	3rd	Opening Opposition	Jacob SilcoffⒸ , Gwen Stearns , Pranav Anand
Yale BT	4th	Closing Government	Jacob SilcoffⒸ , Gwen Stearns , Pranav Anand
Hart House YY	1st	Closing Opposition	Jacob SilcoffⒸ , Gwen Stearns , Pranav Anand
UAlberta DT	2nd	Opening Government	Saron TeferraⒸ , Alex Bavalsky
Princeton CW	3rd	Opening Opposition	Saron TeferraⒸ , Alex Bavalsky
MDU AS	4th	Closing Government	Saron TeferraⒸ , Alex Bavalsky
UCSD HU	1st	Closing Opposition	Saron TeferraⒸ , Alex Bavalsky
UMiami LR	3rd	Opening Government	Sinziana StanciuⒸ , Mayank Sharan
QDU CW	2nd	Opening Opposition	Sinziana StanciuⒸ , Mayank Sharan
HWS LW	1st	Closing Government	Sinziana StanciuⒸ , Mayank Sharan
Davidson DW	4th	Closing Opposition	Sinziana StanciuⒸ , Mayank Sharan
JHU CW	1st	Opening Government	Aoileann Ní MhurchúⒸ , Emily Shi , Liliana Gómez
MDU KL	4th	Opening Opposition	Aoileann Ní MhurchúⒸ , Emily Shi , Liliana Gómez
Davidson BC	2nd	Closing Government	Aoileann Ní MhurchúⒸ , Emily Shi , Liliana Gómez
MDU DK	3rd	Closing Opposition	Aoileann Ní MhurchúⒸ , Emily Shi , Liliana Gómez
MDU NZ	1st	Closing Government	Daniel Maier-GantⒸ , Aditya Dhar , Da&#x27;Von Boyd
Princeton HW	3rd	Closing Opposition	Daniel Maier-GantⒸ , Aditya Dhar , Da&#x27;Von Boyd
Princeton GI	4th	Opening Opposition	Daniel Maier-GantⒸ , Aditya Dhar , Da&#x27;Von Boyd
TEC OV	3rd	Opening Opposition	Sajneet MangatⒸ , Jessica Singh
QDU KM	1st	Closing Government	Sajneet MangatⒸ , Jessica Singh
Carleton GK	4th	Closing Opposition	Sajneet MangatⒸ , Jessica Singh
Dartmouth AE	4th	Opening Opposition	Jack PalmerⒸ , Gaveal Fan
Williams IL	1st	Closing Government	Jack PalmerⒸ , Gaveal Fan
TEC GV	2nd	Closing Opposition	Jack PalmerⒸ , Gaveal Fan
UWODS CL	1st	Opening Government	Udai KamathⒸ , Patrick Cowley , Ritabrata Mitra
JHU GL	4th	Opening Opposition	Udai KamathⒸ , Patrick Cowley , Ritabrata Mitra
UChicago CG	3rd	Closing Government	Udai KamathⒸ , Patrick Cowley , Ritabrata Mitra
Princeton MJ	2nd	Closing Opposition	Udai KamathⒸ , Patrick Cowley , Ritabrata Mitra
Yale AT	2nd	Opening Government	Kiana Saint-MacaryⒸ , Kate Xinyi He , Simon Luo
QDU DM	4th	Opening Opposition	Kiana Saint-MacaryⒸ , Kate Xinyi He , Simon Luo
