Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Zagreb A	25	1507.00	7	2
2	(different break)	Taylor’s 1	20	1460.00	4	4
3	(different break)	Sofia A	19	1446.00	4	3
4	(different break)	Belgrade A	19	1433.00	4	3
5	(different break)	Tokyo A	18	1445.00	4	2
6	(different break)	LUMS B	18	1424.00	2	5
7	(different break)	NU Q	18	1404.00	3	3
8	(different break)	GLC Z	18	1396.00	4	2
9	(different break)	Streitkultur A	17	1449.00	4	1
10	(different break)	HUJI B	17	1444.00	3	3
11	1	DLSU 1	17	1431.00	5	0
12	2	BDU 2	17	1424.00	3	3
13	3	TAU 1	17	1419.00	2	5
14	4	UST 1	17	1414.00	3	3
15	5	Sunway A	17	1401.00	3	3
16	6	Zagreb B	16	1441.00	4	2
17	7	UNWE 1	16	1432.00	3	2
18	8	HWS A	16	1427.00	3	2
19	9	De La Salle 2	16	1414.00	4	1
20	10	Leiden B	16	1413.00	3	3
21	11	Macau 1	16	1408.00	2	4
22	12	Zagreb C	16	1407.00	3	3
23	13	Edinburgh C	16	1407.00	2	5
24	14	SolBridge 2	16	1401.00	4	0
25	15	KEIO 1	16	1400.00	4	2
26	16	UPLB 1	16	1398.00	1	5
