Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
1	Zagreb A	ESL	1st	1st	1st	1st	1st	2nd	1st	2nd	1st	25	1507	7	2
2	Ateneo de Manila 1		1st	1st	1st	1st	2nd	1st	2nd	1st	2nd	24	1492	6	3
3	ANU 1		1st	3rd	1st	4th	1st	1st	1st	1st	1st	22	1459	7	0
4	Edinburgh A		1st	1st	3rd	1st	1st	3rd	1st	1st	3rd	21	1476	6	0
5	LSE B		1st	1st	2nd	1st	4th	2nd	1st	1st	2nd	21	1470	5	3
6	NUS A		1st	1st	3rd	2nd	2nd	1st	2nd	2nd	1st	21	1461	4	4
7	Harvard A		1st	1st	2nd	1st	3rd	3rd	1st	2nd	1st	21	1460	5	2
8	McGill A		1st	1st	1st	3rd	2nd	1st	1st	4th	2nd	20	1468	5	2
9	Taylor’s 1	ESL	1st	1st	2nd	2nd	2nd	1st	2nd	4th	1st	20	1460	4	4
10	Monash 2		1st	2nd	1st	4th	3rd	2nd	1st	1st	1st	20	1448	5	2
11	Oxford 1		1st	1st	1st	2nd	2nd	1st	3rd	3rd	2nd	20	1448	4	3
12	Yale 2		3rd	1st	2nd	1st	2nd	3rd	2nd	1st	1st	20	1446	4	3
13	Bard A		1st	1st	3rd	1st	3rd	3rd	2nd	1st	1st	20	1432	5	1
14	Ateneo de Manila 2		1st	2nd	2nd	4th	1st	1st	1st	4th	1st	19	1476	5	2
15	Princeton C		1st	1st	1st	2nd	4th	2nd	3rd	2nd	1st	19	1463	4	3
16	MQU A		1st	2nd	1st	3rd	1st	1st	1st	3rd	4th	19	1457	5	1
17	LSE A		2nd	1st	2nd	1st	3rd	1st	4th	1st	2nd	19	1457	4	3
18	Princeton B		1st	1st	2nd	2nd	4th	2nd	2nd	1st	2nd	19	1449	3	5
19	Bates 1		1st	2nd	1st	3rd	4th	1st	3rd	1st	1st	19	1448	5	1
20	Sofia A	ESL, EFL	1st	1st	2nd	4th	1st	2nd	1st	2nd	3rd	19	1446	4	3
21	Oxford C		1st	4th	1st	1st	2nd	3rd	1st	1st	3rd	19	1442	5	1
22	Edinburgh B		1st	3rd	1st	1st	3rd	1st	3rd	3rd	1st	19	1441	5	0
23	Auckland B		1st	2nd	3rd	3rd	1st	2nd	1st	2nd	2nd	19	1436	3	4
24	Belgrade A	ESL	1st	4th	1st	2nd	3rd	1st	1st	2nd	2nd	19	1433	4	3
25	Harvard B		1st	1st	4th	1st	3rd	3rd	2nd	1st	1st	19	1430	5	1
26	Hart House A		1st	2nd	1st	1st	1st	3rd	4th	2nd	3rd	18	1465	4	2
27	Sydney A		1st	3rd	1st	1st	1st	2nd	4th	1st	4th	18	1455	5	1
28	Yale 1		3rd	1st	1st	2nd	1st	3rd	2nd	1st	4th	18	1454	4	2
29	Sydney B		1st	1st	3rd	2nd	1st	2nd	4th	2nd	2nd	18	1452	3	4
30	TCD Hist 1		2nd	1st	2nd	2nd	1st	1st	3rd	4th	2nd	18	1450	3	4
31	Melbourne 1		2nd	1st	1st	3rd	2nd	4th	1st	1st	3rd	18	1449	4	2
32	Ateneo 4		1st	3rd	1st	1st	1st	4th	3rd	3rd	1st	18	1447	5	0
