team	result	side	adjudicators
QDU Phone Eaters	3rd	Opening Government	Josh Cohen🥺Ⓒ , George Macauley , Nikta Ghozati , Peter Kouzovnikov
SMU 2	4th	Opening Opposition	Josh Cohen🥺Ⓒ , George Macauley , Nikta Ghozati , Peter Kouzovnikov
EDS Beat Jacob Silcoff	2nd	Closing Government	Josh Cohen🥺Ⓒ , George Macauley , Nikta Ghozati , Peter Kouzovnikov
QDU dr.pepper? I hardly know her	1st	Closing Opposition	Josh Cohen🥺Ⓒ , George Macauley , Nikta Ghozati , Peter Kouzovnikov
HH Speed-date	3rd	Opening Government	Anaïs Kneppers🦥Ⓒ , Abhay Katoch , Harvi Karatha
UWODS NBA Superstar Shaira LeBoeuf	2nd	Opening Opposition	Anaïs Kneppers🦥Ⓒ , Abhay Katoch , Harvi Karatha
SMU SMU Business Casual	4th	Closing Government	Anaïs Kneppers🦥Ⓒ , Abhay Katoch , Harvi Karatha
QDU girlpilled	1st	Closing Opposition	Anaïs Kneppers🦥Ⓒ , Abhay Katoch , Harvi Karatha
QDU Secondarily	1st	Opening Government	Tanvir Shahriar🍑Ⓒ , Nicholas Ng , Pedro Proano , Sydney Sickinger
UW Saudi Sports Tourism Ambassadors	3rd	Opening Opposition	Tanvir Shahriar🍑Ⓒ , Nicholas Ng , Pedro Proano , Sydney Sickinger
MDU 3	4th	Closing Government	Tanvir Shahriar🍑Ⓒ , Nicholas Ng , Pedro Proano , Sydney Sickinger
UBC BiBo	2nd	Closing Opposition	Tanvir Shahriar🍑Ⓒ , Nicholas Ng , Pedro Proano , Sydney Sickinger
Hybrid 1	3rd	Opening Government	Karel BrandenbargⒸ , Owen Cruickshank , Simon Yu , Tristan Jones
UWODS pink crocs	4th	Opening Opposition	Karel BrandenbargⒸ , Owen Cruickshank , Simon Yu , Tristan Jones
HH Stressed and Depressed	2nd	Closing Government	Karel BrandenbargⒸ , Owen Cruickshank , Simon Yu , Tristan Jones
MDU beat off jacob silcoff	1st	Closing Opposition	Karel BrandenbargⒸ , Owen Cruickshank , Simon Yu , Tristan Jones
EDS 3	4th	Opening Government	Jonathon FrontainⒸ , Julia Van Damme , Rohan Kiska , Youssef WasefⓉ
HH Left For Milk	2nd	Opening Opposition	Jonathon FrontainⒸ , Julia Van Damme , Rohan Kiska , Youssef WasefⓉ
CUDS Papa’s Burgeria	3rd	Closing Government	Jonathon FrontainⒸ , Julia Van Damme , Rohan Kiska , Youssef WasefⓉ
UW Harold and Kumar: The World	1st	Closing Opposition	Jonathon FrontainⒸ , Julia Van Damme , Rohan Kiska , Youssef WasefⓉ
QDU Livi&#x27;s Legionaires	3rd	Opening Government	Mehdi BouchentoufⒸ , Aidan O&#x27;Brien , Navdeep Singh Badhan , Saharsh Suryadevara
HH Asian Persuasions	4th	Opening Opposition	Mehdi BouchentoufⒸ , Aidan O&#x27;Brien , Navdeep Singh Badhan , Saharsh Suryadevara
UAlberta Oil Money Debate Society	2nd	Closing Government	Mehdi BouchentoufⒸ , Aidan O&#x27;Brien , Navdeep Singh Badhan , Saharsh Suryadevara
UWODS Revenge Tour	1st	Closing Opposition	Mehdi BouchentoufⒸ , Aidan O&#x27;Brien , Navdeep Singh Badhan , Saharsh Suryadevara
MDU Beat Jacob Silc off	2nd	Opening Government	Jaleelah AmmarⒸ , Emma Jones❤️ , Sami El Sayed , Valerie Pang
UW fifa x budweiser; lovers to enemies	1st	Opening Opposition	Jaleelah AmmarⒸ , Emma Jones❤️ , Sami El Sayed , Valerie Pang
SODALES 2	4th	Closing Government	Jaleelah AmmarⒸ , Emma Jones❤️ , Sami El Sayed , Valerie Pang
SODALES JFK and Tanned Fidel Castro	3rd	Closing Opposition	Jaleelah AmmarⒸ , Emma Jones❤️ , Sami El Sayed , Valerie Pang
HH illegally right	2nd	Opening Government	Joseph Wu🦦Ⓒ , Gregory Kwok , Mark Ghazi
UW Jungkook Best FIFA opener	1st	Opening Opposition	Joseph Wu🦦Ⓒ , Gregory Kwok , Mark Ghazi
EDS 4	4th	Closing Government	Joseph Wu🦦Ⓒ , Gregory Kwok , Mark Ghazi
EDS Excetra	3rd	Closing Opposition	Joseph Wu🦦Ⓒ , Gregory Kwok , Mark Ghazi
UW Luis Suarez&#x27; Fourth Biting Incident	4th	Opening Government	Joey KaramⒸ , David Chen🚀 , Ella Brown , Silin Wei
HH Team Rocket	1st	Opening Opposition	Joey KaramⒸ , David Chen🚀 , Ella Brown , Silin Wei
UWODS Sympathy Tour	2nd	Closing Government	Joey KaramⒸ , David Chen🚀 , Ella Brown , Silin Wei
MDU beating beat Jacob Silcoff	3rd	Closing Opposition	Joey KaramⒸ , David Chen🚀 , Ella Brown , Silin Wei
