Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	MDU beat off jacob silcoff		1st	1st	1st	1st	2nd	14	806	4	1
2	QDU Livi&#x27;s Legionaires		1st	3rd	1st	2nd	1st	12	802	3	1
3	UBC BiBo		2nd	2nd	2nd	1st	1st	12	790	2	3
4	MDU beating beat Jacob Silcoff		2nd	3rd	1st	2nd	1st	11	803	2	2
5	UWODS Revenge Tour	Novice	1st	1st	2nd	3rd	3rd	10	795	2	1
6	UAlberta Oil Money Debate Society		1st	2nd	2nd	1st	4th	10	793	2	2
7	UWODS Sympathy Tour		2nd	2nd	1st	2nd	3rd	10	792	1	3
8	HH Stressed and Depressed		2nd	2nd	3rd	1st	2nd	10	788	1	3
9	HH Team Rocket		3rd	1st	1st	4th	2nd	9	801	2	1
10	QDU Secondarily		2nd	1st	3rd	4th	1st	9	790	2	1
11	SODALES JFK and Tanned Fidel Castro		1st	3rd	3rd	2nd	2nd	9	779	1	2
12	QDU girlpilled	Novice	3rd	1st	3rd	3rd	1st	9	770	2	0
13	UWODS pink crocs		1st	4th	2nd	2nd	3rd	8	785	1	2
14	Hybrid 1		2nd	3rd	2nd	3rd	2nd	8	779	0	3
15	QDU dr.pepper? I hardly know her		3rd	1st	2nd	3rd	3rd	8	777	1	1
16	MDU Beat Jacob Silc off	Novice	1st	2nd	4th	1st	4th	8	775	2	1
17	HH Left For Milk		4th	2nd	3rd	2nd	1st	8	771	1	2
18	UW Jungkook Best FIFA opener		4th	1st	4th	2nd	1st	8	759	2	1
19	MDU 3	Novice	3rd	4th	1st	2nd	2nd	8	757	1	2
20	HH Asian Persuasions		1st	4th	1st	4th	3rd	7	783	2	0
21	UW fifa x budweiser; lovers to enemies	Novice	1st	1st	4th	3rd	4th	7	766	2	0
22	HH illegally right		4th	2nd	4th	1st	2nd	7	762	1	2
23	UWODS NBA Superstar Shaira LeBoeuf		3rd	2nd	3rd	4th	1st	7	755	1	1
24	QDU Phone Eaters	Novice	3rd	3rd	1st	4th	3rd	6	765	1	0
25	UW Harold and Kumar: The World	Novice	4th	1st	3rd	4th	2nd	6	763	1	1
26	EDS 3	Novice	4th	4th	1st	1st	4th	6	758	2	0
27	EDS Beat Jacob Silcoff	Novice	3rd	2nd	4th	1st	4th	6	747	1	1
28	CUDS Papa’s Burgeria	Novice	4th	3rd	3rd	3rd	1st	6	730	1	0
29	SODALES 2	Novice	2nd	4th	2nd	3rd	4th	5	744	0	2
30	SMU SMU Business Casual	Novice	3rd	4th	2nd	4th	2nd	5	727	0	2
31	EDS Excetra	Novice	4th	3rd	4th	1st	3rd	5	719	1	0
32	UW Luis Suarez&#x27; Fourth Biting Incident		2nd	4th	4th	3rd	3rd	4	741	0	1
33=	HH Speed-date	Novice	4th	3rd	4th	2nd	3rd	4	722	0	1
33=	SMU 2	Novice	3rd	4th	2nd	3rd	4th	4	722	0	1
35	UW Saudi Sports Tourism Ambassadors	Novice	2nd	3rd	4th	4th	4th	3	733	0	1
36	EDS 4	Novice	4th	4th	3rd	4th	4th	1	690	0	0
37	Swinging bats		—	—	—	—	—	—	—	0	0
