team	result	side	adjudicators
UPenn GL	advancing	Opening Government	Isabel OrlandoⒸ , Jacob Silcoff , Tanush Bahl
HWS KP	advancing	Opening Opposition	Isabel OrlandoⒸ , Jacob Silcoff , Tanush Bahl
Hybrid SA	eliminated	Closing Government	Isabel OrlandoⒸ , Jacob Silcoff , Tanush Bahl
Stanford KZ	eliminated	Closing Opposition	Isabel OrlandoⒸ , Jacob Silcoff , Tanush Bahl
Princeton LS	advancing	Opening Government	Rodolfo Flores MendezⒸ , Javier Pacheco , Ruth Silcoff
Princeton AI	advancing	Opening Opposition	Rodolfo Flores MendezⒸ , Javier Pacheco , Ruth Silcoff
Princeton CG	eliminated	Closing Government	Rodolfo Flores MendezⒸ , Javier Pacheco , Ruth Silcoff
Hybrid NM	eliminated	Closing Opposition	Rodolfo Flores MendezⒸ , Javier Pacheco , Ruth Silcoff
Princeton CL	advancing	Opening Government	Gaveal FanⒸ , Pranav Anand , Tomek Botwicz
USC LJ	eliminated	Opening Opposition	Gaveal FanⒸ , Pranav Anand , Tomek Botwicz
Duke BC	eliminated	Closing Government	Gaveal FanⒸ , Pranav Anand , Tomek Botwicz
Princeton ML	advancing	Closing Opposition	Gaveal FanⒸ , Pranav Anand , Tomek Botwicz
Stanford SZ	advancing	Opening Government	Isabel BirneyⒸ , Ben Kim , Júlia García Güell
Stanford QY	eliminated	Opening Opposition	Isabel BirneyⒸ , Ben Kim , Júlia García Güell
HWS RT	eliminated	Closing Government	Isabel BirneyⒸ , Ben Kim , Júlia García Güell
UChicago GM	advancing	Closing Opposition	Isabel BirneyⒸ , Ben Kim , Júlia García Güell
