Rk	break	team	Pts	Spk	1sts	2nds
1	1	Stanford SZ	15	812.00	5	0
2	2	Princeton CL	12	799.00	2	3
3	3	Princeton LS	12	791.00	4	0
4	4	Hybrid SA	12	778.00	2	3
5	5	HWS KP	11	792.00	3	1
6	6	Hybrid NM	11	792.00	2	2
7	7	Duke BC	11	789.00	3	1
8	8	UChicago GM	11	767.00	3	0
9	9	Stanford QY	11	767.00	2	2
10	10	Princeton ML	10	794.00	2	1
11	11	Princeton AI	10	785.00	2	1
12	12	UPenn GL	10	777.00	1	3
13	13	Stanford KZ	10	768.00	2	1
14	14	Princeton CG	9	779.00	2	1
15	15	USC LJ	9	774.00	2	1
16	16	HWS RT	9	773.00	1	3
