Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Stanford SZ		1st	1st	1st	1st	1st	15	812	5	0
2	Princeton CL		1st	1st	2nd	2nd	2nd	12	799	2	3
3	Princeton LS	Novice	1st	1st	1st	4th	1st	12	791	4	0
4	Hybrid SA		2nd	1st	2nd	2nd	1st	12	778	2	3
5	HWS KP		1st	2nd	1st	1st	4th	11	792	3	1
6	Hybrid NM		1st	2nd	1st	3rd	2nd	11	792	2	2
7	Duke BC		1st	4th	1st	1st	2nd	11	789	3	1
8	UChicago GM		3rd	1st	1st	3rd	1st	11	767	3	0
9	Stanford QY		3rd	2nd	2nd	1st	1st	11	767	2	2
10	Princeton ML		1st	3rd	3rd	2nd	1st	10	794	2	1
11	Princeton AI		2nd	3rd	1st	1st	3rd	10	785	2	1
12	UPenn GL		2nd	1st	2nd	2nd	3rd	10	777	1	3
13	Stanford KZ		2nd	1st	3rd	3rd	1st	10	768	2	1
14	Princeton CG		1st	3rd	1st	4th	2nd	9	779	2	1
15	USC LJ	Novice	3rd	1st	4th	1st	2nd	9	774	2	1
16	HWS RT	Novice	1st	2nd	2nd	4th	2nd	9	773	1	3
17	Stanford AC		3rd	1st	2nd	1st	4th	9	771	2	1
18	Swarthmore ZA		3rd	2nd	2nd	1st	3rd	9	769	1	2
19	Middleburry MG		1st	1st	4th	2nd	3rd	9	764	2	1
20	Cornell SE		1st	3rd	4th	2nd	1st	9	760	2	1
21	Hybrid JH	Novice	4th	1st	2nd	2nd	2nd	9	760	1	3
22	Colgate PD		1st	3rd	2nd	1st	4th	9	755	2	1
23	HWS BR		4th	2nd	3rd	1st	1st	9	753	2	1
24	HWS MW	Novice	2nd	4th	1st	3rd	1st	9	747	2	1
25	Rochester NI		2nd	1st	3rd	3rd	3rd	8	779	1	1
26	USC DK	Novice	1st	2nd	3rd	2nd	4th	8	766	1	2
27	Princeton HP		4th	1st	2nd	2nd	3rd	8	764	1	2
28	SDEC PP	Novice	3rd	2nd	3rd	1st	3rd	8	753	1	1
29	HWS HM	Novice	4th	3rd	2nd	2nd	1st	8	750	1	2
30	SDEC KW	Novice	3rd	3rd	1st	4th	1st	8	746	2	0
31	UVM PS	Novice	3rd	3rd	1st	4th	1st	8	739	2	0
32	Middleburry White Hall	Novice	4th	4th	1st	1st	2nd	8	738	2	1
33	SDEC LB	Novice	2nd	4th	3rd	1st	2nd	8	733	1	2
34	Bard SC	Novice	2nd	4th	1st	1st	4th	8	729	2	1
35	Cornell IK		2nd	2nd	3rd	3rd	2nd	8	672	0	3
36	Cornell CO	Novice	1st	2nd	3rd	3rd	4th	7	775	1	1
37	Swarthmore BD		1st	4th	1st	4th	3rd	7	765	2	0
38	UVM SG		2nd	4th	3rd	2nd	2nd	7	757	0	3
39	HWS VT	Novice	4th	1st	4th	2nd	2nd	7	747	1	2
40	Cornell SO	Novice	4th	1st	4th	3rd	1st	7	742	2	0
41	UVM SR	Novice	3rd	3rd	2nd	2nd	3rd	7	737	0	2
42	HWS HL	Novice	2nd	3rd	4th	1st	3rd	7	731	1	1
43	SDEC CM	Novice	2nd	2nd	4th	4th	2nd	6	755	0	3
44	USC KF	Novice	1st	1st	4th	4th	4th	6	748	2	0
45	USC LK		2nd	3rd	2nd	4th	3rd	6	746	0	2
46	UVM KS		1st	4th	1st	4th	4th	6	745	2	0
47	Colgate AZ	Novice	4th	3rd	2nd	4th	1st	6	744	1	1
48	UVM BK	Novice	3rd	3rd	4th	1st	3rd	6	739	1	0
49	Bard BP	Novice	3rd	4th	3rd	2nd	2nd	6	737	0	2
50	Bard WB	Novice	2nd	3rd	4th	3rd	2nd	6	733	0	2
51	SDEC CL		4th	2nd	2nd	2nd	4th	6	732	0	3
52	Cornell JJ	Novice	4th	2nd	4th	3rd	1st	6	730	1	1
53	HWS TT	Novice	4th	3rd	1st	2nd	4th	6	712	1	1
54	UVM GH		2nd	2nd	4th	3rd	4th	5	761	0	2
55	Sherbrooke MG	Novice	2nd	3rd	3rd	4th	3rd	5	744	0	1
56	Rochester KL	Novice	3rd	4th	1st	3rd	4th	5	733	1	0
57	Colgate BR	Novice	4th	4th	2nd	3rd	2nd	5	728	0	2
58	HWS MT	Novice	3rd	2nd	3rd	3rd	4th	5	721	0	1
59	Duke YS		4th	1st	3rd	4th	3rd	5	719	1	0
60	HWS KW	Novice	3rd	4th	4th	1st	3rd	5	710	1	0
61=	Cornell XH	Novice	4th	2nd	3rd	3rd	4th	4	730	0	1
61=	UVM BA	Novice	3rd	2nd	4th	3rd	4th	4	730	0	1
63	UVM BH		4th	3rd	4th	4th	1st	4	714	1	0
64	Rochester MR	Novice	3rd	4th	2nd	4th	3rd	4	699	0	1
65	Bard AM	Novice	4th	4th	3rd	3rd	2nd	4	640	0	1
66	Rochester HS	Novice	3rd	4th	3rd	4th	3rd	3	718	0	0
67	Cornell SC	Novice	4th	4th	4th	2nd	4th	2	713	0	1
68	Rochester ZS	Novice	2nd	4th	4th	4th	4th	2	711	0	1
