team	result	side	adjudicators
Middlebury SH	2nd	Opening Government	Joseph Wu😛Ⓒ , Erasmo Passaro , Simon Yu , Athena CaiⓉ
Clemson AF	3rd	Opening Opposition	Joseph Wu😛Ⓒ , Erasmo Passaro , Simon Yu , Athena CaiⓉ
Clemson BC	1st	Closing Government	Joseph Wu😛Ⓒ , Erasmo Passaro , Simon Yu , Athena CaiⓉ
McMaster AG	4th	Closing Opposition	Joseph Wu😛Ⓒ , Erasmo Passaro , Simon Yu , Athena CaiⓉ
Middlebury BN	3rd	Opening Government	Shaira ShafiquizzamanⒸ , Julia Gilley , Laura Gáborjáni-Szabó , Moira O&#x27;DonoghueⓉ , Raisa TasnimⓉ
Carleton BG	2nd	Opening Opposition	Shaira ShafiquizzamanⒸ , Julia Gilley , Laura Gáborjáni-Szabó , Moira O&#x27;DonoghueⓉ , Raisa TasnimⓉ
Clemson OM	1st	Closing Government	Shaira ShafiquizzamanⒸ , Julia Gilley , Laura Gáborjáni-Szabó , Moira O&#x27;DonoghueⓉ , Raisa TasnimⓉ
Colgate JH	4th	Closing Opposition	Shaira ShafiquizzamanⒸ , Julia Gilley , Laura Gáborjáni-Szabó , Moira O&#x27;DonoghueⓉ , Raisa TasnimⓉ
Queen&#x27;s CG	3rd	Opening Government	Simren SharmaⒸ , Jonah Rosen , Wajeeh Maaz , Elijah Miller-BuzaⓉ
Colgate WW	4th	Opening Opposition	Simren SharmaⒸ , Jonah Rosen , Wajeeh Maaz , Elijah Miller-BuzaⓉ
Princeton PA	1st	Closing Government	Simren SharmaⒸ , Jonah Rosen , Wajeeh Maaz , Elijah Miller-BuzaⓉ
EDS OA	2nd	Closing Opposition	Simren SharmaⒸ , Jonah Rosen , Wajeeh Maaz , Elijah Miller-BuzaⓉ
Waterloo ZM	4th	Opening Government	Eli PallrandⒸ , Georgia Samuel , William Wang , Duncan MacdonaldⓉ , Sasha MacCluskeyⓉ
Swing 3	1st	Opening Opposition	Eli PallrandⒸ , Georgia Samuel , William Wang , Duncan MacdonaldⓉ , Sasha MacCluskeyⓉ
Swing 1	2nd	Closing Government	Eli PallrandⒸ , Georgia Samuel , William Wang , Duncan MacdonaldⓉ , Sasha MacCluskeyⓉ
EDS KP	3rd	Closing Opposition	Eli PallrandⒸ , Georgia Samuel , William Wang , Duncan MacdonaldⓉ , Sasha MacCluskeyⓉ
UWODS MM	4th	Opening Opposition	Meg KandarpaⒸ , David Zu , Gautier Boyrie , Nikta Ghozati , Shannon O GradyⓉ
Stanford CM	3rd	Closing Government	Meg KandarpaⒸ , David Zu , Gautier Boyrie , Nikta Ghozati , Shannon O GradyⓉ
Sydney A	1st	Closing Opposition	Meg KandarpaⒸ , David Zu , Gautier Boyrie , Nikta Ghozati , Shannon O GradyⓉ
Middlebury BLy	2nd	Opening Government	Vidit Desai🤠Ⓒ , Austin Yao , Sundar Vellaiyappan , Aarian BhakooⓉ , Ibe JonahⓉ
Colgate TA	3rd	Opening Government	Michael WarrenⒸ , Tammy Yamile Leon Molina , Tessa Smith , Nicolas Diaz-AguilarⓉ , Zichao QianⓉ
Cornell SC	4th	Opening Opposition	Michael WarrenⒸ , Tammy Yamile Leon Molina , Tessa Smith , Nicolas Diaz-AguilarⓉ , Zichao QianⓉ
Davidson BF	1st	Closing Opposition	Michael WarrenⒸ , Tammy Yamile Leon Molina , Tessa Smith , Nicolas Diaz-AguilarⓉ , Zichao QianⓉ
Middlebury SB	2nd	Opening Government	Ethan Curry 🏀Ⓒ , Alex Kelly , Elijah Smith , Jonathan Stolow , Larry LiⓉ
HWS BR	1st	Opening Opposition	Ethan Curry 🏀Ⓒ , Alex Kelly , Elijah Smith , Jonathan Stolow , Larry LiⓉ
Colgate RM	4th	Closing Government	Ethan Curry 🏀Ⓒ , Alex Kelly , Elijah Smith , Jonathan Stolow , Larry LiⓉ
Waterloo S1	3rd	Closing Opposition	Ethan Curry 🏀Ⓒ , Alex Kelly , Elijah Smith , Jonathan Stolow , Larry LiⓉ
USAFA RB	2nd	Opening Government	Meg KandarpaⒸ , David Zu , Gautier Boyrie , Nikta Ghozati , Shannon O GradyⓉ
HWS VH	3rd	Opening Opposition	Vidit Desai🤠Ⓒ , Austin Yao , Sundar Vellaiyappan , Aarian BhakooⓉ , Ibe JonahⓉ
HWS BT	4th	Closing Government	Vidit Desai🤠Ⓒ , Austin Yao , Sundar Vellaiyappan , Aarian BhakooⓉ , Ibe JonahⓉ
McGill AS	1st	Closing Opposition	Vidit Desai🤠Ⓒ , Austin Yao , Sundar Vellaiyappan , Aarian BhakooⓉ , Ibe JonahⓉ
Stanford DQ	1st	Opening Government	Matt AydinⒸ , Madeleine Fordham , Micaela Lewis , James CampⓉ
Queen&#x27;s MK	4th	Opening Opposition	Matt AydinⒸ , Madeleine Fordham , Micaela Lewis , James CampⓉ
Rutgers OA	2nd	Closing Government	Matt AydinⒸ , Madeleine Fordham , Micaela Lewis , James CampⓉ
Alberta KG	3rd	Closing Opposition	Matt AydinⒸ , Madeleine Fordham , Micaela Lewis , James CampⓉ
