Rk	team	R1	R2	R3	R4	Pts	Spk	1sts	2nds
1=	Stanford Bengali Unchained	1st	1st	1st	2nd	11	641	3	1
1=	SPGS An argument close to my Hart	1st	1st	2nd	1st	11	641	3	1
3	LSE Waxi Jinping	2nd	2nd	1st	1st	10	633	2	2
4	JHU Prepare for trouble make it double	1st	3rd	1st	1st	10	630	3	0
5	Melbourne beautiful voices	1st	2nd	2nd	2nd	9	633	1	3
6	Weizmann RS	2nd	3rd	1st	1st	9	629	2	1
7	Technion K&amp;Y	3rd	1st	2nd	1st	9	609	2	1
8=	SPU Maple Syrup	3rd	2nd	1st	2nd	8	637	1	2
8=	Tel Aviv we are the OA	2nd	2nd	3rd	1st	8	637	1	2
10	NUS	1st	1st	3rd	3rd	8	635	2	0
11	Technion ω+1 (to infinity and beyond)	1st	2nd	3rd	2nd	8	634	1	2
12	Hummus with Stroopwafel	1st	3rd	1st	3rd	8	632	2	0
13	JHU Prepare for double make it trouble	2nd	1st	1st	4th	8	630	2	1
14	Oxford Ahmed and Pranav	4th	2nd	1st	1st	8	615	2	1
15	Cambridge HCI A	1st	1st	4th	3rd	7	638	2	0
16	SPU Urtania	2nd	2nd	2nd	3rd	7	625	0	3
17	Weizmann Single cell from hell	3rd	1st	3rd	2nd	7	621	1	1
18	UCLA Total Blank	2nd	4th	1st	2nd	7	619	1	2
19	Dundee Tent Raiders	4th	1st	3rd	1st	7	613	2	0
20	OU Israel Thank God it&#x27;s not Saturday	3rd	1st	2nd	3rd	7	612	1	1
21	Nottingham A (Old &amp; New Generation)	2nd	2nd	4th	1st	7	610	1	2
22	Technion English || Experience	3rd	1st	4th	1st	7	609	2	0
23	BGU Biggie U	2nd	1st	2nd	4th	7	606	1	2
24	Oxford JP	4th	2nd	1st	2nd	7	603	1	2
25	Swing B	1st	2nd	—	2nd	7	476	1	2
26	Oxford DtF	2nd	3rd	3rd	2nd	6	638	0	2
27	Edinburgh it&#x27;s pronounced AD-AM	1st	2nd	4th	3rd	6	623	1	1
28	LSE PS	3rd	3rd	3rd	1st	6	623	1	0
29	Cambridge Done	4th	1st	2nd	3rd	6	618	1	1
30=	Cambridge Broken and Unbreakable	4th	1st	1st	4th	6	614	2	0
30=	Reichman Alcoholics Anonymous	1st	4th	1st	4th	6	614	2	0
32	Liverpool Cigarettes after Condensed Milk	4th	3rd	1st	2nd	6	607	1	1
33	Western ABG LOVERS	1st	4th	2nd	3rd	6	606	1	1
34	SPU Alexandrofers	1st	4th	3rd	2nd	6	604	1	1
35	UPenn WePenncil	2nd	4th	4th	1st	5	632	1	1
36	Sunway The Ones Who Knock	3rd	1st	3rd	4th	5	623	1	0
37	Imperial this call could&#x27;ve been an email	3rd	1st	3rd	4th	5	622	1	0
38	Edinburgh just two god loving gals trying to	1st	4th	2nd	4th	5	618	1	1
39	Swing A	3rd	4th	2nd	2nd	5	606	0	2
40	SPU Sciences Pistachios	2nd	4th	4th	1st	5	604	1	1
41	The 🇵🇱 Polish - Indonesian 🇮🇩	1st	3rd	4th	3rd	5	599	1	0
42	UCL H&amp;M	3rd	4th	3rd	1st	5	587	1	0
43	Bristol b(rizz)tol	2nd	3rd	4th	3rd	4	609	0	1
44	We took the Wock to Poland	4th	2nd	2nd	4th	4	600	0	2
45	Bristol Meth	3rd	2nd	4th	3rd	4	596	0	1
46	Manchester Crem and Saad	4th	4th	2nd	2nd	4	595	0	2
47	UCL all2well (10minversion)	3rd	2nd	4th	3rd	4	595	0	1
48	Haifa S&amp;P	3rd	4th	1st	4th	4	591	1	0
49	Pandas	4th	2nd	2nd	4th	4	578	0	2
50	Liverpool Strawberry milk tea	3rd	3rd	4th	2nd	4	578	0	1
51	Manchester Tom Ksn UwU	2nd	3rd	4th	4th	3	609	0	1
52	UCLA Only Chaotic Pairing	4th	3rd	3rd	3rd	3	600	0	0
53	The A Team	2nd	4th	3rd	—	3	436	0	1
54	UCD L&amp;H A	2nd	3rd	—	—	3	307	0	1
55	Manchester ArrietyTalha Manchester	4th	4th	2nd	4th	2	597	0	1
56	LSE Pair of Amateurs	4th	3rd	3rd	4th	2	574	0	0
57	Brine Mackerel	3rd	3rd	—	—	2	307	0	0
58	Liverpool fake it til you blake it	4th	3rd	4th	4th	1	567	0	0
59	UCL Godless Heathens	4th	4th	4th	3rd	1	563	0	0
60	Swing C	—	4th	—	—	0	152	0	0
61	Inner Temple Dani &amp; Rachel	4th	—	—	—	0	132	0	0
62=	Imperial AE	—	—	—	—	—	—	0	0
62=	Arushi and Bella	—	—	—	—	—	—	0	0
