team	result	side	adjudicators
URoc 1	4th	Closing Opposition	Selene FigueroaⒸ , Danté Fosterdelmundo , Hania Kuzdra , Tom Chitwood
URoc 3	1st	Opening Government	Erika GowⒸ , Alex Boehm , Clarence Brontë , Reagan Feld
URoc 2	4th	Opening Government	Isabel BirneyⒸ , Galen Reese , McKenna Reeves
Vermont 4	4th	Opening Opposition	Kayla PowersⒸ , Hannah Stafford , Stephen Bassler
Vermont 1	3rd	Closing Government	Madeleine FordhamⒸ , Ben Frazer , Willow Brawley
Vermont 3	4th	Opening Government	Madeleine FordhamⒸ , Ben Frazer , Willow Brawley
CUDS personally victimized by peter	3rd	Opening Government	Kayla PowersⒸ , Hannah Stafford , Stephen Bassler
CUDS 2	2nd	Closing Government	Isabel BirneyⒸ , Galen Reese , McKenna Reeves
UPenn 2	3rd	Opening Opposition	Erika GowⒸ , Alex Boehm , Clarence Brontë , Reagan Feld
UPenn 1	3rd	Opening Opposition	Aurelia WilliamsⒸ , Charles Ndlovu , Sarah Morrill
HH CUSID Toaster	4th	Closing Opposition	Erika GowⒸ , Alex Boehm , Clarence Brontë , Reagan Feld
HH Lesbians	2nd	Opening Opposition	Madeleine FordhamⒸ , Ben Frazer , Willow Brawley
Cornell 3	2nd	Closing Government	Erika GowⒸ , Alex Boehm , Clarence Brontë , Reagan Feld
Cornell 2	2nd	Closing Government	Aurelia WilliamsⒸ , Charles Ndlovu , Sarah Morrill
Cornell 1	1st	Opening Government	Aurelia WilliamsⒸ , Charles Ndlovu , Sarah Morrill
QDU legacy	1st	Closing Government	Selene FigueroaⒸ , Danté Fosterdelmundo , Hania Kuzdra , Tom Chitwood
QDU momager unleashed	1st	Closing Government	Kayla PowersⒸ , Hannah Stafford , Stephen Bassler
QDU the closet is glass	4th	Closing Opposition	Aurelia WilliamsⒸ , Charles Ndlovu , Sarah Morrill
Colgate 1	1st	Opening Opposition	Isabel BirneyⒸ , Galen Reese , McKenna Reeves
Stanford 2	3rd	Opening Opposition	Selene FigueroaⒸ , Danté Fosterdelmundo , Hania Kuzdra , Tom Chitwood
Stanford 1	2nd	Opening Government	Selene FigueroaⒸ , Danté Fosterdelmundo , Hania Kuzdra , Tom Chitwood
Stanford 3	2nd	Closing Opposition	Kayla PowersⒸ , Hannah Stafford , Stephen Bassler
Bard 2	1st	Closing Opposition	Madeleine FordhamⒸ , Ben Frazer , Willow Brawley
Swing a bat	3rd	Closing Opposition	Isabel BirneyⒸ , Galen Reese , McKenna Reeves
