Rk	team	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Cornell 2	1st	2nd	1st	2nd	1st	13	774	3	2
2	QDU momager unleashed	2nd	1st	3rd	1st	1st	12	769	3	1
3	Cornell 1	2nd	1st	1st	1st	4th	11	780	3	1
4	QDU legacy	1st	1st	4th	1st	2nd	11	772	3	1
5	Stanford 1	1st	3rd	2nd	2nd	2nd	10	768	1	3
6	UPenn 1	1st	1st	2nd	3rd	3rd	10	766	2	1
7	QDU the closet is glass	2nd	2nd	1st	4th	2nd	9	756	1	3
8	Colgate 1	3rd	4th	2nd	1st	1st	9	752	2	1
9	Stanford 3	2nd	3rd	1st	2nd	3rd	9	750	1	2
10	Stanford 2	4th	1st	3rd	3rd	1st	8	762	2	0
11	UPenn 2	2nd	2nd	4th	3rd	1st	8	755	1	2
12	HH Lesbians	4th	3rd	1st	2nd	3rd	7	760	1	1
13	Vermont 1	2nd	3rd	3rd	3rd	2nd	7	755	0	2
14	URoc 1	2nd	3rd	2nd	4th	2nd	7	754	0	3
15	URoc 3	1st	4th	4th	1st	3rd	7	753	2	0
16	CUDS personally victimized by peter	1st	2nd	3rd	3rd	4th	7	752	1	1
17	Bard 2	3rd	1st	4th	1st	4th	7	750	2	0
18	Vermont 4	3rd	2nd	2nd	4th	3rd	6	734	0	2
19	Swing a bat	3rd	—	3rd	3rd	1st	6	599	1	0
20	Cornell 3	4th	4th	1st	2nd	4th	5	747	1	1
21	HH CUSID Toaster	3rd	4th	2nd	4th	2nd	5	743	0	2
22	CUDS 2	4th	2nd	4th	2nd	4th	4	741	0	2
23	Vermont 3	1st	4th	3rd	4th	4th	4	736	1	0
24	URoc 2	3rd	4th	4th	4th	3rd	2	714	0	0
25	Vermont 2	3rd	3rd	—	—	—	2	296	0	0
26	Swing state	4th	—	—	—	—	0	149	0	0
27=	Colgate 2	4th	—	—	—	—	0	147	0	0
27=	Rutgers saviours	4th	—	—	—	—	0	147	0	0
29	Bard 1	—	—	—	—	—	—	—	0	0
