Rk	team	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Our Case is Empirically Posterior	1st	1st	1st	2nd	2nd	13	810	3	2
2	USU B	2nd	1st	2nd	1st	3rd	11	800	2	2
3	Ithaca Wildlife	1st	1st	2nd	4th	1st	11	799	3	1
4	Oxford B	2nd	1st	3rd	2nd	1st	11	782	2	2
5	Zagreb Djaković &amp; Šuflaj	1st	3rd	1st	3rd	2nd	10	795	2	1
6	Beautiful Voices	1st	2nd	4th	2nd	1st	10	779	2	2
7	Hart House A	1st	3rd	2nd	3rd	2nd	9	786	1	2
8	Zagreb Žnidar &amp; Mikota	1st	4th	3rd	1st	2nd	9	782	2	1
9	Wolf &amp; Wolff	4th	2nd	3rd	1st	1st	9	777	2	1
10	M&amp;M	2nd	3rd	1st	1st	4th	9	774	2	1
11	Zempare &amp; Elisha - Ghana A	2nd	2nd	3rd	1st	3rd	9	769	1	2
12	E&amp;A not EA	4th	2nd	4th	1st	1st	8	768	2	1
13	Reichman A	4th	3rd	1st	1st	3rd	8	763	2	0
14	Imagine Doing Worlds Prep with Your	1st	2nd	4th	2nd	4th	7	782	1	2
15	Proctosedyl	2nd	2nd	3rd	3rd	3rd	7	774	0	2
16	Oxford AP	3rd	1st	1st	4th	4th	7	772	2	0
17	Piper? I Hardly even Know &#x27;er	2nd	4th	2nd	4th	1st	7	766	1	2
18	Want to Makeout	3rd	4th	1st	3rd	2nd	7	763	1	1
19	No Name Because Our Mind Went Blank	4th	3rd	1st	2nd	4th	6	759	1	1
20	Sciences Pipeaus	4th	3rd	2nd	2nd	3rd	6	755	0	2
21	UCL BM	3rd	4th	3rd	3rd	2nd	5	746	0	1
22	Monash A	4th	1st	2nd	4th	—	5	608	1	1
23	swing 1	2nd	—	—	3rd	2nd	5	468	0	2
24	ITAM A	2nd	4th	3rd	3rd	4th	4	762	0	1
25	Chicago LZ	3rd	3rd	2nd	4th	4th	4	760	0	1
26	Breaking Hearts and Tabs	3rd	2nd	4th	4th	3rd	4	755	0	1
27	Mutually Assured Destruction	3rd	1st	4th	—	—	4	455	1	0
28	swing 2	1st	—	—	—	3rd	4	318	1	0
29	swing 3	4th	—	—	—	1st	3	297	1	0
30	Chicago FH	4th	4th	4th	2nd	4th	2	729	0	1
31	BUET C	3rd	4th	4th	4th	—	1	590	0	0
32	UWODS A	3rd	—	—	—	—	1	152	0	0
33=	Piper Pies	—	—	—	—	—	—	—	0	0
33=	PUCP A	—	—	—	—	—	—	—	0	0
33=	Sa and Sha	—	—	—	—	—	—	—	0	0
