team	result	side	adjudicators
NUS Bo Tah	3rd	Opening Government	Ilija IvanisevicⒸ
TCD Phil C	4th	Opening Opposition	Ilija IvanisevicⒸ
St Andrews Panel (A) stans	2nd	Closing Government	Ilija IvanisevicⒸ
Matt’s exotic friends	1st	Closing Opposition	Ilija IvanisevicⒸ
pick me, choose me, love me	3rd	Opening Government	Sudiksha AggarwalⒸ
GUU (A)ll roads lead to Glasgow 202	2nd	Opening Opposition	Sudiksha AggarwalⒸ
Debetatoooon3 is now on sale!	4th	Closing Government	Sudiksha AggarwalⒸ
Tokyo YT	1st	Closing Opposition	Sudiksha AggarwalⒸ
Zagreb B	3rd	Opening Government	Lucy MurphyⒸ
Sofia B	1st	Opening Opposition	Lucy MurphyⒸ
BUET B	4th	Closing Government	Lucy MurphyⒸ
HWS A	2nd	Closing Opposition	Lucy MurphyⒸ
Add the rice to the pan and toast f	4th	Opening Government	Klaudia MaciejewskaⒸ , Ibrahim Ejaz
NUS LL Suck Thumb	1st	Opening Opposition	Klaudia MaciejewskaⒸ , Ibrahim Ejaz
BP Besties	3rd	Closing Government	Klaudia MaciejewskaⒸ , Ibrahim Ejaz
Oxford	2nd	Closing Opposition	Klaudia MaciejewskaⒸ , Ibrahim Ejaz
Blasted Jack	2nd	Opening Government	Yael WolffⒸ
Paper spies	3rd	Opening Opposition	Yael WolffⒸ
R&amp;M Weizmann	1st	Closing Government	Yael WolffⒸ
Crying to the end	4th	Closing Opposition	Yael WolffⒸ
Komunisti, komsomolci, pioneri	4th	Opening Government	Dylan McCarthyⒸ
Im prepping with the wrong dutch sc	2nd	Opening Opposition	Dylan McCarthyⒸ
Mutually Assured Destruction	1st	Closing Government	Dylan McCarthyⒸ
Structureless when sober	3rd	Closing Opposition	Dylan McCarthyⒸ
We put the Wu in WUDC	4th	Opening Government	Emery TaylorⒸ , Owen Goodacre
Zagreb C	3rd	Opening Opposition	Emery TaylorⒸ , Owen Goodacre
Tokyo Garden Dog	2nd	Closing Government	Emery TaylorⒸ , Owen Goodacre
TAU A&amp;B	1st	Closing Opposition	Emery TaylorⒸ , Owen Goodacre
Princeton XI	1st	Opening Government	Beatrice CuizonⒸ , Lucie Slamova
MDU ask your doctor about quaaludes	2nd	Opening Opposition	Beatrice CuizonⒸ , Lucie Slamova
Hist A	4th	Closing Government	Beatrice CuizonⒸ , Lucie Slamova
Bucharest B	3rd	Closing Opposition	Beatrice CuizonⒸ , Lucie Slamova
Rumen and Niki lol	2nd	Opening Government	William SmithⒸ , Sher May Nar
Is our tab emoji antisemitic	1st	Opening Opposition	William SmithⒸ , Sher May Nar
Guess Which One is Catherine Liu	3rd	Closing Government	William SmithⒸ , Sher May Nar
Pakhi and Associate	4th	Closing Opposition	William SmithⒸ , Sher May Nar
Alcoholics Anonymous	2nd	Opening Government	Theo DorfnerⒸ
BUET C	3rd	Opening Opposition	Theo DorfnerⒸ
Munich Pegasos	4th	Closing Government	Theo DorfnerⒸ
O&#x27;Malley &amp; Wikramanayake (not my fi	1st	Closing Opposition	Theo DorfnerⒸ
Diggory tries not to lose from OG	1st	Opening Government	Nathaniel YoonⒸ
Cambridge Do You Know?	2nd	Opening Opposition	Nathaniel YoonⒸ
CamacamacamacamacamaCAMeleon	3rd	Closing Government	Nathaniel YoonⒸ
All in	4th	Closing Opposition	Nathaniel YoonⒸ
ToKyoto 1	2nd	Opening Government	Grzegorz ZinczukⒸ
Los Pollos Hermanos	4th	Opening Opposition	Grzegorz ZinczukⒸ
[WANTED] eraseijin	3rd	Closing Government	Grzegorz ZinczukⒸ
No name cause our mind went blank (	1st	Closing Opposition	Grzegorz ZinczukⒸ
KNUST Yaanom and a Dbee	3rd	Opening Government	Lovro MarusicⒸ , Or Toledano
Cambridge MD	2nd	Opening Opposition	Lovro MarusicⒸ , Or Toledano
Rassie Erasmus	1st	Closing Government	Lovro MarusicⒸ , Or Toledano
Haifa A	4th	Closing Opposition	Lovro MarusicⒸ , Or Toledano
Mancperial A	4th	Opening Government	Lior SokolⒸ , Ani Kovacheva
“Wait this isn’t the math conferenc	1st	Opening Opposition	Lior SokolⒸ , Ani Kovacheva
Bucharest A	3rd	Closing Government	Lior SokolⒸ , Ani Kovacheva
Chicago/Tufts DH	2nd	Closing Opposition	Lior SokolⒸ , Ani Kovacheva
McGill Panovka&amp;Rosen	4th	Opening Government	Olja BošnjakⒸ
MDU Legal Advice	3rd	Opening Opposition	Olja BošnjakⒸ
Swing T&amp;H	1st	Closing Government	Olja BošnjakⒸ
big man H	2nd	Closing Opposition	Olja BošnjakⒸ
PUCP A	3rd	Opening Government	Paolo TainoⒸ
Sels prokuden kum Boyko	4th	Opening Opposition	Paolo TainoⒸ
Balding Anger Management	1st	Closing Government	Paolo TainoⒸ
Luo &amp; Dillon	2nd	Closing Opposition	Paolo TainoⒸ
Weizmann D&amp;N	4th	Opening Government	Arpi YangⒸ
Breaking hearts and tabs	3rd	Opening Opposition	Arpi YangⒸ
Under construction	2nd	Closing Government	Arpi YangⒸ
UCD L&amp;H A	1st	Closing Opposition	Arpi YangⒸ
King in the castle, I have a chair	4th	Opening Government	Andrew ChenⒸ , Simarjit Singh
LSE B	2nd	Opening Opposition	Andrew ChenⒸ , Simarjit Singh
Stanford SZ	1st	Closing Government	Andrew ChenⒸ , Simarjit Singh
Reichman A	3rd	Closing Opposition	Andrew ChenⒸ , Simarjit Singh
BINUS A	3rd	Opening Government	Geneva RoyⒸ , Lamia Rahman
KNOBS A	1st	Opening Opposition	Geneva RoyⒸ , Lamia Rahman
GUU B	4th	Closing Government	Geneva RoyⒸ , Lamia Rahman
Doxbridge was better	2nd	Closing Opposition	Geneva RoyⒸ , Lamia Rahman
