Rk	break	team	Pts	Spk	1sts	2nds
1	(ineligible)	Stanford SZ	15	826.00	5	0
2	(ineligible)	Princeton XI	12	818.00	3	1
3	(ineligible)	LSE B	12	817.00	3	1
4	(different break)	Sofia B	12	804.00	3	1
5	(ineligible)	McGill Panovka&amp;Rosen	11	822.00	3	1
6	(ineligible)	Is our tab emoji antisemitic	11	811.00	2	2
7	(ineligible)	St Andrews Panel (A) stans	11	787.00	2	2
8	(different break)	Rumen and Niki lol	10	816.00	1	3
9	(ineligible)	Guess Which One is Catherine Liu	10	814.00	2	1
10=	(ineligible)	MDU Legal Advice	10	812.00	3	0
10=	(ineligible)	“Wait this isn’t the math conferenc	10	812.00	3	0
12	(different break)	Doxbridge was better	10	806.00	1	3
13	(ineligible)	Balding Anger Management	10	804.00	2	2
14	(different break)	KNOBS A	10	799.00	2	2
15	(ineligible)	big man H	10	797.00	1	3
16	(ineligible)	Add the rice to the pan and toast f	10	791.00	3	0
17	(withdrawn)	Swing T&amp;H	10	648.00	2	2
18	(ineligible)	NUS LL Suck Thumb	9	802.00	2	1
19	(ineligible)	Matt’s exotic friends	9	800.00	2	1
20	1	Bucharest A	9	795.00	2	1
21	(ineligible)	Chicago/Tufts DH	9	795.00	1	2
22=	(ineligible)	MDU ask your doctor about quaaludes	9	790.00	2	1
22=	(ineligible)	UCD L&amp;H A	9	790.00	2	1
24	2	Reichman A	9	789.00	1	2
25	(ineligible)	Oxford	9	779.00	2	1
26	3	King in the castle, I have a chair	8	795.00	2	1
27	(ineligible)	BP Besties	8	793.00	0	3
28	(ineligible)	NUS Bo Tah	8	792.00	1	2
29	4	Zagreb B	8	792.00	0	3
30	5	PUCP A	8	791.00	1	2
31	(ineligible)	Cambridge Do You Know?	8	790.00	0	3
32	6	Zagreb C	8	784.00	0	3
33	7	R&amp;M Weizmann	8	781.00	2	1
34	8	Rassie Erasmus	8	780.00	2	1
