Rk	break	team	Pts	Spk	1sts	2nds
1	1	Stanford SZ	15	826.00	5	0
2	2	Princeton XI	12	818.00	3	1
3	3	LSE B	12	817.00	3	1
4	4	Sofia B	12	804.00	3	1
5	5	McGill Panovka&amp;Rosen	11	822.00	3	1
6	6	Is our tab emoji antisemitic	11	811.00	2	2
7	7	St Andrews Panel (A) stans	11	787.00	2	2
8	8	Rumen and Niki lol	10	816.00	1	3
9	9	Guess Which One is Catherine Liu	10	814.00	2	1
10=	10	MDU Legal Advice	10	812.00	3	0
10=	10	“Wait this isn’t the math conferenc	10	812.00	3	0
12	12	Doxbridge was better	10	806.00	1	3
13	13	Balding Anger Management	10	804.00	2	2
14	14	KNOBS A	10	799.00	2	2
15	15	big man H	10	797.00	1	3
16	16	Add the rice to the pan and toast f	10	791.00	3	0
