Rk	team	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds	Irons
1	Stanford SZ	1st	1st	1st	1st	1st	15	826	5	0	0
2	Princeton XI	2nd	3rd	1st	1st	1st	12	818	3	1	0
3	LSE B	1st	1st	2nd	3rd	1st	12	817	3	1	1
4	Sofia B	3rd	1st	1st	1st	2nd	12	804	3	1	0
5	McGill Panovka&amp;Rosen	1st	1st	4th	1st	2nd	11	822	3	1	0
6	Is our tab emoji antisemitic	1st	2nd	1st	2nd	3rd	11	811	2	2	0
7	St Andrews Panel (A) stans	2nd	1st	2nd	3rd	1st	11	787	2	2	0
8	Rumen and Niki lol	1st	3rd	2nd	2nd	2nd	10	816	1	3	0
9	Guess Which One is Catherine Liu	1st	2nd	3rd	1st	3rd	10	814	2	1	0
10=	MDU Legal Advice	1st	1st	3rd	1st	4th	10	812	3	0	0
10=	“Wait this isn’t the math conferenc	1st	4th	1st	3rd	1st	10	812	3	0	0
12	Doxbridge was better	1st	3rd	2nd	2nd	2nd	10	806	1	3	0
13	Balding Anger Management	2nd	4th	1st	2nd	1st	10	804	2	2	0
14	KNOBS A	2nd	2nd	1st	4th	1st	10	799	2	2	0
15	big man H	1st	2nd	2nd	3rd	2nd	10	797	1	3	0
16	Add the rice to the pan and toast f	3rd	1st	4th	1st	1st	10	791	3	0	0
17	Swing T&amp;H	2nd	1st	1st	2nd	—	10	648	2	2	0
18	NUS LL Suck Thumb	1st	3rd	1st	2nd	4th	9	802	2	1	0
19	Matt’s exotic friends	1st	2nd	1st	4th	3rd	9	800	2	1	1
20	Bucharest A	4th	1st	3rd	1st	2nd	9	795	2	1	0
21	Chicago/Tufts DH	2nd	3rd	2nd	1st	3rd	9	795	1	2	0
22=	MDU ask your doctor about quaaludes	1st	4th	2nd	1st	3rd	9	790	2	1	0
22=	UCD L&amp;H A	1st	4th	1st	3rd	2nd	9	790	2	1	0
24	Reichman A	2nd	1st	3rd	3rd	2nd	9	789	1	2	0
25	Oxford	1st	4th	2nd	3rd	1st	9	779	2	1	0
26	King in the castle, I have a chair	1st	1st	4th	4th	2nd	8	795	2	1	0
27	BP Besties	2nd	2nd	3rd	2nd	3rd	8	793	0	3	0
28	NUS Bo Tah	1st	2nd	3rd	2nd	4th	8	792	1	2	0
29	Zagreb B	2nd	2nd	3rd	2nd	3rd	8	792	0	3	0
