Rk	name	category	team	R1	R2	R3	R4	Total	Avg	Stdev
1	Tejas Subramaniam		We bet you didn&#x27;t expect this one	76	83	83	83	325	81.25	3.03
2	Umar Buckus		Akofena Reunion	79	79	79	86	323	80.75	3.03
3=	Ayafa Tonye	ESL	Akofena Reunion	79	80	79	84	322	80.50	2.06
3=	Nikolay Angelov		We bet you didn&#x27;t expect this one	75	83	82	82	322	80.50	3.20
3=	Biser Angelov	ESL	The only time we are glad to pay	78	78	81	85	322	80.50	2.87
6	Naomi Gillis		HUJI cAll to order	80	80	80	80	320	80.00	0.00
7=	Maria Matcheva	ESL	The only time we are glad to pay	77	77	81	84	319	79.75	2.95
7=	Yishai Binnes		HUJI cAll to order	81	79	80	79	319	79.75	0.83
7=	Velina Andonova	ESL	Sofia B	78	82	77	82	319	79.75	2.28
10=	Dorvlo Desmond	ESL	Phoenix	80	75	81	82	318	79.50	2.69
10=	Oloruntoyin Muhammadbaqir Akorede		BNI	78	78	78	84	318	79.50	2.60
10=	Michelle Aluoch Adika		Kali	79	79	82	78	318	79.50	1.50
13=	Furgurson Awuni		BNI	79	78	77	83	317	79.25	2.28
13=	Alek Selveliev	ESL	Sofia B	78	82	76	81	317	79.25	2.38
13=	Nana Yaw Ofosu-Ababio	ESL	A good guy and a bad one	78	79	80	80	317	79.25	0.83
16	Marina Kojić	ESL	Vienna A	76	84	76	80	316	79.00	3.32
17=	Oyisa Katshaza	ESL	Mandela meets Nkrumah	80	76	78	81	315	78.75	1.92
17=	Addo-Obeng Opoku-Agyeman	ESL	Phoenix	80	74	80	81	315	78.75	2.77
19=	Paula Breyer	ESL	Vienna A	76	84	75	79	314	78.50	3.50
19=	Ishan Khire		Breaking hearts and tabs	79	77	78	80	314	78.50	1.12
19=	Eleazar &quot;&quot;the Great&quot;&quot; Asase	ESL	Mandela meets Nkrumah	80	75	78	81	314	78.50	2.29
22=	Nadav Kiri	ESL	Alcoholists Anonymous	78	78	78	79	313	78.25	0.43
22=	Roi Cohen	ESL	Lemi ata kore duvshania?	78	83	76	76	313	78.25	2.86
22=	Jeff Melita Sayialel		Kali	78	78	79	78	313	78.25	0.43
25=	Macha Cual		Coach and Child (guess who&#x27;s talle	77	77	79	79	312	78.00	1.00
25=	Omer Abramovich	ESL	Lemi ata kore duvshania?	77	84	75	76	312	78.00	3.54
27	Guy Wolf	ESL	Alcoholists Anonymous	77	78	77	79	311	77.75	0.83
28=	Arles Kiel Mirandilla		Coach and Child (guess who&#x27;s talle	77	76	79	78	310	77.50	1.12
28=	Amitai Ben Porat	ESL	E&amp;A not EA	78	75	80	77	310	77.50	1.80
30	Eziel Johnson	ESL	Black Panther	77	75	78	79	309	77.25	1.48
31	Amitai Wagner	ESL	E&amp;A not EA	77	75	80	76	308	77.00	1.87
32=	Collins Chinonso	ESL	Black Panther	76	74	78	79	307	76.75	1.92
32=	Maya Tamir	ESL	Reichman A	77	74	79	77	307	76.75	1.79
32=	Anshuman Singh		A&amp;M	75	77	77	78	307	76.75	1.09
35=	Ahmed Hussain		Oxford LA	78	78	74	76	306	76.50	1.66
35=	Omar Shalabby	ESL	Reichman A	77	74	78	77	306	76.50	1.50
35=	Mav Murray		A&amp;M	75	77	76	78	306	76.50	1.12
35=	Heejae Cho		ASHS Jumbo Hotdog	75	79	77	75	306	76.50	1.66
35=	Lwandle Ntshangase		Oxford LA	77	78	74	77	306	76.50	1.50
40	Jeremiah Lim		ASHS Jumbo Hotdog	75	79	76	75	305	76.25	1.64
41=	Kpeglo Joyce Delali	ESL	We move with an Audacious Faith	73	75	76	76	300	75.00	1.22
41=	Janelle Francine Suministrado		D.E.B.S.	76	76	74	74	300	75.00	1.00
