team	result	side	adjudicators
DU Cunning Linguists	4th	Opening Government	Maison PietersonⒸ , Ayafa Tonye
Dy/Dx your extension	2nd	Opening Opposition	Maison PietersonⒸ , Ayafa Tonye
HHU 🙃😉🥺👍	3rd	Closing Government	Maison PietersonⒸ , Ayafa Tonye
HHU Hart House	1st	Closing Opposition	Maison PietersonⒸ , Ayafa Tonye
Seattle cogs in the cap machine	4th	Opening Government	Nicholas ArandaⒸ , Morgan Kessler
CSD Akshat and Kaitlyn	3rd	Opening Opposition	Nicholas ArandaⒸ , Morgan Kessler
SC DG	2nd	Closing Government	Nicholas ArandaⒸ , Morgan Kessler
KNUST BM	1st	Closing Opposition	Nicholas ArandaⒸ , Morgan Kessler
Rocky	3rd	Opening Government	Erasmus Mawuli SegbefiaⒸ
Battleground A	2nd	Opening Opposition	Erasmus Mawuli SegbefiaⒸ
Swing	4th	Closing Government	Erasmus Mawuli SegbefiaⒸ
Swing 2	1st	Closing Opposition	Erasmus Mawuli SegbefiaⒸ
HHU Extralegal Mechanisms	2nd	Closing Government	Zuha TanweerⒸ , Mishaal Said
SC Stream AK	4th	Closing Opposition	Zuha TanweerⒸ , Mishaal Said
Miami Olliva Sami	1st	Opening Government	Nana Yaw Ofosu-AbabioⒸ , Boomba Nishikawa
KS LB&amp;KT	2nd	Opening Opposition	Nana Yaw Ofosu-AbabioⒸ , Boomba Nishikawa
SC Bucket	2nd	Opening Government	Ethan CurryⒸ , Ritabrata Mitra , Sarah Danielson
UENR Kosua ne mako	3rd	Opening Opposition	Ethan CurryⒸ , Ritabrata Mitra , Sarah Danielson
stonks	4th	Closing Government	Ethan CurryⒸ , Ritabrata Mitra , Sarah Danielson
DU Human Resources	1st	Closing Opposition	Ethan CurryⒸ , Ritabrata Mitra , Sarah Danielson
Chaotic Lawful	1st	Opening Government	Parker DavidsonⒸ , Awulika H. , Joel Erickson
LUC Maverick	4th	Opening Opposition	Parker DavidsonⒸ , Awulika H. , Joel Erickson
KNUST G &amp; G	2nd	Closing Government	Parker DavidsonⒸ , Awulika H. , Joel Erickson
HHU Village Idiots	3rd	Closing Opposition	Parker DavidsonⒸ , Awulika H. , Joel Erickson
UWO Harvard A	3rd	Opening Government	Zuha TanweerⒸ , Mishaal Said
HHU Taylor&#x27;s Version	1st	Opening Opposition	Zuha TanweerⒸ , Mishaal Said
HHU not Dihan and Val	3rd	Closing Government	Nana Yaw Ofosu-AbabioⒸ , Boomba Nishikawa
UNIZIK UNIZIK C	4th	Closing Opposition	Nana Yaw Ofosu-AbabioⒸ , Boomba Nishikawa
KNUST DP	2nd	Opening Government	Serg MascotⒸ , Fatema Nami
Ashiqur and Simone	3rd	Opening Opposition	Serg MascotⒸ , Fatema Nami
Irelan and Ash	4th	Closing Government	Serg MascotⒸ , Fatema Nami
Ohh Well	1st	Closing Opposition	Serg MascotⒸ , Fatema Nami
Apparently everyone is at Trinity t	4th	Opening Government	Sriha SrinivasanⒸ , Henry kofi
CP	2nd	Opening Opposition	Sriha SrinivasanⒸ , Henry kofi
Swing 5	1st	Closing Government	Sriha SrinivasanⒸ , Henry kofi
DC Reincarnated F	3rd	Closing Opposition	Sriha SrinivasanⒸ , Henry kofi
Boba Time	3rd	Opening Government	Kojo Opoku AcheampongⒸ , Hargun Rekhi
UNIZIK We move	1st	Opening Opposition	Kojo Opoku AcheampongⒸ , Hargun Rekhi
W O’Bert / Thompson	2nd	Closing Government	Kojo Opoku AcheampongⒸ , Hargun Rekhi
UNIZIK D	4th	Closing Opposition	Kojo Opoku AcheampongⒸ , Hargun Rekhi
