Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds
1	UENR Kosua ne mako		1st	1st	2nd	1st	3rd	1st	15	930	4	1
2	DU Human Resources		1st	2nd	1st	3rd	1st	2nd	14	933	3	2
3	HHU Taylor&#x27;s Version	Novice	1st	3rd	1st	2nd	1st	3rd	13	931	3	1
4	Dy/Dx your extension		1st	2nd	4th	1st	2nd	1st	13	927	3	2
5	UWO Harvard A		1st	2nd	3rd	1st	3rd	1st	13	855	3	1
6	HHU 🙃😉🥺👍		2nd	1st	2nd	3rd	3rd	1st	12	932	2	2
7	HHU Hart House		2nd	3rd	1st	2nd	1st	3rd	12	924	2	2
8	HHU Extralegal Mechanisms	Novice	2nd	1st	3rd	2nd	2nd	2nd	12	924	1	4
9	Chaotic Lawful		1st	4th	2nd	2nd	1st	2nd	12	920	2	3
10	SC Bucket	Novice	2nd	1st	1st	2nd	2nd	4th	12	919	2	3
11	DU Cunning Linguists		3rd	2nd	2nd	1st	4th	1st	11	922	2	2
12	SC Stream AK		3rd	2nd	1st	1st	4th	2nd	11	917	2	2
13	DC Reincarnated F		4th	1st	1st	3rd	3rd	1st	11	775	3	0
14	CP		1st	4th	2nd	2nd	2nd	3rd	10	921	1	3
15	stonks	Novice	1st	3rd	1st	1st	4th	4th	10	918	3	0
16=	KS LB&amp;KT		4th	3rd	2nd	1st	2nd	2nd	10	913	1	3
16=	KNUST DP		1st	4th	3rd	2nd	2nd	2nd	10	913	1	3
18	KNUST BM	Novice	4th	4th	1st	3rd	1st	1st	10	899	3	0
19	Swing 2		4th	3rd	1st	2nd	1st	3rd	10	593	2	1
20	Miami Olliva Sami		1st	3rd	2nd	4th	1st	4th	9	923	2	1
21	KNUST G &amp; G	Novice	3rd	4th	2nd	1st	2nd	3rd	9	912	1	2
22	Ohh Well		1st	1st	4th	4th	1st	4th	9	856	3	0
23	LUC Maverick		2nd	4th	1st	3rd	4th	1st	9	457	2	1
24	HHU Village Idiots	Novice	4th	1st	3rd	1st	3rd	4th	8	912	2	0
25	HHU not Dihan and Val		2nd	3rd	2nd	3rd	3rd	3rd	8	911	0	2
26	SC DG		3rd	3rd	4th	2nd	2nd	2nd	8	904	0	3
27	UNIZIK UNIZIK C		2nd	1st	3rd	4th	4th	2nd	8	832	1	2
28	Ashiqur and Simone		4th	2nd	4th	1st	3rd	3rd	7	911	1	1
29	Apparently everyone is at Trinity t		2nd	1st	2nd	4th	4th	4th	7	910	1	2
30	Boba Time	Novice	3rd	2nd	3rd	3rd	3rd	3rd	7	905	0	1
31	CSD Akshat and Kaitlyn		4th	2nd	3rd	3rd	3rd	2nd	7	900	0	2
32	Battleground A		3rd	4th	3rd	—	2nd	1st	7	679	1	1
33	Rochester POIs in the chat space		2nd	3rd	1st	3rd	—	—	7	622	1	1
34	Irelan and Ash	Novice	2nd	2nd	3rd	4th	4th	3rd	6	895	0	2
35	UNIZIK D	Novice	3rd	4th	4th	2nd	4th	1st	6	510	1	1
36	W O’Bert / Thompson		3rd	4th	4th	3rd	2nd	3rd	5	809	0	1
37	Seattle cogs in the cap machine		4th	1st	4th	2nd	4th	4th	5	808	1	1
38	Rocky		4th	4th	3rd	1st	3rd	4th	5	665	1	0
39	UNIZIK We move		4th	3rd	4th	—	1st	4th	4	670	1	0
40	Swing 3		3rd	1st	4th	4th	—	4th	4	591	1	0
41	Swing 5		—	—	—	3rd	1st	—	4	295	1	0
42	Tanush		3rd	2nd	3rd	4th	—	—	4	224	0	1
43	UCC HJ		3rd	2nd	4th	4th	—	—	3	446	0	1
44	UNIZIK E		4th	3rd	2nd	4th	—	—	3	298	0	1
45	Swing		—	—	—	4th	4th	2nd	2	343	0	1
46	Reincarnated H		2nd	4th	4th	—	—	—	2	301	0	1
47	Swing 4		—	—	—	4th	—	—	0	140	0	0
48=	SC Swing Team - SC		—	—	—	—	—	—	—	—	0	0
48=	SC U11D		—	—	—	—	—	—	—	—	0	0
48=	SC U11D (Legit)		—	—	—	—	—	—	—	—	0	0
