team	result	side	adjudicators
UChicago 2	advancing	Opening Government	Arpi YangⒸ , Clarence Brontë , 🅱️ennis Su 🐼
UChicago 4	advancing	Opening Opposition	Arpi YangⒸ , Clarence Brontë , 🅱️ennis Su 🐼
Yale 5	eliminated	Closing Government	Arpi YangⒸ , Clarence Brontë , 🅱️ennis Su 🐼
Cornell 3	eliminated	Closing Opposition	Arpi YangⒸ , Clarence Brontë , 🅱️ennis Su 🐼
Harvard 4	advancing	Opening Government	Serena YuanⒸ , Amaar Jeyasothy 🇲🇾 , Sam Huang
PDP 2	advancing	Opening Opposition	Serena YuanⒸ , Amaar Jeyasothy 🇲🇾 , Sam Huang
JHU 1	eliminated	Closing Government	Serena YuanⒸ , Amaar Jeyasothy 🇲🇾 , Sam Huang
Harvard 1	eliminated	Closing Opposition	Serena YuanⒸ , Amaar Jeyasothy 🇲🇾 , Sam Huang
UPenn 1	advancing	Opening Government	Drew HarringtonⒸ , Grant Chen , Josh Cohen ☢️
GW 1	eliminated	Opening Opposition	Drew HarringtonⒸ , Grant Chen , Josh Cohen ☢️
Stanford 1	advancing	Closing Government	Drew HarringtonⒸ , Grant Chen , Josh Cohen ☢️
UCLA 2	eliminated	Closing Opposition	Drew HarringtonⒸ , Grant Chen , Josh Cohen ☢️
Harvard 3	eliminated	Opening Government	Ben FrazerⒸ , Dihan Niloy , Pranav Anand
UChicago 3	advancing	Opening Opposition	Ben FrazerⒸ , Dihan Niloy , Pranav Anand
Yale 6	advancing	Closing Government	Ben FrazerⒸ , Dihan Niloy , Pranav Anand
Duke 1	eliminated	Closing Opposition	Ben FrazerⒸ , Dihan Niloy , Pranav Anand
