Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	Total	Avg	Stdev
1=	Greg Weaving		PDP 2	88	82	81	83	83	81	81	82	661	82.62	2.18
1=	Tejas Subramaniam		Stanford 1	82	83	81	82	84	83	80	86	661	82.62	1.73
3	Jane Mentzinger		PDP 2	86	82	82	81	82	82	82	81	658	82.25	1.48
4	Devesh Kodnani		UChicago 4	82	80	80	83	84	81	83	83	656	82.00	1.41
5	Michael Ning		Yale 6	80	80	84	79	82	83	82	83	653	81.62	1.65
6	Bowser Liu	Novice	UChicago 3	81	82	81	84	81	79	80	83	651	81.38	1.49
7=	Matt Song		Yale 6	81	80	82	79	82	80	82	84	650	81.25	1.48
7=	Arthur Lee		Stanford 1	80	81	79	82	82	82	80	84	650	81.25	1.48
9	Brian Li		UChicago 4	81	79	79	83	82	80	81	83	648	81.00	1.50
10	Cayden Monteiro		GW 1	79	78	79	81	88	80	77	83	645	80.62	3.28
11=	Robert Brown		UChicago 3	80	80	78	83	81	80	80	82	644	80.50	1.41
11=	Benny Nicholson		UChicago 2	79	79	80	80	78	84	81	83	644	80.50	1.94
13=	Muzamil Godil		JHU 1	81	79	80	82	76	82	84	79	643	80.38	2.29
13=	Rohan Kapoor		UChicago 2	80	79	79	81	78	84	81	81	643	80.38	1.73
15=	Nick Bayer		Duke 1	78	82	81	81	80	83	77	79	641	80.12	1.90
15=	Jonas Poggi		GW 1	80	77	78	82	86	79	75	84	641	80.12	3.44
17	Rohan Battula	Novice	Harvard 1	84	77	81	79	81	80	81	77	640	80.00	2.18
18	Manon Fuchs		Duke 1	78	83	80	81	80	81	78	77	638	79.75	1.85
19=	Nathaniel Yoon		JHU 1	80	79	81	81	76	82	79	79	637	79.62	1.73
19=	Ishan Bhatt		Harvard 4	77	77	76	81	80	85	84	77	637	79.62	3.24
21	Sreyan Kanungo	ESL	HWS 1	80	78	79	81	81	80	78	79	636	79.50	1.12
22=	Thej Pranav Mallu	Novice	UCLA 2	77	80	76	83	79	79	81	80	635	79.38	2.06
22=	Matej Cerman		Harvard 1	83	76	80	79	80	80	81	76	635	79.38	2.23
24=	Lelan Hu		Yale 5	76	75	82	82	78	81	78	80	632	79.00	2.50
24=	Lamia Rahman	Novice, ESL	HWS 1	78	79	79	80	81	79	78	78	632	79.00	1.00
26=	Hasit Nanda	Novice	UPenn 1	78	77	80	80	77	80	81	78	631	78.88	1.45
26=	Belle	Novice	UCLA 2	77	79	75	83	80	78	80	79	631	78.88	2.20
26=	Harmoni Blackstock		USAFA 1	79	83	80	78	80	78	74	79	631	78.88	2.37
26=	Ely Altman	Novice	Yale 4	79	77	79	77	80	80	79	80	631	78.88	1.17
26=	Shyla Summers		Yale 4	78	77	78	76	81	80	79	82	631	78.88	1.90
31=	Maxwell Delorenzo	Novice	UPenn 1	78	76	81	81	77	80	80	77	630	78.75	1.85
31=	Anh Cao		Harvard 3	81	75	80	78	79	77	79	81	630	78.75	1.92
31=	Catherine Liu	Novice	Harvard 4	76	78	77	80	80	83	80	76	630	78.75	2.28
34	Jaimy Kim		Yale 5	73	76	81	82	77	80	79	80	628	78.50	2.78
35=	Ethan Jiang	Novice	UChicago 1	78	78	81	82	76	78	79	75	627	78.38	2.18
35=	Srishti Ghosh		PDP 1	79	78	78	78	77	78	77	82	627	78.38	1.49
37=	Dhruv Bindra	Novice, ESL	Duke 2	78	75	77	78	76	78	80	84	626	78.25	2.59
37=	Jake Peralta	Novice	UPenn 2	78	80	77	77	79	81	77	77	626	78.25	1.48
37=	Nir Amin		Harvard 3	79	77	80	77	78	76	78	81	626	78.25	1.56
40=	Isabel Orlando		Cornell 2	74	80	78	81	79	77	78	78	625	78.12	1.96
40=	Millie Caughey	Novice	Duke 2	77	74	77	78	77	78	80	84	625	78.12	2.71
40=	Helen Chau	Novice	UPenn 2	76	80	77	78	79	80	78	77	625	78.12	1.36
40=	Genevieve Cox		PDP 1	78	79	78	77	79	77	76	81	625	78.12	1.45
44=	Kyra Teo		Cornell 3	79	77	77	80	79	79	75	78	624	78.00	1.50
44=	Manuel Machorro	Novice, ESL	Bates 1	76	78	76	79	81	78	78	78	624	78.00	1.50
44=	Kayla Powers		HWS 3	79	78	74	79	84	75	76	79	624	78.00	2.92
47=	Lauren Blackwelder		USAFA 4	72	79	78	76	79	80	77	82	623	77.88	2.80
47=	Dylan Winward	Novice	UCLA 1	80	80	78	78	75	75	79	78	623	77.88	1.83
47=	Connor Rude		USAFA 1	79	81	78	79	78	79	71	78	623	77.88	2.76
50	Jack Thompson	Novice	UCLA 1	78	79	78	79	76	75	78	79	622	77.75	1.39
51=	Elizabeth Zhou	Novice	UCB 1	75	78	77	78	80	79	77	76	620	77.50	1.50
51=	Nathan Wong		UCB 1	74	77	78	78	81	78	78	76	620	77.50	1.87
53	Joanne Yang		Cornell 3	77	77	76	80	78	78	75	78	619	77.38	1.41
54	Dre Some		USAFA 4	71	79	78	77	78	78	77	80	618	77.25	2.54
55=	Michael Moran	Novice	UChicago 1	77	75	78	81	76	78	77	75	617	77.12	1.83
55=	Sandeep Tissaaratchy	Novice, ESL	HWS 3	76	78	74	79	83	75	74	78	617	77.12	2.85
57=	Oyuka Lyndon	Novice, ESL	Bates 1	75	78	75	79	80	76	77	76	616	77.00	1.73
57=	Ben Daniels	Novice	Yale 2	76	79	77	79	77	77	78	73	616	77.00	1.80
59=	Abigel Manaye		Cornell 2	74	80	78	78	78	76	75	76	615	76.88	1.83
59=	Isaac Smith		Morehouse 1	78	79	76	79	77	77	75	74	615	76.88	1.69
61	Mo Islam		Cornell 1	76	75	78	80	78	78	75	74	614	76.75	1.92
62	Jeffrey Tan	Novice	Yale 2	77	78	77	78	76	75	78	74	613	76.62	1.41
63=	Charles Ndlovu	ESL	U of R/ROC 1	77	77	74	78	79	76	76	75	612	76.50	1.50
63=	Patrick Ohazurike		Morehouse 1	78	79	77	79	75	75	75	74	612	76.50	1.87
65	Gaveal Fan	ESL	Cornell 1	75	75	76	79	78	78	76	74	611	76.38	1.65
66	Sabeet Kamzi	ESL	U of R/ROC 1	78	76	75	79	76	76	76	74	610	76.25	1.48
67	Rachel Wu	Novice	Stanford 2	77	75	75	76	77	74	76	76	606	75.75	0.97
68=	Omesh Dhar Dwivedi		DUDU 1	75	75	77	73	80	76	76	73	605	75.62	2.12
68=	Terry Lee	Novice, ESL	Duke 3	76	74	77	74	78	78	71	77	605	75.62	2.29
68=	Anshika Agarwal	Novice	Stanford 2	77	75	73	76	78	75	75	76	605	75.62	1.41
71	Casey Powell	Novice	Duke 3	77	74	78	74	77	76	71	77	604	75.50	2.18
72	Pedro Pontes García	Novice, ESL	Cornell 10	76	75	74	78	78	74	72	76	603	75.38	1.93
73	Cas Mulford		LCC 1	80	75	77	78	77	74	70	71	602	75.25	3.23
74=	Annaliese Simons	Novice	Bard 2	76	78	75	76	72	74	74	76	601	75.12	1.69
74=	Desiree Rigaud	Novice	Colgate 2	76	75	74	72	76	77	77	74	601	75.12	1.62
74=	Julia van Neerrijnen	Novice, ESL	HWS 4	73	77	76	77	74	80	72	72	601	75.12	2.67
74=	Abby Wilson		Wheaton 1	79	76	73	75	75	73	74	76	601	75.12	1.83
78	Sarah Danielson		Wheaton 1	79	76	73	75	76	73	73	75	600	75.00	1.94
79=	Rosanna Liu	Novice	DUDU 1	76	76	78	72	76	75	75	71	599	74.88	2.15
79=	Phil Geiser		LCC 1	82	75	76	77	77	75	67	70	599	74.88	4.28
79=	Aidan Dougherty	Novice	USAFA 3	74	76	74	75	76	73	73	78	599	74.88	1.62
79=	John Curry		Morehouse 2	77	75	70	76	77	75	72	77	599	74.88	2.42
79=	Brooke Vandehey	Novice	LCC 3	76	73	71	77	77	74	75	76	599	74.88	1.96
79=	Bridge Bach	Novice	USAFA 2	75	76	67	75	78	77	75	76	599	74.88	3.14
79=	Maltin Tocani	Novice	LCC 3	76	73	71	77	77	74	75	76	599	74.88	1.96
79=	Jackie Liu	Novice	USAFA 2	73	77	67	76	78	77	74	77	599	74.88	3.37
87=	Boen Beavers	Novice	Colgate 2	74	74	75	73	75	76	77	74	598	74.75	1.20
87=	Ava Olson	Novice	GFU 2	76	72	75	75	78	75	73	74	598	74.75	1.71
87=	Selena Little	Novice	USAFA 3	74	77	74	76	74	72	73	78	598	74.75	1.92
90=	Brianna Wright	Novice	Colgate 1	78	79	75	75	74	74	68	74	597	74.62	3.08
90=	Cristian Carranza	Novice	Cornell 6	75	76	75	74	75	76	74	72	597	74.62	1.22
90=	Neleah Richardson		USAFA 5	76	75	74	73	71	76	75	77	597	74.62	1.80
