team	result	side	adjudicators
Schnitzels get stitches	advancing	Closing Government	Ilija IvaniševićⒸ , Hadar Goldberg , Yishai Binnes
HUJI Right Here, RN	eliminated	Closing Opposition	Robert RaosⒸ , Marta Vasić , Zach Godley-McAvoy
LSE A	advancing	Opening Government	Ilija IvaniševićⒸ , Hadar Goldberg , Yishai Binnes
loud hostel sex	advancing	Opening Opposition	Robert RaosⒸ , Marta Vasić , Zach Godley-McAvoy
Mango	eliminated	Closing Opposition	Craig McDonaldⒸ , Amelia Potocka , Tin Puljić
UDS here to prep for narrowly missi	eliminated	Opening Opposition	Zarina Bell-GamⒸ , Assaph Hanany , Sharon Maidanchik
БАТО БРЕ (bro dude for non-balkan p	eliminated	Opening Government	Zarina Bell-GamⒸ , Assaph Hanany , Sharon Maidanchik
roko&#x27;s tabtastic	advancing	Opening Opposition	Craig McDonaldⒸ , Amelia Potocka , Tin Puljić
Two second speakers enter the ring	advancing	Closing Opposition	Zarina Bell-GamⒸ , Assaph Hanany , Sharon Maidanchik
Pakao	advancing	Closing Government	Zarina Bell-GamⒸ , Assaph Hanany , Sharon Maidanchik
Orange	eliminated	Closing Opposition	Ilija IvaniševićⒸ , Hadar Goldberg , Yishai Binnes
floccinaucinihilipilification	eliminated	Opening Opposition	Ilija IvaniševićⒸ , Hadar Goldberg , Yishai Binnes
Excited to implement our new VR tra	advancing	Closing Government	Robert RaosⒸ , Marta Vasić , Zach Godley-McAvoy
Average Irish brother and sister	eliminated	Opening Government	Robert RaosⒸ , Marta Vasić , Zach Godley-McAvoy
Fe2O3•nH2O	eliminated	Closing Government	Craig McDonaldⒸ , Amelia Potocka , Tin Puljić
This New Yet Unapproachable Vienna	advancing	Opening Government	Craig McDonaldⒸ , Amelia Potocka , Tin Puljić
