Rk	break	team	Pts	Spk	1sts	2nds
1	(different break)	Pakao	14	823.00	4	1
2	(different break)	Average Irish brother and sister	11	800.00	3	1
3	(different break)	UDS here to prep for narrowly missi	11	791.00	3	0
4	(different break)	Mango	11	788.00	3	1
5	(different break)	БАТО БРЕ (bro dude for non-balkan p	10	790.00	1	3
6	1	ACS A	10	787.00	3	0
7	2	Tititum	10	783.00	2	2
8	3	Haifa T&amp;O	9	800.00	2	1
9	4	Grape	9	789.00	2	1
10	5	Escaping from blue light	9	772.00	2	1
11	6	Oedipus and his madre	9	772.00	1	2
12	7	Mickey Mouse, Winnie the Pooh Case	9	768.00	1	2
13	8	No pandemics or car crashes will st	9	763.00	2	1
