Rk	break	team	Pts	Spk	1sts	2nds
1	1	Pakao	14	823.00	4	1
2	2	Excited to implement our new VR tra	13	827.00	3	2
3	3	Fe2O3•nH2O	12	805.00	3	1
4	4	floccinaucinihilipilification	12	804.00	3	1
5	5	LSE A	12	799.00	3	1
6	6	roko&#x27;s tabtastic	11	805.00	2	2
7	7	Average Irish brother and sister	11	800.00	3	1
8	8	Two second speakers enter the ring	11	796.00	2	2
9	9	UDS here to prep for narrowly missi	11	791.00	3	0
10=	10	HUJI Right Here, RN	11	788.00	3	1
10=	10	Mango	11	788.00	3	1
12	12	Schnitzels get stitches	10	811.00	3	0
13	13	Orange	10	798.00	2	2
14	14	This New Yet Unapproachable Vienna	10	797.00	2	1
15	15	loud hostel sex	10	790.00	2	2
16	16	БАТО БРЕ (bro dude for non-balkan p	10	790.00	1	3
