Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Pakao	ESL	1st	2nd	1st	1st	1st	14	823	4	1
2	Excited to implement our new VR tra		1st	1st	1st	2nd	2nd	13	827	3	2
3	Fe2O3•nH2O		2nd	1st	3rd	1st	1st	12	805	3	1
4	floccinaucinihilipilification		3rd	1st	2nd	1st	1st	12	804	3	1
5	LSE A		1st	1st	2nd	1st	3rd	12	799	3	1
6	roko&#x27;s tabtastic		1st	3rd	1st	2nd	2nd	11	805	2	2
7	Average Irish brother and sister	ESL	1st	1st	1st	4th	2nd	11	800	3	1
8	Two second speakers enter the ring		3rd	1st	1st	2nd	2nd	11	796	2	2
9	UDS here to prep for narrowly missi	ESL	1st	1st	3rd	3rd	1st	11	791	3	0
10=	HUJI Right Here, RN		1st	4th	1st	2nd	1st	11	788	3	1
10=	Mango	ESL, Pro Am	1st	2nd	4th	1st	1st	11	788	3	1
12	Schnitzels get stitches		1st	3rd	1st	4th	1st	10	811	3	0
13	Orange		1st	2nd	4th	2nd	1st	10	798	2	2
14	This New Yet Unapproachable Vienna		1st	1st	2nd	3rd	3rd	10	797	2	1
15	loud hostel sex		2nd	4th	1st	1st	2nd	10	790	2	2
16	БАТО БРЕ (bro dude for non-balkan p	ESL	2nd	2nd	2nd	1st	3rd	10	790	1	3
17	ACS A	ESL	1st	4th	1st	3rd	1st	10	787	3	0
18	Tititum	ESL, Pro Am	1st	2nd	2nd	1st	4th	10	783	2	2
19	Knuckles the Echidna Fan Club		2nd	4th	2nd	1st	1st	10	771	2	2
20	Haifa T&amp;O	ESL	1st	3rd	1st	2nd	4th	9	800	2	1
21	Grape	ESL	1st	2nd	3rd	4th	1st	9	789	2	1
22	Every Time You Reject a POI Jack&#x27;s 		2nd	1st	4th	1st	3rd	9	787	2	1
23	Harvard A		2nd	1st	3rd	3rd	2nd	9	783	1	2
24	Oxford B	Pro Am	2nd	2nd	3rd	2nd	2nd	9	776	0	4
25	Escaping from blue light	ESL, Pro Am	1st	3rd	1st	4th	2nd	9	772	2	1
26	Oedipus and his madre	ESL	3rd	2nd	2nd	1st	3rd	9	772	1	2
27	Harvard B		4th	1st	2nd	3rd	1st	9	770	2	1
28	Mickey Mouse, Winnie the Pooh Case	ESL, Pro Am	3rd	2nd	1st	2nd	3rd	9	768	1	2
29	No pandemics or car crashes will st	ESL	1st	3rd	2nd	1st	4th	9	763	2	1
30	Mater dea	ESL	4th	2nd	1st	3rd	1st	9	759	2	1
31	Stealth R Us		1st	2nd	2nd	3rd	4th	8	806	1	2
32	One of us sleeps with Polish men an		2nd	2nd	2nd	4th	2nd	8	787	0	4
33	Michal &amp; Dror Weizmann	ESL	2nd	4th	2nd	2nd	2nd	8	774	0	4
34	Burazinios	ESL	2nd	1st	3rd	2nd	4th	8	773	1	2
35	Munich A	ESL	1st	1st	4th	3rd	3rd	8	768	2	0
36	Zagreb LR	ESL, Pro Am	3rd	1st	3rd	3rd	2nd	8	765	1	1
37	No answer	ESL, Pro Am	4th	2nd	1st	2nd	3rd	8	760	1	2
38	Technion K&amp;W	ESL	1st	3rd	4th	1st	3rd	8	758	2	0
39	Technion I&amp;M	ESL	3rd	2nd	2nd	4th	1st	8	758	1	2
40	Breaking news	ESL, Pro Am	3rd	2nd	3rd	3rd	1st	8	758	1	1
41	Silver Blue	ESL	2nd	4th	3rd	1st	2nd	8	755	1	2
42	EJG Hápika	ESL, Pro Am	3rd	4th	2nd	1st	2nd	8	742	1	2
43	Little Bakugans	ESL, Pro Am	2nd	4th	3rd	2nd	1st	8	740	1	2
44	The Weber-Garbe Incident	Pro Am	4th	4th	2nd	1st	1st	8	729	2	1
45	No analysis? How about you analyze 	ESL	2nd	3rd	2nd	2nd	4th	7	775	0	3
46	the goodest bois	ESL, Pro Am	4th	1st	2nd	3rd	3rd	7	772	1	1
47	Freedom for Sealand	ESL	3rd	1st	1st	4th	4th	7	768	2	0
48	Oxford A	Pro Am	2nd	3rd	1st	4th	3rd	7	767	1	1
49	Mission Impactable	ESL	3rd	3rd	2nd	1st	4th	7	759	1	1
50	Strijp 1A		2nd	2nd	3rd	4th	2nd	7	756	0	3
51	POIs on the chat please	ESL	2nd	4th	3rd	1st	3rd	7	754	1	1
52	BP Avengers	Pro Am	3rd	4th	3rd	1st	2nd	7	751	1	1
53	Speed and Power	Pro Am	3rd	1st	4th	3rd	2nd	7	736	1	1
54=	Principled debating	ESL, Pro Am	3rd	4th	4th	1st	1st	7	726	2	0
54=	Trucido	ESL, Pro Am	1st	4th	3rd	4th	1st	7	726	2	0
56	Trash&amp;Treasures	ESL	4th	2nd	3rd	2nd	2nd	7	670	0	3
57	Swing A		2nd	3rd	2nd	2nd	4th	7	461	0	3
58	Swing C		2nd	3rd	1st	3rd	4th	7	382	1	1
59	Ljubljana 3 The Movie #1: Spring of	ESL, Pro Am	3rd	3rd	3rd	1st	3rd	7	378	1	0
60	AnglerMerkel	ESL	2nd	1st	4th	4th	3rd	6	757	1	1
61	Oxford C	Pro Am	2nd	3rd	4th	1st	4th	6	755	1	1
62	USAFA SL &amp; CR		2nd	2nd	3rd	4th	3rd	6	755	0	2
63	Purple Panthers	Pro Am	3rd	3rd	4th	3rd	1st	6	751	1	0
64	make words not war		4th	3rd	1st	2nd	4th	6	743	1	1
65	Munich B	ESL, Pro Am	4th	1st	4th	2nd	3rd	6	734	1	1
66	Munich O&#x27;Galexi	Pro Am	4th	2nd	4th	2nd	2nd	6	725	0	3
67	The Twitterati		3rd	4th	1st	3rd	3rd	6	723	1	0
68	The austrian-dutch coalition	Pro Am	4th	3rd	4th	2nd	1st	6	700	1	1
69	Swing B		3rd	4th	1st	2nd	4th	6	371	1	1
70	The Sun in our hearts	ESL	1st	4th	3rd	3rd	4th	5	742	1	0
71	Sciences Po A	ESL, Pro Am	4th	3rd	4th	3rd	1st	5	741	1	0
72	Giraffe &amp; Owl	ESL, Pro Am	4th	1st	4th	4th	2nd	5	737	1	1
73	Judas and the Thirty Silvers	ESL	3rd	1st	4th	4th	3rd	5	736	1	0
74	Take De Bait	ESL	4th	2nd	1st	4th	4th	5	734	1	1
75	EJG Prove Us Wrong	ESL, Pro Am	3rd	3rd	2nd	4th	3rd	5	729	0	1
76	Chopin Liszt	ESL	2nd	4th	4th	3rd	2nd	5	725	0	2
77	CEU Debate Society	ESL	4th	1st	4th	4th	2nd	5	717	1	1
