team	result	side	adjudicators
Athens A	1st	Opening Government	Marina KojićⒸ
Oxford DN	2nd	Opening Opposition	Marina KojićⒸ
Sciences Po Wawaweewa	4th	Closing Government	Marina KojićⒸ
NUS LL	1st	Opening Government	Lucie SlamovaⒸ
Oxford AP	3rd	Opening Opposition	Lucie SlamovaⒸ
Chicago JR	2nd	Closing Government	Lucie SlamovaⒸ
Harvard BB	4th	Closing Opposition	Lucie SlamovaⒸ
HUJI It&#x27;s not new information it&#x27;s rest	2nd	Opening Government	Sher May NarⒸ
St Andrews jasmine analysis: fragrant with a	3rd	Opening Opposition	Sher May NarⒸ
Harvard LT	1st	Closing Government	Sher May NarⒸ
Bucharest A(ustria&#x27;s immigration problem)	4th	Closing Opposition	Sher May NarⒸ
BUET B	2nd	Opening Government	Maša PopeskovićⒸ
Korea Fish bread with red beans	3rd	Opening Opposition	Maša PopeskovićⒸ
Swing B	4th	Closing Government	Maša PopeskovićⒸ
Seoul Chimaek	1st	Closing Opposition	Maša PopeskovićⒸ
Chicago RJ	3rd	Closing Opposition	Marina KojićⒸ
Cambridge HCI A	1st	Opening Government	Mahesh RⒸ
Swing TAU Ayy	3rd	Opening Opposition	Mahesh RⒸ
Ghana Team Avatar	2nd	Closing Government	Mahesh RⒸ
TCD Hist B	4th	Closing Opposition	Mahesh RⒸ
LSE A	1st	Opening Government	Jason XiaoⒸ
Harvard no confidence in this case	2nd	Opening Opposition	Jason XiaoⒸ
Oxford KE	4th	Closing Government	Jason XiaoⒸ
TCD Phil A	3rd	Closing Opposition	Jason XiaoⒸ
HGHS no solvency	1st	Opening Government	Diego DuarteⒸ
Chicago LW	4th	Opening Opposition	Diego DuarteⒸ
Chile Flo and Peralta Inc.	2nd	Closing Government	Diego DuarteⒸ
Thammasat Fluffy Quokka	3rd	Closing Opposition	Diego DuarteⒸ
NUS Boy Bawang	3rd	Closing Opposition	Jessica MusulinⒸ , Oisín Browne
Edinburgh Bunker vaping call that Enver Hoxh	2nd	Opening Government	Mukhtar TashkenbayevⒸ , Veda Nair
Cornell OM	1st	Opening Opposition	Mukhtar TashkenbayevⒸ , Veda Nair
KNUST Attakpah and Ametu	3rd	Closing Government	Mukhtar TashkenbayevⒸ , Veda Nair
Durham WE	4th	Closing Opposition	Mukhtar TashkenbayevⒸ , Veda Nair
UNWE A(ustria let us in Schengen pls)	2nd	Opening Government	Jessica MusulinⒸ , Oisín Browne
UL Team SL	4th	Opening Opposition	Jessica MusulinⒸ , Oisín Browne
TAU Swing A	1st	Closing Government	Jessica MusulinⒸ , Oisín Browne
Chula A	3rd	Opening Opposition	Youngwoo ParkⒸ , Auguste McNally
PUCP A	2nd	Closing Government	Youngwoo ParkⒸ , Auguste McNally
Split Otrova u chay	4th	Closing Opposition	Youngwoo ParkⒸ , Auguste McNally
UCD L&amp;H A	1st	Opening Government	Youngwoo ParkⒸ , Auguste McNally
Ateneo 1	1st	Opening Opposition	Joseph LewisⒸ , Nathaniel Yoon
Imperial B(ackstreet&#x27;s back ALRIGHT)	4th	Closing Government	Joseph LewisⒸ , Nathaniel Yoon
UPD Garcia &amp; Legaspi	2nd	Closing Opposition	Joseph LewisⒸ , Nathaniel Yoon
Sofia B(	3rd	Opening Government	Joseph LewisⒸ , Nathaniel Yoon
AUEB Voyager 1 &amp; 2	3rd	Opening Opposition	Andrew ChenⒸ
Technion not throwing the wolves to the wol	1st	Opening Government	Zach Godley-McAvoyⒸ , Tousif Tanvir Alam
Tokyo YY	3rd	Opening Opposition	Zach Godley-McAvoyⒸ , Tousif Tanvir Alam
UCLA Opinionators	4th	Closing Government	Zach Godley-McAvoyⒸ , Tousif Tanvir Alam
Yale-NUS We&#x27;re Both Asian We Swear	2nd	Closing Opposition	Zach Godley-McAvoyⒸ , Tousif Tanvir Alam
Tokyo YT	1st	Opening Government	Andrew ChenⒸ
Melbourne B	2nd	Closing Government	Andrew ChenⒸ
Tokyo Garden Dog	4th	Closing Opposition	Andrew ChenⒸ
Berlin A	1st	Opening Government	V SayiramⒸ , Pratham Dikshit
Palm	3rd	Opening Opposition	V SayiramⒸ , Pratham Dikshit
Tokyo Climb up the debating ladder	2nd	Closing Government	V SayiramⒸ , Pratham Dikshit
Skyrocket	4th	Closing Opposition	V SayiramⒸ , Pratham Dikshit
BGU strategic 4th	3rd	Opening Government	Owen GoodacreⒸ
CEU	4th	Opening Opposition	Owen GoodacreⒸ
Chicago MP	1st	Closing Government	Owen GoodacreⒸ
Bucharest B(ulgaria should be in Schengen)	2nd	Closing Opposition	Owen GoodacreⒸ
Zagreb A	1st	Opening Government	William SmithⒸ , Ryosei Kobayashi
Imperial A	3rd	Opening Opposition	William SmithⒸ , Ryosei Kobayashi
Chicago HP	4th	Closing Government	William SmithⒸ , Ryosei Kobayashi
Mice In Our Walls	2nd	Closing Opposition	William SmithⒸ , Ryosei Kobayashi
Harvard CH	2nd	Opening Government	Shireen AliⒸ , Choy Sum Yee Evelyn
UCLA am-am	1st	Opening Opposition	Shireen AliⒸ , Choy Sum Yee Evelyn
Warsaw (XD)	4th	Closing Government	Shireen AliⒸ , Choy Sum Yee Evelyn
LSE Finally prepping worlds with the r	3rd	Closing Opposition	Shireen AliⒸ , Choy Sum Yee Evelyn
Oxford Epistemic Authority	2nd	Opening Government	Lior SokolⒸ , Katharina Jansen
Started from mail-order brides now	1st	Opening Opposition	Lior SokolⒸ , Katharina Jansen
Reichman A	3rd	Closing Government	Lior SokolⒸ , Katharina Jansen
IUB Birdie Association	4th	Closing Opposition	Lior SokolⒸ , Katharina Jansen
BUET C	4th	Opening Government	Alex McCreadieⒸ , Mezen Lababidi
Rosario A (Sloterdijk)	2nd	Opening Opposition	Alex McCreadieⒸ , Mezen Lababidi
NTU HO	1st	Closing Government	Alex McCreadieⒸ , Mezen Lababidi
HUJI Hujilicious	3rd	Closing Opposition	Alex McCreadieⒸ , Mezen Lababidi
Sofia A	1st	Opening Government	Anna ShrederⒸ , Chu Duc An
BINUS A	3rd	Opening Opposition	Anna ShrederⒸ , Chu Duc An
Oxford MF	4th	Closing Government	Anna ShrederⒸ , Chu Duc An
NUS Pu Bor	2nd	Closing Opposition	Anna ShrederⒸ , Chu Duc An
De La Salle Kuo Tiffany	3rd	Opening Government	Juanita Hincapié RestrepoⒸ , Sam Penno
Sydney Freeland and Bakker	1st	Opening Opposition	Juanita Hincapié RestrepoⒸ , Sam Penno
Manthan you&#x27;re on your own kid	4th	Closing Government	Juanita Hincapié RestrepoⒸ , Sam Penno
Nottingham Melodifestivalen Fan Club	2nd	Closing Opposition	Juanita Hincapié RestrepoⒸ , Sam Penno
Seoul Somaek	3rd	Opening Government	Kevin LeeⒸ , Leauren S. Ji
Melbourne Bye, Melbourne Mini!	2nd	Opening Opposition	Kevin LeeⒸ , Leauren S. Ji
Bates MO	4th	Closing Government	Kevin LeeⒸ , Leauren S. Ji
Sydney B	1st	Closing Opposition	Kevin LeeⒸ , Leauren S. Ji
NTU NL	2nd	Opening Government	Narayan SharmaⒸ , Saleem Salisu
DK Wien Vienna B	1st	Opening Opposition	Narayan SharmaⒸ , Saleem Salisu
Aalto Finnished	4th	Closing Government	Narayan SharmaⒸ , Saleem Salisu
