Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds	Irons
1	LSE A		1st	1st	1st	1st	1st	15	820	5	0	0
2	TCD Phil A		1st	1st	3rd	1st	1st	13	812	4	0	0
3	Ateneo 1		1st	2nd	1st	1st	3rd	12	831	3	1	0
4	Started from mail-order brides now		1st	3rd	1st	2nd	1st	12	817	3	1	0
5	Sydney B		1st	4th	1st	1st	1st	12	809	4	0	0
6	Sofia A	ESL	1st	3rd	1st	1st	2nd	12	808	3	1	0
7	UNWE A(ustria let us in Schengen pls)	ESL	2nd	1st	2nd	2nd	2nd	11	817	1	4	0
8	Dartmouth am i visible		2nd	1st	1st	3rd	2nd	11	816	2	2	0
9	Mice In Our Walls		1st	1st	2nd	2nd	3rd	11	810	2	2	0
10	Zagreb A	ESL	1st	1st	1st	4th	2nd	11	807	3	1	0
11	St Andrews jasmine analysis: fragrant with a		2nd	2nd	3rd	1st	1st	11	807	2	2	0
12	Sydney Druce &amp; Kuo		2nd	2nd	1st	3rd	1st	11	806	2	2	0
13	Melbourne B		1st	3rd	2nd	2nd	1st	11	779	2	2	0
14	Sofia B(	ESL	2nd	1st	3rd	3rd	1st	10	812	2	1	0
15	UPD Garcia &amp; Legaspi		1st	2nd	2nd	1st	4th	10	800	2	2	0
16	NUS LL		2nd	2nd	1st	3rd	2nd	10	796	1	3	0
17	IUB Birdie Association	ESL	1st	3rd	4th	1st	1st	10	793	3	0	1
18	Sydney Freeland and Bakker		3rd	2nd	1st	1st	3rd	10	782	2	1	0
19	Imperial A		1st	2nd	3rd	3rd	1st	10	777	2	1	0
20	Yale-NUS We&#x27;re Both Asian We Swear		3rd	3rd	2nd	1st	1st	10	768	2	1	0
21	TAU Swing A	ESL	2nd	1st	1st	2nd	—	10	641	2	2	0
22	Harvard CH		—	1st	2nd	1st	2nd	10	624	2	2	0
23	Harvard LT		1st	2nd	1st	3rd	4th	9	814	2	1	0
24	Chicago GK		1st	2nd	2nd	2nd	4th	9	802	1	3	0
25	NUS Boy Bawang		2nd	1st	3rd	2nd	3rd	9	798	1	2	0
26	Bucharest A(ustria&#x27;s immigration problem)	ESL	1st	2nd	4th	1st	3rd	9	797	2	1	0
27	De La Salle AA	ESL	1st	4th	2nd	2nd	2nd	9	794	1	3	0
28	HUJI It&#x27;s not new information it&#x27;s rest		2nd	1st	2nd	4th	2nd	9	792	1	3	0
29	Oxford AP	Novice	2nd	2nd	3rd	2nd	2nd	9	789	0	4	0
30	Melbourne Bye, Melbourne Mini!		1st	4th	2nd	1st	3rd	9	787	2	1	0
31	Oxford DN	Novice	1st	4th	2nd	2nd	2nd	9	783	1	3	0
32=	Cambridge Do You Know?		1st	2nd	3rd	2nd	3rd	9	783	1	2	0
32=	LSE Finally prepping worlds with the r		2nd	3rd	3rd	2nd	1st	9	783	1	2	0
34	UNSW B		4th	2nd	1st	2nd	2nd	9	782	1	3	0
35	Bates MO	ESL	3rd	2nd	4th	1st	1st	9	781	2	1	0
36	Cambridge HCI A	Novice	4th	3rd	1st	2nd	1st	9	775	2	1	0
37	UCD L&amp;H A		3rd	3rd	1st	3rd	1st	9	767	2	0	1
38	Harvard BB		3rd	1st	4th	2nd	1st	9	765	2	1	3
39	Athens A	ESL	—	1st	1st	1st	4th	9	650	3	0	0
40	Oxford KE	Novice	1st	1st	4th	2nd	4th	8	798	2	1	0
41	Harvard no confidence in this case		1st	1st	2nd	4th	4th	8	789	2	1	0
42	Chicago JR	Novice	1st	3rd	2nd	3rd	3rd	8	789	1	1	0
43	Oxford Epistemic Authority		2nd	2nd	2nd	3rd	3rd	8	789	0	3	0
44	Tokyo YT	ESL	1st	3rd	1st	3rd	4th	8	785	2	0	0
45	Reichman A	ESL	1st	3rd	3rd	3rd	2nd	8	782	1	1	0
46	DK Wien Vienna B	ESL	4th	1st	1st	4th	2nd	8	781	2	1	0
47	NUS Rise too high must fall		3rd	1st	4th	1st	3rd	8	781	2	0	0
48	Edinburgh Bunker vaping call that Enver Hoxh		4th	1st	2nd	3rd	2nd	8	776	1	2	0
49	BINUS A	ESL	3rd	1st	3rd	4th	1st	8	771	2	0	0
50	Oxford MF		3rd	1st	4th	3rd	1st	8	770	2	0	0
51	Imperial B(ackstreet&#x27;s back ALRIGHT)		2nd	1st	4th	4th	1st	8	768	2	1	0
52	qfin ppl	ESL	3rd	4th	1st	3rd	1st	8	765	2	0	0
53	Cambridge we dont know		4th	2nd	2nd	1st	3rd	8	765	1	2	0
54	UCLA am-am		2nd	3rd	1st	4th	2nd	8	764	1	2	0
55	Yeonwoo and Salleh	ESL	2nd	2nd	4th	2nd	2nd	8	764	0	4	0
56	Chicago RJ		1st	4th	3rd	3rd	1st	8	755	2	0	1
57	BJ A	ESL	3rd	1st	2nd	4th	3rd	7	784	1	1	0
58	Seoul Somaek		2nd	3rd	3rd	1st	4th	7	782	1	1	0
59=	De La Salle Kuo Tiffany	ESL	2nd	3rd	3rd	4th	1st	7	778	1	1	0
59=	Nottingham Melodifestivalen Fan Club		3rd	3rd	2nd	1st	4th	7	778	1	1	0
61	Monash Mutually Assured Destruction B	Novice	4th	1st	3rd	1st	4th	7	768	2	0	0
62	Technion not throwing the wolves to the wol	ESL	2nd	4th	1st	3rd	3rd	7	768	1	1	0
63	PUCP A	ESL	3rd	3rd	2nd	3rd	2nd	7	767	0	2	0
64	Cornell OM		4th	1st	1st	4th	3rd	7	765	2	0	0
65	NTU HO		4th	2nd	1st	4th	2nd	7	762	1	2	0
66	Zagreb LF	ESL	4th	2nd	3rd	1st	3rd	7	760	1	1	1
67	KNUST Attakpah and Ametu	ESL	2nd	3rd	3rd	3rd	2nd	7	760	0	2	0
68=	BUET No name cause our minds went blank	ESL	2nd	3rd	3rd	1st	4th	7	757	1	1	1
68=	Tokyo Garden Dog	ESL	3rd	1st	4th	2nd	3rd	7	757	1	1	0
70	Rosario A (Sloterdijk)	ESL	3rd	3rd	2nd	3rd	2nd	7	755	0	2	0
71	Warsaw (XD)	ESL, Novice	4th	1st	4th	3rd	1st	7	750	2	0	0
72	TCD Hist A		2nd	4th	4th	1st	2nd	7	748	1	2	1
73	Swing A		4th	2nd	1st	2nd	—	7	621	1	2	1
74	KNOBS A	ESL	3rd	2nd	3rd	2nd	4th	6	773	0	2	0
75	NUS Pu Bor		1st	4th	2nd	4th	3rd	6	770	1	1	0
76	TAU R&amp;O	ESL	3rd	4th	2nd	4th	1st	6	767	1	1	1
77	Chicago HP		1st	1st	4th	4th	4th	6	764	2	0	1
78	Ghana Team Avatar	ESL	3rd	4th	2nd	4th	1st	6	762	1	1	0
79	HUJI Hujilicious	ESL	2nd	4th	3rd	3rd	2nd	6	762	0	2	0
80	NTU SG		1st	4th	1st	4th	4th	6	758	2	0	0
81	Chula A	ESL	4th	2nd	3rd	3rd	2nd	6	755	0	2	0
82	Manthan you&#x27;re on your own kid		4th	1st	4th	2nd	3rd	6	753	1	1	4
83	Sciences Po Wawaweewa	ESL, Novice	2nd	3rd	4th	2nd	3rd	6	752	0	2	0
84	AUEB Voyager 1 &amp; 2	ESL	3rd	1st	3rd	3rd	4th	6	750	1	0	0
85	Chicago MP	Novice	4th	4th	1st	1st	4th	6	749	2	0	3
86	Chicago LW		4th	4th	4th	1st	1st	6	747	2	0	0
87	Split Otrova u chay	ESL	2nd	4th	4th	2nd	2nd	6	746	0	3	1
88	NTU NL		3rd	2nd	2nd	4th	4th	5	764	0	2	0
89	SISU Manphia	ESL	2nd	4th	3rd	3rd	3rd	5	760	0	1	0
90	Thammasat Fluffy Quokka	ESL	3rd	4th	3rd	4th	1st	5	755	1	0	0
91	Berlin A	ESL	4th	3rd	1st	4th	3rd	5	747	1	0	0
92	Palm	ESL	3rd	4th	3rd	1st	4th	5	746	1	0	0
93	Chile Flo and Peralta Inc.	ESL	3rd	4th	2nd	2nd	4th	5	745	0	2	0
94	Durham WE		4th	2nd	4th	1st	4th	5	742	1	1	0
95	Munich Pēgasos		3rd	4th	3rd	2nd	3rd	5	742	0	1	0
96	Bucharest B(ulgaria should be in Schengen)	ESL	—	4th	2nd	2nd	3rd	5	595	0	2	0
97	Tokyo YY	ESL	4th	2nd	3rd	2nd	—	5	593	0	2	1
98	Swing TAU Ayy		—	3rd	3rd	1st	—	5	462	1	0	0
99	UL Team SL	ESL, Novice	2nd	2nd	4th	4th	4th	4	750	0	2	0
100	BUET C	ESL	2nd	4th	4th	3rd	3rd	4	748	0	1	0
101	Monash D	Novice	3rd	3rd	2nd	4th	4th	4	744	0	1	0
102	HGHS no solvency	Novice	4th	3rd	1st	4th	4th	4	741	1	0	0
103	UCLA Opinionators	ESL, Novice	3rd	3rd	4th	4th	2nd	4	739	0	1	0
104	Seoul Chimaek	Novice	4th	4th	1st	4th	3rd	4	738	1	0	0
105	Tokyo Climb up the debating ladder	ESL	4th	3rd	2nd	4th	3rd	4	737	0	1	0
106	BGU DNS	ESL	4th	3rd	4th	3rd	2nd	4	733	0	1	0
107	Skyrocket	ESL, Novice	4th	3rd	4th	1st	4th	4	726	1	0	0
108	TCD Hist B		4th	—	4th	2nd	2nd	4	596	0	2	0
109	Budapest A	ESL, Novice	2nd	4th	4th	3rd	4th	3	744	0	1	0
110	Aalto Finnished		3rd	2nd	4th	4th	4th	3	739	0	1	0
111	Harvard AS		3rd	2nd	—	—	—	3	306	0	1	2
112	BGU strategic 4th	ESL	4th	4th	3rd	3rd	4th	2	732	0	0	0
113	CEU	ESL, Novice	—	4th	4th	3rd	3rd	2	568	0	0	0
114	BUET B	ESL	—	4th	2nd	4th	—	2	440	0	1	0
115	TCD Phil B		4th	2nd	—	—	—	2	303	0	1	1
116	Swing C		—	—	—	2nd	—	2	153	0	1	0
117	Korea Fish bread with red beans		4th	4th	3rd	4th	—	1	591	0	0	2
118	Ambedkar I can&#x27;t	Novice	4th	3rd	4th	—	—	1	436	0	0	0
119	Cambridge SG		3rd	—	—	—	—	1	153	0	0	0
120	Swing B		—	—	4th	4th	—	0	283	0	0	0
121=	Manchester A		—	—	—	—	—	—	—	0	0	0
121=	Comrade Legasov		—	—	—	—	—	—	—	0	0	0
