team	institution	result	side	adjudicators
Ateneo de Manila A	Ateneo de Manila	advancing	Opening Government	Klaudia MaciejewskaⒸ , Abhishek Acharya , Aisha O&#x27;Malley , NJUGUNA MACHARIA , Niki Angelov
TCD Phil A	TCD Phil	advancing	Opening Opposition	Klaudia MaciejewskaⒸ , Abhishek Acharya , Aisha O&#x27;Malley , NJUGUNA MACHARIA , Niki Angelov
ANU A	ANU	eliminated	Closing Government	Klaudia MaciejewskaⒸ , Abhishek Acharya , Aisha O&#x27;Malley , NJUGUNA MACHARIA , Niki Angelov
McGill A	McGill	eliminated	Closing Opposition	Klaudia MaciejewskaⒸ , Abhishek Acharya , Aisha O&#x27;Malley , NJUGUNA MACHARIA , Niki Angelov
Yale A	Yale	eliminated	Opening Government	Kiana Saint-MacaryⒸ , Alice Bertoni , Jamie Salem Dalgety , Milos &quot;no sí&quot; Marjanovic , OGUNDARE TAYE TOBI
NUS A	NUS	advancing	Opening Opposition	Kiana Saint-MacaryⒸ , Alice Bertoni , Jamie Salem Dalgety , Milos &quot;no sí&quot; Marjanovic , OGUNDARE TAYE TOBI
Sofia A	Sofia	advancing	Closing Government	Kiana Saint-MacaryⒸ , Alice Bertoni , Jamie Salem Dalgety , Milos &quot;no sí&quot; Marjanovic , OGUNDARE TAYE TOBI
Vienna A	Vienna	eliminated	Closing Opposition	Kiana Saint-MacaryⒸ , Alice Bertoni , Jamie Salem Dalgety , Milos &quot;no sí&quot; Marjanovic , OGUNDARE TAYE TOBI
Princeton B	Princeton	advancing	Opening Government	Pranav KagalkarⒸ , Aniket Chakravorty , Elaye Karstadt , Jessica Musulin , Juanita &quot;where is the draw?&quot; Hincapié Restrepo
Imperial A	Imperial	eliminated	Opening Opposition	Pranav KagalkarⒸ , Aniket Chakravorty , Elaye Karstadt , Jessica Musulin , Juanita &quot;where is the draw?&quot; Hincapié Restrepo
Sydney D	Sydney	advancing	Closing Government	Pranav KagalkarⒸ , Aniket Chakravorty , Elaye Karstadt , Jessica Musulin , Juanita &quot;where is the draw?&quot; Hincapié Restrepo
GUU A	GUU	eliminated	Closing Opposition	Pranav KagalkarⒸ , Aniket Chakravorty , Elaye Karstadt , Jessica Musulin , Juanita &quot;where is the draw?&quot; Hincapié Restrepo
Chicago KL	Chicago	advancing	Opening Government	Jack SynnottⒸ , Ameera Natasha Moore , Craig McDonald , Katarina Kuo , Pragyan
UNWE A	UNWE	eliminated	Opening Opposition	Jack SynnottⒸ , Ameera Natasha Moore , Craig McDonald , Katarina Kuo , Pragyan
BRAC A	BRAC	advancing	Closing Government	Jack SynnottⒸ , Ameera Natasha Moore , Craig McDonald , Katarina Kuo , Pragyan
PEP Belgrade A	PEP Belgrade	eliminated	Closing Opposition	Jack SynnottⒸ , Ameera Natasha Moore , Craig McDonald , Katarina Kuo , Pragyan
