team	institution	result	side	ballot	adjudicators
Aalto TL	Aalto	3rd	Opening Government	View Ballot	Sébastien Dunne FulmerⒸ , Mishaal Said
Malaya 1	Malaya	2nd	Opening Opposition	View Ballot	Sébastien Dunne FulmerⒸ , Mishaal Said
ADNU A	ADNU	4th	Closing Government	View Ballot	Sébastien Dunne FulmerⒸ , Mishaal Said
EDS A	EDS	1st	Closing Opposition	View Ballot	Sébastien Dunne FulmerⒸ , Mishaal Said
BFSU BY	BFSU	4th	Opening Government	View Ballot	Davida PaulⒸ , Vigneshwaran A/L Sundrasagar
Weizmann A	Weizmann	3rd	Opening Opposition	View Ballot	Davida PaulⒸ , Vigneshwaran A/L Sundrasagar
IHU E	IHU	2nd	Closing Government	View Ballot	Davida PaulⒸ , Vigneshwaran A/L Sundrasagar
BRAC B	BRAC	1st	Closing Opposition	View Ballot	Davida PaulⒸ , Vigneshwaran A/L Sundrasagar
Belgrade A	Belgrade	3rd	Opening Government	View Ballot	Emery TaylorⒸ , Sarthak Yadav
NUS C	NUS	2nd	Opening Opposition	View Ballot	Emery TaylorⒸ , Sarthak Yadav
Belgrade B	Belgrade	4th	Closing Government	View Ballot	Emery TaylorⒸ , Sarthak Yadav
GUU C	GUU	1st	Closing Opposition	View Ballot	Emery TaylorⒸ , Sarthak Yadav
IDS A	IDS	4th	Opening Government	View Ballot	Namita PandeyⒸ , George Jameson Macauley
IHU A	IHU	1st	Opening Opposition	View Ballot	Namita PandeyⒸ , George Jameson Macauley
Auckland A	Auckland	2nd	Closing Government	View Ballot	Namita PandeyⒸ , George Jameson Macauley
UGM B	UGM	3rd	Closing Opposition	View Ballot	Namita PandeyⒸ , George Jameson Macauley
JHU GY	JHU	4th	Opening Government	View Ballot	Jack SynnottⒸ , Chesta B
Harvard KL	Harvard	3rd	Opening Opposition	View Ballot	Jack SynnottⒸ , Chesta B
GUU A	GUU	2nd	Closing Government	View Ballot	Jack SynnottⒸ , Chesta B
Cornell B	Cornell	1st	Closing Opposition	View Ballot	Jack SynnottⒸ , Chesta B
MNLU A	MNLU	4th	Opening Government	View Ballot	Parth PandyaⒸ , Chris Mueller
St. Andrews A	St. Andrews	1st	Opening Opposition	View Ballot	Parth PandyaⒸ , Chris Mueller
Cambridge A	Cambridge	2nd	Closing Government	View Ballot	Parth PandyaⒸ , Chris Mueller
RIC 1	RIC	3rd	Closing Opposition	View Ballot	Parth PandyaⒸ , Chris Mueller
SUFE 1	SUFE	2nd	Opening Government	View Ballot	Oscar ChaffeyⒸ , Fatin Alisya , patrick mayhew
Vermont GH	Vermont	1st	Opening Opposition	View Ballot	Oscar ChaffeyⒸ , Fatin Alisya , patrick mayhew
Queensland B	Queensland	4th	Closing Government	View Ballot	Oscar ChaffeyⒸ , Fatin Alisya , patrick mayhew
MUIC A	MUIC	3rd	Closing Opposition	View Ballot	Oscar ChaffeyⒸ , Fatin Alisya , patrick mayhew
Hart House C	Hart House	2nd	Opening Government	View Ballot	Tamar Ben MeirⒸ , Emilio Lorenzo
AJCUI A	AJCUI	1st	Opening Opposition	View Ballot	Tamar Ben MeirⒸ , Emilio Lorenzo
Vermont BW	Vermont	4th	Closing Government	View Ballot	Tamar Ben MeirⒸ , Emilio Lorenzo
Tokyo MI	Tokyo	3rd	Closing Opposition	View Ballot	Tamar Ben MeirⒸ , Emilio Lorenzo
UNRAM A	UNRAM	3rd	Opening Government	View Ballot	Elaye KarstadtⒸ , Vedika Kedia , Joe LuⓉ
Malaya 2	Malaya	1st	Opening Opposition	View Ballot	Elaye KarstadtⒸ , Vedika Kedia , Joe LuⓉ
TCD Hist D	TCD Hist	4th	Closing Government	View Ballot	Elaye KarstadtⒸ , Vedika Kedia , Joe LuⓉ
TCD Hist E	TCD Hist	2nd	Closing Opposition	View Ballot	Elaye KarstadtⒸ , Vedika Kedia , Joe LuⓉ
BUET C	BUET	4th	Opening Government	View Ballot	Xiaochun “Jennette” ZhuⒸ , Maggie Pierce , Air ZhouⓉ
IBA DU A	IBA DU	1st	Opening Opposition	View Ballot	Xiaochun “Jennette” ZhuⒸ , Maggie Pierce , Air ZhouⓉ
HUJI T&amp;Y	HUJI	3rd	Closing Government	View Ballot	Xiaochun “Jennette” ZhuⒸ , Maggie Pierce , Air ZhouⓉ
YUU 1	YUU	2nd	Closing Opposition	View Ballot	Xiaochun “Jennette” ZhuⒸ , Maggie Pierce , Air ZhouⓉ
GUU D	GUU	1st	Opening Government	View Ballot	Robert &quot;así así&quot; BarrieⒸ , Adhipatya Singh , Halimat Ojone Usman
IIUM 2	IIUM	3rd	Opening Opposition	View Ballot	Robert &quot;así así&quot; BarrieⒸ , Adhipatya Singh , Halimat Ojone Usman
JHU AW	JHU	2nd	Closing Government	View Ballot	Robert &quot;así así&quot; BarrieⒸ , Adhipatya Singh , Halimat Ojone Usman
BUET A	BUET	4th	Closing Opposition	View Ballot	Robert &quot;así así&quot; BarrieⒸ , Adhipatya Singh , Halimat Ojone Usman
BUET B	BUET	3rd	Opening Government	View Ballot	Elgin LinⒸ , Li Miao
UNY A	UNY	4th	Opening Opposition	View Ballot	Elgin LinⒸ , Li Miao
BHU 1	BHU	1st	Closing Government	View Ballot	Elgin LinⒸ , Li Miao
Nanyang Tech C.	Nanyang Tech	2nd	Closing Opposition	View Ballot	Elgin LinⒸ , Li Miao
Alberta B	Alberta	2nd	Opening Government	View Ballot	Jessica MusulinⒸ , Jonathan Tuliao
NUS B	NUS	3rd	Opening Opposition	View Ballot	Jessica MusulinⒸ , Jonathan Tuliao
Chicago KL	Chicago	1st	Closing Government	View Ballot	Jessica MusulinⒸ , Jonathan Tuliao
Harvard AW	Harvard	4th	Closing Opposition	View Ballot	Jessica MusulinⒸ , Jonathan Tuliao
Haifa B	Haifa	3rd	Opening Government	View Ballot	Alice BertoniⒸ , Rachel Chen , Takushi Kobayashi
Vermont KS	Vermont	1st	Opening Opposition	View Ballot	Alice BertoniⒸ , Rachel Chen , Takushi Kobayashi
UGM C	UGM	2nd	Closing Government	View Ballot	Alice BertoniⒸ , Rachel Chen , Takushi Kobayashi
KCL C	KCL	4th	Closing Opposition	View Ballot	Alice BertoniⒸ , Rachel Chen , Takushi Kobayashi
Durham B	Durham	4th	Opening Government	View Ballot	Nikola MichaylovⒸ , Alyssa Peyra , Ayalla Ron
NYUAD A	NYUAD	1st	Opening Opposition	View Ballot	Nikola MichaylovⒸ , Alyssa Peyra , Ayalla Ron
FDU 1	FDU	2nd	Closing Government	View Ballot	Nikola MichaylovⒸ , Alyssa Peyra , Ayalla Ron
Thammasat A	Thammasat	3rd	Closing Opposition	View Ballot	Nikola MichaylovⒸ , Alyssa Peyra , Ayalla Ron
Chicago GJ	Chicago	4th	Opening Government	View Ballot	Alicja FilbierⒸ , gabriel ordonez
HUFS A	HUFS	3rd	Opening Opposition	View Ballot	Alicja FilbierⒸ , gabriel ordonez
Nanyang Tech B	Nanyang Tech	2nd	Closing Government	View Ballot	Alicja FilbierⒸ , gabriel ordonez
CU B	CU	1st	Closing Opposition	View Ballot	Alicja FilbierⒸ , gabriel ordonez
Imperial A	Imperial	1st	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Ayafa Tonye , Toru Oga
Edinburgh A	Edinburgh	2nd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Ayafa Tonye , Toru Oga
HWS KK	HWS	3rd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Ayafa Tonye , Toru Oga
Yale A	Yale	4th	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Ayafa Tonye , Toru Oga
Aberdeen DW	Aberdeen	4th	Opening Government	View Ballot	Aliya FairuzⒸ , Eric Kazadi , Luke Cass
RIC 2	RIC	2nd	Opening Opposition	View Ballot	Aliya FairuzⒸ , Eric Kazadi , Luke Cass
YUU 2	YUU	3rd	Closing Government	View Ballot	Aliya FairuzⒸ , Eric Kazadi , Luke Cass
ELTE A	ELTE	1st	Closing Opposition	View Ballot	Aliya FairuzⒸ , Eric Kazadi , Luke Cass
Cambridge B	Cambridge	1st	Opening Government	View Ballot	Andrew ChenⒸ , Fernanda Crousillat Rayter
UCL B	UCL	3rd	Opening Opposition	View Ballot	Andrew ChenⒸ , Fernanda Crousillat Rayter
SLS X	SLS	4th	Closing Government	View Ballot	Andrew ChenⒸ , Fernanda Crousillat Rayter
