Rk	break	team	institution	Pts	Spk	1sts	2nds
1	(different break)	Zagreb C	Zagreb	19	1423.00	5	1
2	(different break)	Zagreb A	Zagreb	17	1425.00	4	2
3	1	Warsaw A	Warsaw	17	1412.00	3	3
4	(different break)	IT Bandung A	IT Bandung	17	1407.00	3	3
5	2	PUCP A	PUCP	17	1405.00	3	2
6	(different break)	Indonesia A	Indonesia	17	1395.00	2	5
7	3	AJCUI A	AJCUI	17	1386.00	4	2
8	(different break)	Belgrade B	Belgrade	16	1397.00	4	2
9	(different break)	BEsmart A	BEsmart	16	1396.00	3	3
10	4	Zagreb B	Zagreb	15	1410.00	2	4
11	5	Rosario B	Rosario	15	1391.00	2	3
12	6	UGM C	UGM	15	1382.00	2	4
13	7	USFQ DS	USFQ	15	1374.00	2	4
14	8	Nanjing XZ	Nanjing	15	1369.00	2	3
