Rk	break	team	institution	Pts	Spk	1sts	2nds
1	(different break)	PEP Belgrade A	PEP Belgrade	21	1465.00	4	4
2	(different break)	BRAC A	BRAC	21	1463.00	6	1
3	(different break)	UNWE A	UNWE	20	1441.00	4	4
4	(different break)	Trivium A	Trivium	19	1446.00	4	2
5	(different break)	Edinburgh A	Edinburgh	19	1429.00	3	4
6	(different break)	Zagreb C	Zagreb	19	1423.00	5	1
7	(different break)	Sofia A	Sofia	18	1465.00	4	2
8	(different break)	UCL PP	UCL	18	1424.00	4	2
9	(different break)	Sunway SW	Sunway	18	1406.00	4	3
10	1	Bucharest A	Bucharest	17	1428.00	2	4
11	(different break)	Zagreb A	Zagreb	17	1425.00	4	2
12	2	KNUST Z	KNUST	17	1414.00	4	2
13	(different break)	Warsaw A	Warsaw	17	1412.00	3	3
14	3	Belgrade A	Belgrade	17	1411.00	4	2
15	4	IT Bandung A	IT Bandung	17	1407.00	3	3
16	5	Haifa A	Haifa	17	1405.00	3	3
17	(different break)	PUCP A	PUCP	17	1405.00	3	2
18	6	OBS Kwame Nkrumah B	OBS Kwame Nkrumah	17	1404.00	1	6
19	7	Indonesia A	Indonesia	17	1395.00	2	5
20	(different break)	AJCUI A	AJCUI	17	1386.00	4	2
21	8	Vienna B	Vienna	17	1385.00	4	2
22	9	NLUD A	NLUD	17	1342.00	3	2
23	10	Technion A	Technion	16	1419.00	4	1
24	11	UST 2	UST	16	1410.00	3	3
25	12	Tel Aviv A	Tel Aviv	16	1405.00	3	2
26	13	DLSU A	DLSU	16	1402.00	4	2
27	14	Belgrade B	Belgrade	16	1397.00	4	2
28	15	BEsmart A	BEsmart	16	1396.00	3	3
29	16	Sciences Po B	Sciences Po	16	1395.00	2	3
