Rk	break	team	institution	Pts	Spk	1sts	2nds
1	1	LSE A	LSE	23	1473.00	6	2
2	2	Vienna A	Vienna	22	1464.00	6	2
3	3	Sydney C	Sydney	22	1449.00	6	1
4	4	PEP Belgrade A	PEP Belgrade	21	1465.00	4	4
5	5	BRAC A	BRAC	21	1463.00	6	1
6	6	Imperial A	Imperial	21	1455.00	4	4
7	7	NUS A	NUS	21	1448.00	4	4
8	8	McGill A	McGill	20	1472.00	4	3
9	9	Ateneo de Manila A	Ateneo de Manila	20	1469.00	5	2
10	10	LSE C	LSE	20	1459.00	6	1
11	11	Princeton B	Princeton	20	1457.00	4	3
12	12	Chicago KL	Chicago	20	1448.00	6	0
13	13	UNWE A	UNWE	20	1441.00	4	4
14	14	UPD b	UPD	20	1438.00	6	1
15	15	Ateneo de Manila B	Ateneo de Manila	19	1458.00	5	2
16	16	Princeton A	Princeton	19	1452.00	5	2
17	17	TCD Phil A	TCD Phil	19	1448.00	5	1
18	18	Trivium A	Trivium	19	1446.00	4	2
19	19	Sydney D	Sydney	19	1445.00	5	2
20	20	Christ University A	Christ University	19	1439.00	4	3
21	21	Harvard HT	Harvard	19	1439.00	4	2
22	22	Edinburgh A	Edinburgh	19	1429.00	3	4
23	23	Alberta B	Alberta	19	1427.00	3	4
24	24	UWODS A	UWODS	19	1426.00	2	6
25	25	Zagreb C	Zagreb	19	1423.00	5	1
26	26	Sofia A	Sofia	18	1465.00	4	2
27	27	Sydney B	Sydney	18	1448.00	4	2
28	28	UPD A	UPD	18	1446.00	4	1
29	29	Sydney A	Sydney	18	1434.00	5	1
30	30	KCL A	KCL	18	1432.00	3	4
31	31	Harvard KL	Harvard	18	1427.00	3	3
32	32	UCL PP	UCL	18	1424.00	4	2
33	33	ANU A	ANU	18	1421.00	5	1
34	34	Yale A	Yale	18	1421.00	4	3
35	35	GUU A	GUU	18	1418.00	3	3
36	36	Oxford B	Oxford	18	1417.00	3	3
37	37	Cornell A	Cornell	18	1412.00	5	1
38	38	VUW 1	VUW	18	1410.00	4	2
39	39	NUS B	NUS	18	1407.00	4	2
40	40	Sunway SW	Sunway	18	1406.00	4	3
41	41	Princeton D	Princeton	18	1406.00	4	2
42	42	GUU C	GUU	18	1406.00	3	4
43	43	Nanyang Tech A	Nanyang Tech	18	1399.00	4	2
44	44	Wollongong A	Wollongong	18	1325.00	6	0
45	45	Princeton C	Princeton	17	1441.00	4	2
46	46	HWS KK	HWS	17	1433.00	4	1
47	47	TCD Hist B	TCD Hist	17	1433.00	3	3
48	(different break)	Bucharest A	Bucharest	17	1428.00	2	4
49	48	Zagreb A	Zagreb	17	1425.00	4	2
