Rk	team	categories	institution	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
1	LSE A		LSE	1st	2nd	1st	1st	1st	2nd	1st	3rd	1st	23	1473	6	2
2	Vienna A		Vienna	1st	2nd	4th	1st	1st	1st	1st	1st	2nd	22	1464	6	2
3	Sydney C		Sydney	1st	3rd	3rd	1st	2nd	1st	1st	1st	1st	22	1449	6	1
4	PEP Belgrade A	ESL	PEP Belgrade	2nd	1st	2nd	1st	1st	1st	2nd	2nd	3rd	21	1465	4	4
5	BRAC A	ESL	BRAC	1st	1st	2nd	3rd	1st	1st	1st	1st	4th	21	1463	6	1
6	Imperial A		Imperial	1st	1st	2nd	1st	3rd	2nd	2nd	1st	2nd	21	1455	4	4
7	NUS A		NUS	2nd	1st	1st	2nd	2nd	3rd	1st	2nd	1st	21	1448	4	4
8	McGill A		McGill	1st	1st	2nd	3rd	1st	2nd	3rd	1st	2nd	20	1472	4	3
9	Ateneo de Manila A		Ateneo de Manila	1st	1st	1st	1st	2nd	3rd	2nd	4th	1st	20	1469	5	2
10	LSE C		LSE	1st	1st	1st	1st	1st	4th	4th	1st	2nd	20	1459	6	1
11	Princeton B		Princeton	1st	1st	2nd	2nd	3rd	2nd	3rd	1st	1st	20	1457	4	3
12	Chicago KL		Chicago	1st	1st	4th	1st	1st	3rd	3rd	1st	1st	20	1448	6	0
13	UNWE A	ESL	UNWE	2nd	1st	2nd	1st	2nd	1st	4th	2nd	1st	20	1441	4	4
14	UPD b		UPD	1st	2nd	4th	1st	1st	4th	1st	1st	1st	20	1438	6	1
15	Ateneo de Manila B		Ateneo de Manila	1st	2nd	1st	2nd	4th	1st	1st	4th	1st	19	1458	5	2
16	Princeton A		Princeton	1st	4th	1st	1st	2nd	1st	1st	2nd	4th	19	1452	5	2
17	TCD Phil A		TCD Phil	1st	1st	3rd	3rd	1st	1st	4th	1st	2nd	19	1448	5	1
18	Trivium A	ESL	Trivium	2nd	1st	2nd	3rd	1st	1st	3rd	3rd	1st	19	1446	4	2
19	Sydney D		Sydney	1st	1st	1st	2nd	4th	4th	1st	1st	2nd	19	1445	5	2
20	Christ University A		Christ University	1st	2nd	1st	1st	3rd	2nd	4th	2nd	1st	19	1439	4	3
21	Harvard HT		Harvard	1st	3rd	2nd	1st	1st	3rd	2nd	3rd	1st	19	1439	4	2
22	Edinburgh A	ESL	Edinburgh	1st	2nd	3rd	2nd	1st	2nd	1st	2nd	3rd	19	1429	3	4
23	Alberta B		Alberta	2nd	3rd	1st	1st	3rd	2nd	2nd	2nd	1st	19	1427	3	4
24	UWODS A		UWODS	1st	2nd	2nd	2nd	2nd	3rd	2nd	1st	2nd	19	1426	2	6
25	Zagreb C	ESL, EFL	Zagreb	1st	3rd	1st	2nd	4th	1st	1st	1st	3rd	19	1423	5	1
26	Sofia A	ESL	Sofia	1st	1st	1st	2nd	2nd	1st	3rd	3rd	4th	18	1465	4	2
27	Sydney B		Sydney	1st	1st	1st	3rd	2nd	1st	2nd	4th	3rd	18	1448	4	2
28	UPD A		UPD	1st	3rd	1st	1st	3rd	1st	2nd	3rd	3rd	18	1446	4	1
29	Sydney A		Sydney	1st	1st	3rd	1st	4th	1st	2nd	4th	1st	18	1434	5	1
30	KCL A		KCL	1st	2nd	2nd	1st	4th	1st	2nd	2nd	3rd	18	1432	3	4
31	Harvard KL		Harvard	1st	1st	3rd	2nd	3rd	2nd	1st	3rd	2nd	18	1427	3	3
32	UCL PP	ESL	UCL	1st	2nd	1st	4th	3rd	2nd	1st	3rd	1st	18	1424	4	2
33	ANU A		ANU	1st	3rd	1st	4th	1st	2nd	1st	4th	1st	18	1421	5	1
34	Yale A		Yale	1st	2nd	2nd	4th	1st	1st	1st	4th	2nd	18	1421	4	3
35	GUU A		GUU	1st	1st	2nd	3rd	3rd	1st	2nd	2nd	3rd	18	1418	3	3
36	Oxford B		Oxford	1st	3rd	1st	3rd	2nd	1st	3rd	2nd	2nd	18	1417	3	3
37	Cornell A		Cornell	1st	1st	4th	1st	2nd	3rd	1st	1st	4th	18	1412	5	1
38	VUW 1		VUW	1st	3rd	4th	3rd	1st	1st	2nd	1st	2nd	18	1410	4	2
39	NUS B		NUS	2nd	1st	1st	3rd	1st	4th	2nd	3rd	1st	18	1407	4	2
40	Sunway SW	ESL	Sunway	2nd	1st	4th	4th	2nd	1st	2nd	1st	1st	18	1406	4	3
41	Princeton D		Princeton	2nd	3rd	1st	1st	4th	1st	3rd	2nd	1st	18	1406	4	2
42	GUU C		GUU	1st	3rd	1st	2nd	2nd	4th	2nd	1st	2nd	18	1406	3	4
43	Nanyang Tech A		Nanyang Tech	3rd	1st	4th	2nd	1st	3rd	2nd	1st	1st	18	1399	4	2
44	Wollongong A		Wollongong	1st	4th	1st	1st	4th	4th	1st	1st	1st	18	1325	6	0
45	Princeton C		Princeton	1st	1st	4th	1st	2nd	1st	3rd	2nd	4th	17	1441	4	2
46	HWS KK		HWS	1st	1st	3rd	1st	1st	2nd	3rd	3rd	4th	17	1433	4	1
47	TCD Hist B		TCD Hist	1st	1st	3rd	2nd	2nd	3rd	4th	2nd	1st	17	1433	3	3
48	Bucharest A	ESL	Bucharest	1st	3rd	1st	2nd	2nd	2nd	3rd	3rd	2nd	17	1428	2	4
49	Zagreb A	ESL, EFL	Zagreb	2nd	1st	1st	4th	1st	4th	1st	3rd	2nd	17	1425	4	2
50	Monash B		Monash	1st	4th	4th	1st	1st	1st	2nd	2nd	3rd	17	1416	4	2
51=	KNUST Z	ESL	KNUST	1st	2nd	4th	3rd	1st	1st	4th	2nd	1st	17	1414	4	2
51=	Alberta A		Alberta	2nd	1st	4th	1st	2nd	3rd	1st	4th	1st	17	1414	4	2
53	UWA A		UWA	1st	3rd	1st	3rd	3rd	2nd	1st	3rd	2nd	17	1414	3	2
54	Cornell B		Cornell	1st	3rd	2nd	4th	1st	1st	2nd	1st	4th	17	1413	4	2
55	Oxford A		Oxford	1st	4th	1st	1st	3rd	2nd	1st	3rd	3rd	17	1412	4	1
56	Warsaw A	ESL, EFL	Warsaw	2nd	1st	3rd	1st	1st	4th	2nd	2nd	3rd	17	1412	3	3
57	Belgrade A	ESL	Belgrade	2nd	2nd	1st	1st	1st	4th	4th	3rd	1st	17	1411	4	2
58	IT Bandung A	ESL, EFL	IT Bandung	2nd	1st	4th	3rd	3rd	2nd	1st	1st	2nd	17	1407	3	3
59	Monash D		Monash	1st	1st	3rd	4th	4th	1st	3rd	1st	1st	17	1406	5	0
60	Haifa A	ESL	Haifa	2nd	1st	3rd	3rd	4th	1st	1st	2nd	2nd	17	1405	3	3
61	PUCP A	ESL, EFL	PUCP	3rd	1st	2nd	3rd	1st	3rd	2nd	1st	3rd	17	1405	3	2
62	OBS Kwame Nkrumah B	ESL	OBS Kwame Nkrumah	2nd	2nd	1st	3rd	2nd	2nd	3rd	2nd	2nd	17	1404	1	6
63	Ateneo de Manila C		Ateneo de Manila	1st	3rd	4th	1st	3rd	2nd	1st	1st	3rd	17	1401	4	1
64	Queensland A		Queensland	3rd	2nd	4th	1st	1st	3rd	1st	2nd	2nd	17	1398	3	3
65	Indonesia A	ESL, EFL	Indonesia	2nd	3rd	1st	4th	2nd	2nd	1st	2nd	2nd	17	1395	2	5
66	AJCUI A	ESL, EFL	AJCUI	1st	4th	2nd	4th	3rd	1st	2nd	1st	1st	17	1386	4	2
67	Vienna B	ESL	Vienna	1st	4th	4th	1st	2nd	3rd	2nd	1st	1st	17	1385	4	2
68	NLUD A	ESL	NLUD	2nd	3rd	1st	3rd	1st	3rd	2nd	1st	3rd	17	1342	3	2
69	Harvard QR		Harvard	1st	1st	2nd	1st	4th	3rd	2nd	4th	2nd	16	1448	3	3
70	UNSW A		UNSW	1st	1st	4th	1st	1st	4th	2nd	2nd	4th	16	1433	4	2
71	LSE B		LSE	2nd	2nd	1st	2nd	4th	1st	2nd	4th	2nd	16	1432	2	5
72	HUJI A		HUJI	2nd	1st	2nd	1st	1st	3rd	4th	4th	2nd	16	1429	3	3
73	JHU GY		JHU	2nd	2nd	2nd	3rd	2nd	1st	1st	4th	3rd	16	1427	2	4
74	Cambridge A		Cambridge	1st	2nd	2nd	4th	1st	3rd	4th	2nd	1st	16	1421	3	3
75	Technion A	ESL	Technion	1st	1st	1st	4th	2nd	4th	3rd	1st	3rd	16	1419	4	1
76	Williams A		Williams	3rd	1st	2nd	2nd	2nd	2nd	3rd	1st	4th	16	1413	2	4
77	ANU B		ANU	3rd	1st	3rd	1st	2nd	2nd	4th	1st	3rd	16	1412	3	2
78	UST 2	ESL	UST	1st	2nd	3rd	1st	4th	2nd	4th	1st	2nd	16	1410	3	3
79	QDU A		QDU	3rd	1st	2nd	4th	1st	1st	1st	3rd	4th	16	1409	4	1
80	Edinburgh B		Edinburgh	2nd	3rd	1st	3rd	1st	4th	2nd	3rd	1st	16	1407	3	2
81	Tel Aviv A	ESL	Tel Aviv	1st	2nd	2nd	3rd	1st	3rd	1st	4th	3rd	16	1405	3	2
82	Oxford C		Oxford	3rd	2nd	1st	1st	3rd	3rd	3rd	3rd	1st	16	1405	3	1
83	St. Andrews A		St. Andrews	2nd	2nd	2nd	4th	1st	2nd	3rd	1st	3rd	16	1404	2	4
84	DLSU A	ESL	DLSU	1st	2nd	1st	4th	4th	2nd	1st	4th	1st	16	1402	4	2
85	Edinburgh C		Edinburgh	4th	1st	1st	3rd	1st	4th	3rd	1st	2nd	16	1400	4	1
86	TCD Hist C		TCD Hist	1st	4th	2nd	1st	3rd	1st	3rd	1st	4th	16	1399	4	1
87	Belgrade B	ESL, EFL	Belgrade	1st	4th	2nd	1st	1st	2nd	4th	4th	1st	16	1397	4	2
88	BEsmart A	ESL, EFL	BEsmart	1st	4th	2nd	1st	2nd	4th	1st	2nd	3rd	16	1396	3	3
89	UCL B		UCL	4th	1st	1st	2nd	2nd	2nd	4th	3rd	1st	16	1395	3	3
90	Sciences Po B	ESL	Sciences Po	2nd	3rd	3rd	2nd	1st	3rd	3rd	1st	2nd	16	1395	2	3
91	LSE D		LSE	1st	3rd	3rd	2nd	4th	1st	2nd	2nd	2nd	16	1394	2	4
92	Swing 1		—	2nd	4th	1st	2nd	2nd	1st	4th	3rd	1st	16	1392	3	3
93	NUS C		NUS	2nd	2nd	4th	1st	3rd	1st	2nd	2nd	3rd	16	1391	2	4
94	Osaka A		Osaka	3rd	2nd	1st	4th	2nd	1st	1st	2nd	4th	16	1390	3	3
95	Malaya 2	ESL	Malaya	3rd	4th	1st	2nd	3rd	4th	1st	1st	1st	16	1386	4	1
96	KCL B		KCL	3rd	2nd	3rd	1st	2nd	3rd	1st	1st	4th	16	1385	3	2
97	Sunway JR	ESL	Sunway	2nd	2nd	3rd	2nd	1st	4th	1st	3rd	2nd	16	1382	2	4
98	McGill B		McGill	2nd	4th	1st	1st	4th	3rd	1st	2nd	2nd	16	1366	3	3
99	Hart House B		Hart House	1st	2nd	2nd	4th	2nd	4th	3rd	1st	1st	16	1326	3	3
100	IGNOU Saidha &amp; Mishra	ESL	IGNOU	1st	3rd	2nd	3rd	4th	2nd	3rd	1st	1st	16	1234	3	2
101	UAP A	ESL	UAP	2nd	1st	—	—	—	1st	1st	2nd	1st	16	939	4	2
102	Hart House A		Hart House	1st	4th	2nd	1st	3rd	2nd	1st	3rd	4th	15	1424	3	2
103	Harvard HM		Harvard	2nd	1st	1st	4th	1st	3rd	3rd	2nd	4th	15	1419	3	2
104	Zagreb B	ESL, EFL	Zagreb	2nd	1st	4th	2nd	2nd	4th	2nd	1st	3rd	15	1410	2	4
105	Otago A		Otago	2nd	2nd	2nd	1st	3rd	4th	4th	1st	2nd	15	1409	2	4
106	DTU AC		DTU	1st	4th	1st	2nd	2nd	4th	1st	3rd	3rd	15	1407	3	2
107	RML A		RML	1st	2nd	3rd	3rd	1st	1st	4th	3rd	3rd	15	1405	3	1
108	Korea B	ESL	Korea	2nd	2nd	2nd	2nd	3rd	2nd	4th	3rd	1st	15	1403	1	5
109	Cambridge B		Cambridge	1st	3rd	3rd	1st	3rd	4th	1st	1st	4th	15	1400	4	0
110	UPLB B	ESL	UPLB	1st	3rd	2nd	3rd	2nd	1st	1st	4th	4th	15	1400	3	2
111	IIUM 2	ESL	IIUM	2nd	4th	1st	1st	4th	1st	4th	3rd	1st	15	1399	4	1
112	Harvard AW		Harvard	2nd	1st	1st	2nd	3rd	2nd	3rd	4th	3rd	15	1399	2	3
113	Sydney E		Sydney	1st	2nd	4th	2nd	1st	3rd	2nd	3rd	3rd	15	1398	2	3
114	Ateneo de Manila D		Ateneo de Manila	3rd	1st	2nd	2nd	3rd	2nd	3rd	2nd	3rd	15	1397	1	4
115	KNUST B	ESL	KNUST	1st	1st	4th	2nd	4th	2nd	2nd	2nd	3rd	15	1394	2	4
116	Berlin A		Berlin	3rd	1st	2nd	4th	1st	3rd	2nd	2nd	3rd	15	1393	2	3
117	Rosario B	ESL, EFL	Rosario	4th	2nd	2nd	3rd	1st	1st	3rd	3rd	2nd	15	1391	2	3
118	DDUC 1	ESL	DDUC	4th	1st	1st	2nd	4th	2nd	2nd	3rd	2nd	15	1389	2	4
119	UPD C	ESL	UPD	1st	2nd	4th	4th	2nd	2nd	4th	1st	1st	15	1387	3	3
120	IIT Bombay MH	ESL	IIT Bombay	3rd	2nd	3rd	4th	1st	1st	4th	2nd	1st	15	1386	3	2
121	GW A		GW	2nd	3rd	2nd	1st	4th	2nd	2nd	1st	4th	15	1385	2	4
122	MNLU A	ESL	MNLU	3rd	2nd	1st	3rd	3rd	3rd	1st	4th	1st	15	1384	3	1
123	Tel Aviv b	ESL	Tel Aviv	1st	4th	4th	1st	3rd	1st	2nd	1st	4th	15	1383	4	1
124	Tsinghua A	ESL	Tsinghua	1st	3rd	4th	3rd	4th	1st	1st	2nd	2nd	15	1383	3	2
125	UGM C	ESL, EFL	UGM	2nd	2nd	1st	4th	2nd	3rd	4th	2nd	1st	15	1382	2	4
126	Manchester Debating A		Manchester Debating	3rd	2nd	3rd	2nd	2nd	3rd	3rd	1st	2nd	15	1382	1	4
127	Pentecost A	ESL	Pentecost	2nd	3rd	2nd	4th	3rd	1st	1st	1st	4th	15	1380	3	2
128	YUU 2		YUU	3rd	3rd	2nd	2nd	3rd	3rd	1st	3rd	1st	15	1379	2	2
129	UCSC A	ESL	UCSC	2nd	3rd	2nd	4th	2nd	3rd	1st	2nd	2nd	15	1379	1	5
130	USFQ DS	ESL, EFL	USFQ	4th	2nd	2nd	4th	1st	1st	3rd	2nd	2nd	15	1374	2	4
131	Hart House C		Hart House	4th	2nd	3rd	3rd	2nd	1st	2nd	2nd	2nd	15	1371	1	5
132=	Chula A	ESL	Chula	2nd	4th	1st	3rd	2nd	3rd	4th	1st	1st	15	1370	3	2
132=	DLSU B	ESL	DLSU	4th	1st	3rd	1st	3rd	4th	2nd	2nd	1st	15	1370	3	2
134	Nanjing XZ	ESL, EFL	Nanjing	2nd	3rd	3rd	1st	4th	2nd	1st	3rd	2nd	15	1369	2	3
135	Chicago BP		Chicago	2nd	2nd	3rd	2nd	4th	1st	2nd	2nd	3rd	15	1362	1	5
136	SLS X		SLS	2nd	3rd	2nd	2nd	2nd	1st	4th	4th	1st	15	1328	2	4
137	USP A	ESL, EFL	USP	1st	4th	4th	1st	1st	4th	3rd	2nd	1st	15	1308	4	1
138	Swing 2		—	4th	1st	3rd	1st	3rd	4th	1st	3rd	1st	15	1189	4	0
139	IBA DU B	ESL	IBA DU	3rd	2nd	1st	3rd	3rd	2nd	4th	3rd	1st	14	1401	2	2
140	IIUM 4	ESL	IIUM	3rd	1st	1st	3rd	4th	1st	2nd	4th	3rd	14	1399	3	1
141	Tokyo KM	ESL	Tokyo	1st	3rd	3rd	2nd	2nd	2nd	3rd	4th	2nd	14	1399	1	4
142	RIC 1	ESL	RIC	2nd	2nd	1st	3rd	2nd	2nd	4th	3rd	3rd	14	1396	1	4
143	ADNU A	ESL	ADNU	2nd	2nd	2nd	2nd	3rd	3rd	3rd	4th	1st	14	1394	1	4
144	Zagreb E	ESL, EFL	Zagreb	2nd	2nd	1st	4th	3rd	4th	1st	4th	1st	14	1393	3	2
145	Ghana A	ESL	Ghana	4th	1st	3rd	2nd	1st	4th	3rd	3rd	1st	14	1390	3	1
146	UWODS B		UWODS	1st	4th	1st	2nd	1st	4th	2nd	4th	3rd	14	1387	3	2
147	PUCV A	ESL, EFL	PUCV	2nd	1st	3rd	3rd	1st	4th	1st	3rd	4th	14	1387	3	1
148	GUU B		GUU	4th	1st	2nd	2nd	1st	1st	4th	4th	3rd	14	1386	3	2
149	GUU D		GUU	3rd	1st	3rd	4th	3rd	1st	2nd	1st	4th	14	1386	3	1
150	DCAC A	ESL	DCAC	4th	1st	4th	3rd	1st	2nd	3rd	2nd	2nd	14	1385	2	3
151	San Beda A	ESL	San Beda	1st	2nd	3rd	4th	4th	1st	1st	2nd	4th	14	1384	3	2
152	Nanyang Tech B		Nanyang Tech	3rd	1st	1st	4th	4th	1st	4th	2nd	2nd	14	1381	3	2
153	Tokyo SS	ESL, EFL	Tokyo	2nd	3rd	3rd	1st	3rd	2nd	3rd	2nd	3rd	14	1381	1	3
154	Imperial C		Imperial	2nd	2nd	3rd	2nd	4th	2nd	2nd	3rd	2nd	14	1381	0	6
155	Aberdeen BF		Aberdeen	2nd	2nd	4th	1st	4th	2nd	4th	2nd	1st	14	1379	2	4
156	TCD Hist A		TCD Hist	4th	3rd	1st	2nd	4th	4th	2nd	1st	1st	14	1376	3	2
157	SISU 1	ESL, EFL	SISU	3rd	1st	4th	3rd	1st	1st	3rd	3rd	3rd	14	1376	3	0
158	ANU C		ANU	2nd	3rd	1st	4th	2nd	2nd	1st	3rd	4th	14	1376	2	3
159	Monash E		Monash	3rd	3rd	4th	2nd	1st	4th	3rd	1st	1st	14	1373	3	1
160	Harvard SY		Harvard	3rd	1st	3rd	1st	3rd	4th	1st	3rd	3rd	14	1371	3	0
161	YUU 3		YUU	4th	2nd	1st	3rd	3rd	4th	2nd	1st	2nd	14	1370	2	3
162	Stanford A		Stanford	4th	3rd	1st	1st	4th	2nd	1st	4th	2nd	14	1369	3	2
163	Cambridge C		Cambridge	1st	3rd	4th	2nd	2nd	3rd	4th	1st	2nd	14	1368	2	3
164	MUST MUSTB	ESL, EFL	MUST	3rd	1st	2nd	4th	2nd	2nd	3rd	3rd	2nd	14	1368	1	4
165	Reichman A	ESL	Reichman	4th	2nd	1st	4th	1st	1st	2nd	3rd	4th	14	1367	3	2
166	CU B	ESL	CU	3rd	1st	3rd	3rd	3rd	3rd	2nd	1st	3rd	14	1366	2	1
167	Thammasat A	ESL, EFL	Thammasat	3rd	3rd	2nd	3rd	2nd	3rd	1st	3rd	2nd	14	1364	1	3
168	Monash A		Monash	3rd	4th	1st	2nd	1st	2nd	1st	4th	4th	14	1363	3	2
169	UGM A	ESL	UGM	2nd	4th	3rd	1st	3rd	2nd	3rd	3rd	1st	14	1360	2	2
170	Aalto TL	ESL	Aalto	1st	4th	4th	4th	1st	1st	2nd	3rd	2nd	14	1358	3	2
171	Cornell C		Cornell	1st	2nd	2nd	4th	3rd	1st	3rd	2nd	4th	14	1352	2	3
172	UENR A	ESL	UENR	3rd	4th	2nd	4th	2nd	1st	2nd	1st	3rd	14	1349	2	3
173	Imperial B		Imperial	1st	2nd	3rd	3rd	1st	2nd	4th	4th	2nd	14	1299	2	3
174	ELTE A	ESL	ELTE	1st	4th	4th	3rd	1st	2nd	2nd	1st	4th	14	1288	3	2
175	NYUAD A		NYUAD	3rd	2nd	4th	2nd	3rd	2nd	1st	1st	4th	14	1286	2	3
176	IHU E	ESL	IHU	3rd	2nd	2nd	3rd	3rd	3rd	3rd	2nd	1st	14	1285	1	3
177	GLC Mumbai MM	ESL	GLC Mumbai	3rd	1st	2nd	3rd	2nd	4th	3rd	1st	3rd	14	1168	2	2
178	EDS A		EDS	2nd	3rd	1st	4th	2nd	4th	1st	1st	—	14	1004	3	2
179	Chicago DW		Chicago	2nd	1st	3rd	4th	2nd	4th	3rd	1st	3rd	13	1396	2	2
180	Monash C		Monash	2nd	2nd	4th	1st	3rd	4th	2nd	4th	1st	13	1391	2	3
181	BUET A	ESL, EFL	BUET	1st	2nd	4th	4th	2nd	3rd	1st	4th	2nd	13	1388	2	3
182	Belgrade E	ESL, EFL	Belgrade	2nd	1st	1st	3rd	3rd	3rd	4th	3rd	3rd	13	1387	2	1
183	IIUM 1	ESL	IIUM	2nd	1st	3rd	3rd	3rd	4th	4th	1st	2nd	13	1385	2	2
184	Unilorin B	ESL	Unilorin	4th	1st	3rd	1st	2nd	3rd	4th	4th	1st	13	1384	3	1
185	TCD Phil B		TCD Phil	2nd	3rd	2nd	4th	2nd	1st	4th	4th	1st	13	1384	2	3
186	UPLB D		UPLB	2nd	2nd	3rd	2nd	1st	3rd	4th	3rd	3rd	13	1383	1	3
187	JHU AW		JHU	1st	3rd	4th	2nd	1st	2nd	4th	2nd	4th	13	1382	2	3
188	UT MARA A	ESL	UT MARA	2nd	2nd	3rd	2nd	3rd	3rd	4th	2nd	2nd	13	1379	0	5
189	Belgrade C	ESL, EFL	Belgrade	4th	3rd	1st	4th	1st	4th	1st	1st	4th	13	1378	4	0
190	Ateneo de Manila e		Ateneo de Manila	2nd	3rd	4th	1st	3rd	4th	1st	2nd	3rd	13	1378	2	2
191	IIUM 3	ESL	IIUM	3rd	1st	4th	1st	2nd	4th	3rd	1st	4th	13	1377	3	1
192	Aberdeen DW		Aberdeen	2nd	4th	1st	4th	1st	2nd	3rd	4th	2nd	13	1377	2	3
193	DAV B	ESL, EFL	DAV	3rd	1st	3rd	4th	2nd	3rd	2nd	4th	1st	13	1377	2	2
194	Malaya 1	ESL	Malaya	1st	4th	2nd	3rd	2nd	2nd	3rd	2nd	4th	13	1377	1	4
195	HUFS A	ESL	HUFS	4th	1st	2nd	1st	4th	2nd	4th	3rd	2nd	13	1376	2	3
196	Tel Aviv C	ESL	Tel Aviv	2nd	1st	4th	2nd	2nd	4th	4th	1st	3rd	13	1375	2	3
197	Tokyo MI	ESL	Tokyo	2nd	2nd	3rd	2nd	2nd	4th	2nd	3rd	3rd	13	1373	0	5
