team	result	side	adjudicators
Princeton IH	advancing	Opening Government	Enshia LiⒸ , Nitin Saidha , Pranav Anand
Penn/Independent CS	eliminated	Opening Opposition	Enshia LiⒸ , Nitin Saidha , Pranav Anand
Harvard HT	eliminated	Closing Government	Enshia LiⒸ , Nitin Saidha , Pranav Anand
JHU YG	advancing	Closing Opposition	Enshia LiⒸ , Nitin Saidha , Pranav Anand
Cornell KP	advancing	Opening Government	🚩 Jane MentzingerⒸ , Andy Wang , Fawaz Ahmad
UPenn ND	eliminated	Opening Opposition	🚩 Jane MentzingerⒸ , Andy Wang , Fawaz Ahmad
Stanford HI	advancing	Closing Government	🚩 Jane MentzingerⒸ , Andy Wang , Fawaz Ahmad
Chicago LB	eliminated	Closing Opposition	🚩 Jane MentzingerⒸ , Andy Wang , Fawaz Ahmad
Harvard BC	eliminated	Opening Government	Da&#x27;Von BoydⒸ , Cameron Chacon , Shreyas Kumar
Stanford SZ	eliminated	Opening Opposition	Da&#x27;Von BoydⒸ , Cameron Chacon , Shreyas Kumar
Dartmouth LW	advancing	Closing Government	Da&#x27;Von BoydⒸ , Cameron Chacon , Shreyas Kumar
McGill ZS	advancing	Closing Opposition	Da&#x27;Von BoydⒸ , Cameron Chacon , Shreyas Kumar
Wake Forest/Hart House Hybrid AS	eliminated	Opening Government	Gaeun KimⒸ , Júlia García Güell , 🐌 Nikola Michaylov
Harvard HW	eliminated	Opening Opposition	Gaeun KimⒸ , Júlia García Güell , 🐌 Nikola Michaylov
Chicago KN	advancing	Closing Government	Gaeun KimⒸ , Júlia García Güell , 🐌 Nikola Michaylov
Princeton XI	advancing	Closing Opposition	Gaeun KimⒸ , Júlia García Güell , 🐌 Nikola Michaylov
