team	result	side	adjudicators
Bucharest A	advancing	Opening Government	Uphie AbdurrahmanⒸ , Anna Sawicka , Tom Milling
GUU Resurrectile Dysfunction	eliminated	Opening Opposition	Alishba IrfanⒸ , Ilija Ivanišević , Sehaj Reen
GUU m(A)ster of your domain	eliminated	Opening Government	Alastair BowyerⒸ , Jeremiah Edagbami , Kaushiki Ishwar
HUJI Who	advancing	Opening Government	Matt CaitoⒸ , Adya Mishra , Theo Dorfner
Less stoicism motions than Astana 2	advancing	Closing Government	Alishba IrfanⒸ , Ilija Ivanišević , Sehaj Reen
UFD India	eliminated	Opening Opposition	Uphie AbdurrahmanⒸ , Anna Sawicka , Tom Milling
Zagreb PT	advancing	Opening Government	Alishba IrfanⒸ , Ilija Ivanišević , Sehaj Reen
NU S	eliminated	Closing Government	Matt CaitoⒸ , Adya Mishra , Theo Dorfner
TCD Hist PW	advancing	Opening Opposition	Alastair BowyerⒸ , Jeremiah Edagbami , Kaushiki Ishwar
Oxford (B)arbie Boy and Oppenheimer	advancing	Closing Opposition	Alastair BowyerⒸ , Jeremiah Edagbami , Kaushiki Ishwar
Joker and Jokerfied	eliminated	Closing Opposition	Alishba IrfanⒸ , Ilija Ivanišević , Sehaj Reen
Ryan and Tejas	advancing	Closing Opposition	Matt CaitoⒸ , Adya Mishra , Theo Dorfner
McDonald and the Newman	eliminated	Opening Opposition	Matt CaitoⒸ , Adya Mishra , Theo Dorfner
bea so good at debate bad at team n	eliminated	Closing Opposition	Uphie AbdurrahmanⒸ , Anna Sawicka , Tom Milling
Meow meow - Pawrya and Purrina	advancing	Closing Government	Uphie AbdurrahmanⒸ , Anna Sawicka , Tom Milling
OSCA A	eliminated	Closing Government	Alastair BowyerⒸ , Jeremiah Edagbami , Kaushiki Ishwar
