Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds	Irons
1	Zagreb PT	ESL	1st	1st	1st	1st	1st	15	833	5	0	0
2	Ryan and Tejas		1st	1st	4th	1st	1st	12	824	4	0	0
3	Bucharest A	ESL	2nd	1st	1st	2nd	2nd	12	815	2	3	0
4	TCD Hist PW		1st	2nd	2nd	1st	3rd	11	815	2	2	0
5	Oxford (B)arbie Boy and Oppenheimer		1st	1st	2nd	3rd	2nd	11	804	2	2	0
6	Meow meow - Pawrya and Purrina		1st	2nd	1st	4th	1st	11	796	3	1	0
7	McDonald and the Newman		1st	4th	1st	2nd	1st	11	787	3	1	0
8	Joker and Jokerfied		2nd	2nd	1st	3rd	2nd	10	807	1	3	0
9	GUU Resurrectile Dysfunction		1st	4th	1st	1st	3rd	10	797	3	0	0
10	HUJI Who		1st	3rd	2nd	3rd	1st	10	793	2	1	0
11	bea so good at debate bad at team n		2nd	2nd	1st	4th	1st	10	792	2	2	0
12	OSCA A	ESL	3rd	2nd	1st	2nd	2nd	10	786	1	3	0
13	GUU m(A)ster of your domain		1st	3rd	3rd	1st	2nd	10	784	2	1	0
14	UFD India	ESL, Pro-Am	1st	4th	1st	1st	3rd	10	779	3	0	0
15	NU S	ESL	3rd	1st	4th	1st	1st	10	777	3	0	0
16	Less stoicism motions than Astana 2	ESL	1st	1st	3rd	2nd	4th	9	813	2	1	0
17=	4 reasons why wont cut it		1st	3rd	1st	2nd	4th	9	793	2	1	0
17=	St Andrews Malcolm&#x27;s (A)ngels		2nd	1st	3rd	4th	1st	9	793	2	1	0
19	The best burek in the world is in S		1st	4th	4th	1st	1st	9	790	3	0	0
20	TCD Hist Rehan and Ziyad		1st	2nd	4th	1st	3rd	9	784	2	1	1
21	etc. etc.	Pro-Am	2nd	3rd	4th	1st	1st	9	779	2	1	0
22	Integrated rebbutal	ESL	3rd	2nd	3rd	1st	2nd	9	774	1	2	0
23	TCD Hist Tom &amp; Molly		2nd	3rd	2nd	2nd	2nd	9	771	0	4	2
24	UCD Illiterate &amp; Unlawful Society		1st	2nd	2nd	3rd	4th	8	785	1	2	0
25	NTU		2nd	1st	3rd	3rd	3rd	8	784	1	1	0
26	What Happened to St Andrews’s Money		2nd	3rd	3rd	2nd	2nd	8	776	0	3	0
27	Jebiga, nema inspiracije	ESL	2nd	4th	1st	1st	4th	8	773	2	1	0
28	Sunway did someone say im cute	ESL, Pro-Am	4th	1st	2nd	2nd	3rd	8	769	1	2	0
29	Trophy Wives	Pro-Am	4th	3rd	2nd	2nd	1st	8	768	1	2	0
30	ATHENS A	ESL	2nd	3rd	3rd	2nd	2nd	8	767	0	3	0
31	Ukelele Apologists	ESL	3rd	3rd	2nd	3rd	1st	8	760	1	1	0
32	epistemic ass shit		2nd	1st	4th	4th	2nd	7	779	1	2	0
33	Edinburgh Na(B) and Nav		3rd	2nd	2nd	2nd	4th	7	776	0	3	0
34	Almaty 2023		3rd	1st	2nd	4th	3rd	7	772	1	1	0
