team	result	side	adjudicators
SC WE	3rd	Opening Opposition	Aastha JaniⒸ , Ayami Matsumura , Eric ZhuⓉ
USCandal	4th	Closing Government	Aidan FeigheryⒸ , Jennifer Yang , Sejal Shahri , Oliver PozilⓉ
OPEC enthusiasts	4th	Opening Government	Belle HoⒸ , Yeji Jong , Logan LeDuffⓉ , Luis CacayorenⓉ
USC RM	2nd	Opening Government	Diane ChaoⒸ , Ahad Kajani , Michelle LinⓉ
USC BRICS	1st	Closing Opposition	Audrey TingyuⒸ , Jaewoo Chun , Maximilian McknightⓉ , Parth DesaiⓉ
USC Keanu Reeves	1st	Closing Government	Diane ChaoⒸ , Ahad Kajani , Michelle LinⓉ
SC deBAEters	3rd	Opening Opposition	Aidan FeigheryⒸ , Jennifer Yang , Sejal Shahri , Oliver PozilⓉ
bb babies	4th	Closing Government	Audrey TingyuⒸ , Jaewoo Chun , Maximilian McknightⓉ , Parth DesaiⓉ
GovSo(to)	1st	Closing Opposition	Aidan FeigheryⒸ , Jennifer Yang , Sejal Shahri , Oliver PozilⓉ
conscription	3rd	Opening Opposition	Diane ChaoⒸ , Ahad Kajani , Michelle LinⓉ
Claremont NQ	2nd	Opening Government	Aidan FeigheryⒸ , Jennifer Yang , Sejal Shahri , Oliver PozilⓉ
Gaudrey	2nd	Closing Opposition	Belle HoⒸ , Yeji Jong , Logan LeDuffⓉ , Luis CacayorenⓉ
Claremont PB	4th	Closing Opposition	Muzamil GodilⒸ , Hugo Kittell , Ray MinⓉ , Soffee KhaliliehⓉ
UCLA Man I Love Framing	2nd	Opening Opposition	Muzamil GodilⒸ , Hugo Kittell , Ray MinⓉ , Soffee KhaliliehⓉ
UCLA the green team	4th	Opening Government	Aastha JaniⒸ , Ayami Matsumura , Eric ZhuⓉ
UCLA DW	2nd	Opening Opposition	Audrey TingyuⒸ , Jaewoo Chun , Maximilian McknightⓉ , Parth DesaiⓉ
UCLA Swing A	3rd	Opening Government	Muzamil GodilⒸ , Hugo Kittell , Ray MinⓉ , Soffee KhaliliehⓉ
UCLA Chaotic Lawful	1st	Closing Opposition	Aastha JaniⒸ , Ayami Matsumura , Eric ZhuⓉ
Monsters University A	3rd	Opening Government	Audrey TingyuⒸ , Jaewoo Chun , Maximilian McknightⓉ , Parth DesaiⓉ
Swing Set :)	1st	Closing Government	Belle HoⒸ , Yeji Jong , Logan LeDuffⓉ , Luis CacayorenⓉ
UC Berkeley AG	3rd	Opening Opposition	Belle HoⒸ , Yeji Jong , Logan LeDuffⓉ , Luis CacayorenⓉ
BP oil	2nd	Closing Government	Aastha JaniⒸ , Ayami Matsumura , Eric ZhuⓉ
UC Berkeley DR	4th	Closing Opposition	Diane ChaoⒸ , Ahad Kajani , Michelle LinⓉ
USC-UCLA SoCal&gt;NorCal	1st	Closing Government	Muzamil GodilⒸ , Hugo Kittell , Ray MinⓉ , Soffee KhaliliehⓉ
