Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	USC-UCLA SoCal&gt;NorCal		1st	1st	1st	1st	1st	15	792	5	0
2	UCLA Man I Love Framing		2nd	2nd	1st	2nd	2nd	11	775	1	4
3	USC BRICS		1st	1st	2nd	4th	2nd	10	768	2	2
4	USC Keanu Reeves		1st	3rd	2nd	3rd	1st	10	768	2	1
5	Swing Set :)		1st	4th	1st	1st	4th	9	764	3	0
6	SC WE	Novice	3rd	3rd	1st	1st	3rd	9	759	2	0
7	GovSo(to)	Novice	1st	2nd	3rd	4th	1st	9	757	2	1
8	UCLA Chaotic Lawful		1st	4th	2nd	3rd	1st	9	752	2	1
9	USCandal	Novice	4th	2nd	3rd	1st	2nd	8	765	1	2
10	Gaudrey		2nd	2nd	4th	1st	3rd	8	759	1	2
11	UCLA Swing A	Novice	3rd	2nd	3rd	2nd	2nd	8	756	0	3
12	Monsters University A	Novice	3rd	2nd	1st	3rd	3rd	8	752	1	1
13	bb babies		4th	1st	2nd	2nd	4th	7	755	1	2
14	UCLA DW		2nd	3rd	3rd	4th	1st	7	754	1	1
15	conscription		3rd	1st	3rd	2nd	4th	7	752	1	1
16	Claremont NQ		2nd	3rd	4th	3rd	1st	7	749	1	1
17	USC RM	Novice	2nd	1st	4th	4th	3rd	6	757	1	1
18	BP oil		2nd	4th	2nd	4th	2nd	6	757	0	3
19	SC deBAEters	Novice	3rd	4th	2nd	2nd	3rd	6	745	0	2
20	UCLA the green team		4th	3rd	4th	1st	3rd	5	752	1	0
21	Claremont PB	Novice	4th	3rd	1st	3rd	4th	5	749	1	0
22	OPEC enthusiasts	Novice	4th	1st	4th	2nd	4th	5	748	1	1
23	UC Berkeley DR	Novice	4th	4th	4th	3rd	2nd	3	736	0	1
24	UC Berkeley AG		3rd	4th	3rd	4th	4th	2	738	0	0
