Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Belgrade A	ESL	2nd	1st	1st	1st	1st	14	816	4	1
2	Zagreb TR	ESL	1st	1st	1st	3rd	2nd	12	815	3	1
3	Oxford F		1st	1st	3rd	2nd	1st	12	801	3	1
4	Oxford A		1st	4th	1st	2nd	1st	11	811	3	1
5	Aberystwyth A		2nd	3rd	1st	1st	2nd	11	793	2	2
6	KCL KJ		1st	2nd	2nd	3rd	2nd	10	806	1	3
7	St Andrews CW		1st	2nd	4th	2nd	1st	10	800	2	2
8	Oxford C		3rd	2nd	1st	1st	3rd	10	800	2	1
9	UCL BS		3rd	1st	1st	1st	4th	10	790	3	0
10	Swing 1		2nd	2nd	4th	1st	1st	10	786	2	2
11	LSE C	ESL	1st	1st	2nd	4th	3rd	9	811	2	1
12	Oxford B		2nd	1st	3rd	3rd	2nd	9	803	1	2
13	LSE A	ESL	2nd	2nd	2nd	2nd	3rd	9	799	0	4
14	UCL DT		3rd	1st	1st	2nd	4th	9	792	2	1
15	KCL A		3rd	3rd	2nd	1st	2nd	9	767	1	2
16	Malaya 1	ESL	2nd	1st	4th	1st	4th	8	790	2	1
17	St Andrews BP		1st	4th	2nd	4th	1st	8	788	2	1
18	Oxford D		2nd	2nd	3rd	4th	1st	8	785	1	2
19	UCL LN	ESL	1st	3rd	4th	1st	3rd	8	771	2	0
20	St Gallen A	ESL	3rd	2nd	3rd	2nd	2nd	8	771	0	3
21	KCL JJ		3rd	2nd	2nd	4th	1st	8	768	1	2
22	Swing 2		1st	4th	3rd	2nd	2nd	8	762	1	2
23	Stanford CK		3rd	2nd	4th	2nd	1st	8	747	1	2
24	Copenhagen A	ESL	1st	3rd	2nd	4th	3rd	7	777	1	1
25	Science Po B	ESL	3rd	4th	2nd	3rd	1st	7	766	1	1
26	LSE B		2nd	4th	1st	3rd	3rd	7	763	1	1
27	Imperial SM		4th	2nd	1st	2nd	4th	7	762	1	2
28	Stanford DR		3rd	3rd	3rd	1st	3rd	7	756	1	0
29	Science Po A	ESL	4th	4th	2nd	1st	2nd	7	747	1	2
30	Oxford E		1st	3rd	3rd	3rd	4th	6	775	1	0
31	Bucharest B	ESL	4th	1st	2nd	3rd	4th	6	765	1	1
32	Stanford RD		2nd	4th	1st	4th	3rd	6	749	1	1
33	UCL EW		4th	1st	4th	3rd	2nd	6	744	1	1
34	Reading B		4th	4th	4th	1st	1st	6	679	2	0
35	Stanford TC		4th	4th	1st	3rd	3rd	5	756	1	0
36	Stuttgart A	ESL	3rd	3rd	3rd	2nd	4th	5	752	0	1
37	Science Po C		3rd	3rd	2nd	3rd	4th	5	748	0	1
38	Reading A		4th	3rd	4th	2nd	2nd	5	714	0	2
39	Science Po D		2nd	3rd	3rd	4th	4th	4	758	0	1
40	QMDS B		4th	1st	4th	4th	3rd	4	720	1	0
41	QMDS A		2nd	4th	—	4th	2nd	4	584	0	2
42	Reading D		4th	2nd	3rd	4th	4th	3	713	0	1
43	QMDS C		4th	3rd	4th	3rd	3rd	3	682	0	0
44	Reading C		4th	4th	3rd	4th	4th	1	678	0	0
45	Swing 3		—	—	4th	—	—	0	147	0	0
