Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Two northeastern offer holders		1st	1st	2nd	1st	1st	14	802	4	1
2	Gift Wrapped in our 4d Fit		1st	1st	1st	2nd	2nd	13	800	3	2
3	Nice extension, unfortunately I dre		1st	2nd	1st	4th	1st	11	803	3	1
4	Observe the Sabbath or Get Stoned		1st	4th	1st	1st	2nd	11	791	3	1
5	The dota player says: &#x27;lol sucks&#x27;. 		2nd	2nd	1st	3rd	1st	11	783	2	2
6	Oxford AP		2nd	3rd	1st	3rd	1st	10	790	2	1
7	DANEIS A(sleep)	Novice	1st	2nd	3rd	1st	3rd	10	789	2	1
8	Dumbfuck Diggory		2nd	2nd	2nd	1st	3rd	10	789	1	3
9	Came back from getting milk		2nd	1st	3rd	2nd	2nd	10	777	1	3
10	belt and road	Novice	1st	3rd	3rd	1st	3rd	9	780	2	0
11	Chicago BH		3rd	1st	1st	2nd	4th	9	777	2	1
12	Mostly harmless		3rd	2nd	2nd	3rd	1st	9	776	1	2
13	letting it linger		1st	2nd	4th	2nd	2nd	9	771	1	3
14	hehe	ESL, Novice	2nd	3rd	2nd	3rd	1st	9	770	1	2
15	Sophie and Riv		2nd	4th	1st	4th	1st	8	779	2	1
16	Hate Crazy American Judges		2nd	1st	3rd	3rd	3rd	8	778	1	1
17	KCL folklore and reputation		1st	1st	4th	4th	2nd	8	777	2	1
18	UCL KD	ESL	1st	4th	1st	3rd	3rd	8	777	2	0
19	Naruto v Sasuke Moment		3rd	1st	2nd	2nd	4th	8	773	1	2
20	airplanes is balanced and fair		3rd	4th	2nd	2nd	1st	8	771	1	2
21	Can&#x27;t spell argumentation without U	Novice	2nd	1st	4th	1st	4th	8	769	2	1
22	EDS Yeehaw		2nd	3rd	3rd	2nd	3rd	7	774	0	2
23	Nattu Nattu x Hurricane	ESL	1st	3rd	4th	1st	4th	7	772	2	0
24	Preparing the best Hawaiian shirt f		4th	2nd	1st	4th	2nd	7	763	1	2
25	Serving Kant	Novice	4th	3rd	1st	3rd	2nd	7	759	1	1
26	TAU E&amp;R	ESL	3rd	4th	3rd	1st	2nd	7	750	1	1
27	Girlboos	Novice	4th	1st	3rd	1st	—	7	620	2	0
28	Honk Honk Shoo Shoo Mimiki	ESL	3rd	3rd	2nd	2nd	4th	6	773	0	2
29	One Munch, Two Munch	Novice	1st	4th	2nd	4th	3rd	6	765	1	1
30	Jerblin	Novice	2nd	3rd	4th	4th	1st	6	754	1	1
31	Swing 1		—	3rd	2nd	1st	—	6	463	1	1
32	Swing 2		—	—	1st	1st	—	6	308	2	0
33	channeling oikawa energy	Novice	3rd	2nd	2nd	4th	4th	5	775	0	2
34	BDU A	ESL	3rd	3rd	3rd	2nd	4th	5	761	0	1
35	Boston Warriors	ESL	4th	1st	4th	4th	2nd	5	759	1	1
36	Apex Nights	ESL	3rd	2nd	3rd	4th	3rd	5	755	0	1
37	Redacted		4th	2nd	4th	2nd	3rd	5	754	0	2
38	Out of Hibernation	Novice	4th	1st	4th	3rd	4th	4	755	1	0
39	Osiris	Novice	3rd	4th	2nd	3rd	4th	4	741	0	1
40	Cameron Haters	ESL, Novice	2nd	4th	4th	3rd	—	3	606	0	1
41	Dorvlo and Opoku: KNUST A	ESL	4th	4th	3rd	—	2nd	3	602	0	1
42	Labjian		4th	2nd	3rd	—	—	3	454	0	1
43	Swing 6		—	—	—	—	1st	3	155	1	0
44	Swing 5		—	—	—	2nd	—	2	147	0	1
45	Pizza paratha	ESL, Novice	4th	4th	4th	4th	3rd	1	732	0	0
46	BUTEXDC A	ESL	4th	3rd	—	—	—	1	306	0	0
47	Fopdoodles	Novice	3rd	4th	—	—	—	1	298	0	0
48	Swing 3		—	—	—	3rd	—	1	146	0	0
49	DU-A	ESL, Novice	4th	—	4th	—	—	0	293	0	0
50	Swing 4		—	—	—	4th	—	0	150	0	0
51	Swing 7		—	—	—	—	4th	0	147	0	0
52=	Hamza is the debate God		—	—	—	—	—	—	—	0	0
52=	sadge	Novice	—	—	—	—	—	—	—	0	0
