Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Big Academic Words and High-Burden		2nd	1st	1st	2nd	1st	13	814	3	2
2	Bucharest A	ESL	1st	2nd	1st	1st	3rd	12	817	3	1
3	Dumbfuck Daniel		2nd	1st	2nd	1st	2nd	12	805	2	3
4	GUU Syphilis		2nd	1st	3rd	1st	1st	12	804	3	1
5	British Paramilitary debating		1st	1st	3rd	3rd	1st	11	818	3	0
6	Zagreb A	ESL	3rd	1st	1st	2nd	2nd	11	801	2	2
7	Yet another Canadian job stolen by		1st	3rd	1st	4th	1st	10	800	3	0
8	St Andrews pron(A)talism stans		1st	1st	1st	3rd	4th	10	799	3	0
9	The dark poet and the unbearable r	ESL	4th	1st	2nd	1st	2nd	10	797	2	2
10	UCD LawSoc (g)A(y chronically ill street chil		2nd	1st	2nd	4th	1st	10	796	2	2
11	LSE Soon Doon shoowdoown		3rd	2nd	1st	1st	3rd	10	792	2	1
12	Stanford PesFTA		2nd	2nd	2nd	2nd	2nd	10	789	0	5
13	Imperial A		2nd	3rd	3rd	1st	1st	10	783	2	1
14	LSE A		4th	1st	1st	3rd	2nd	9	802	2	1
15	Troy &amp; Abed In the Morning	ESL	1st	2nd	3rd	1st	4th	9	786	2	1
16	can we go as ‘asian debate hyperac		1st	3rd	3rd	1st	3rd	9	785	2	0
17	TCD Hist Message us after the round for pic		3rd	4th	2nd	1st	1st	9	776	2	1
18	DTU A	ESL	4th	2nd	2nd	2nd	1st	9	776	1	3
19	Cambridge karen is this still part of your d		1st	2nd	4th	2nd	3rd	8	794	1	2
20	UCD L&amp;H Who is Earl and why does he have a		3rd	3rd	1st	2nd	3rd	8	782	1	1
21	UCD L&amp;H (A)ren&#x27;t you guys the convenors? n		3rd	1st	2nd	4th	2nd	8	781	1	2
22	Swang		1st	1st	4th	3rd	3rd	8	778	2	0
23	mom harem		2nd	2nd	2nd	2nd	4th	8	778	0	4
24	Oxford the Greatest Gunslingers do		1st	4th	3rd	3rd	1st	8	774	2	0
25	GUU D(ick infection)		4th	1st	3rd	2nd	2nd	8	773	1	2
26	NU S	ESL	1st	4th	1st	4th	2nd	8	762	2	1
27	Bucharest B	ESL	4th	2nd	1st	2nd	4th	7	786	1	2
28	3x the charm		1st	3rd	4th	3rd	2nd	7	778	1	1
29	Imperial Maybe we wouldn&#x27;t be such feminist		2nd	3rd	1st	3rd	4th	7	775	1	1
30	DTU SS	ESL	2nd	4th	4th	2nd	1st	7	758	1	2
31=	Cornell team		3rd	2nd	2nd	4th	3rd	6	777	0	2
31=	GUU Emm(A)		4th	2nd	3rd	2nd	3rd	6	777	0	2
33	Stanford BQ		2nd	3rd	2nd	4th	3rd	6	776	0	2
34	Up for Debate India	ESL	1st	4th	4th	1st	4th	6	772	2	0
35	Persuade Us	ESL	3rd	1st	4th	4th	2nd	6	768	1	1
36	UCL B21	ESL	2nd	4th	4th	3rd	1st	6	766	1	1
37	TCD Phil B		3rd	4th	4th	1st	2nd	6	762	1	1
38	HUJI B	ESL	3rd	2nd	4th	4th	1st	6	760	1	1
39	GUU C(hlamydia)		1st	4th	2nd	3rd	4th	6	758	1	1
40	Swing		—	4th	1st	1st	—	6	453	2	0
41	Weizmann R&amp;D	ESL	2nd	2nd	3rd	4th	4th	5	787	0	2
42	Warsaw Alas boyfriend and his girlfriend	ESL	2nd	3rd	3rd	4th	3rd	5	768	0	1
43	Raven Hedgehog	ESL	4th	4th	2nd	2nd	3rd	5	759	0	2
44	HUJI I&amp;M	ESL	4th	3rd	3rd	1st	4th	5	753	1	0
45	Weizmann K&amp;N	ESL	3rd	4th	3rd	2nd	4th	4	761	0	1
46	Berlin Bears	ESL	3rd	2nd	4th	3rd	4th	4	752	0	1
47	Young Korean boys from everywhere		4th	4th	1st	3rd	—	4	609	1	0
48	UW Blackpink		4th	3rd	2nd	3rd	—	4	591	0	1
49	KUA Waterloo, knowing my fate is to br	ESL	3rd	4th	4th	4th	2nd	3	747	0	1
50	UCD L&amp;H Novices? More like nobitches 😎		4th	3rd	4th	3rd	3rd	3	742	0	0
51	RWTH Aachen THP the Potato icon	ESL	3rd	3rd	4th	4th	4th	2	740	0	0
52	TAU Reut &amp; Emanuel	ESL	4th	3rd	3rd	4th	—	2	593	0	0
53	Yellow Fever	ESL	4th	—	—	—	—	0	146	0	0
54	the man who arranges the blocks		—	—	—	—	—	—	—	0	0
