team	result	side	adjudicators
TCD Hist Rehan and Ziyad	eliminated	Opening Government	Pranav AnandⒸ , Alex McCreadie , Heather Ashworth
Reaff to Chicago to chill with the	advancing	Opening Opposition	Pranav AnandⒸ , Alex McCreadie , Heather Ashworth
Bucharest A	advancing	Closing Government	Pranav AnandⒸ , Alex McCreadie , Heather Ashworth
LSE Brown Man shows White Boy what rea	eliminated	Closing Opposition	Pranav AnandⒸ , Alex McCreadie , Heather Ashworth
Hist A (Equity&#x27;s Version)	advancing	Opening Government	Helena HeckeⒸ , Amitai Ben Porat , Colson Merrill
Sussy Simps	advancing	Opening Opposition	Helena HeckeⒸ , Amitai Ben Porat , Colson Merrill
Imperial A(nother weekend)	eliminated	Closing Government	Helena HeckeⒸ , Amitai Ben Porat , Colson Merrill
Zagreb Why dont you just meet me in the L	eliminated	Closing Opposition	Helena HeckeⒸ , Amitai Ben Porat , Colson Merrill
Sydney ESBD	advancing	Opening Government	Adam MallisⒸ , Katie Kiely , Martha McKinney-Perry
Duke Round 2	eliminated	Opening Opposition	Adam MallisⒸ , Katie Kiely , Martha McKinney-Perry
St Andrews A(ll quarterbacks will break their	eliminated	Closing Government	Adam MallisⒸ , Katie Kiely , Martha McKinney-Perry
UNWE Glasgow Ancients for poor people	advancing	Closing Opposition	Adam MallisⒸ , Katie Kiely , Martha McKinney-Perry
Dylan asks another Indian partner	advancing	Opening Government	Alastair BowyerⒸ , Erasmus Segbefia , Nina McCartney
drinking mogu mogu while riding au	advancing	Opening Opposition	Alastair BowyerⒸ , Erasmus Segbefia , Nina McCartney
Cornell this is my mental health prep comp	eliminated	Closing Government	Alastair BowyerⒸ , Erasmus Segbefia , Nina McCartney
Hart House bon appetit	eliminated	Closing Opposition	Alastair BowyerⒸ , Erasmus Segbefia , Nina McCartney
