Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	drinking mogu mogu while riding au		1st	1st	1st	1st	1st	15	828	5	0
2	Duke Round 2	Pro-Am	1st	3rd	1st	1st	2nd	12	802	3	1
3	Sussy Simps		1st	1st	3rd	2nd	1st	12	799	3	1
4	Reaff to Chicago to chill with the		1st	3rd	1st	3rd	1st	11	813	3	0
5	Bucharest A	ESL	3rd	1st	1st	3rd	1st	11	811	3	0
6	Hist A (Equity&#x27;s Version)		1st	2nd	2nd	2nd	2nd	11	796	1	4
7	UNWE Glasgow Ancients for poor people	ESL	2nd	1st	1st	2nd	4th	10	812	2	2
8	Dylan asks another Indian partner		3rd	2nd	1st	3rd	1st	10	801	2	1
9	Cornell this is my mental health prep comp		1st	2nd	3rd	1st	3rd	10	800	2	1
10	St Andrews A(ll quarterbacks will break their		2nd	1st	3rd	1st	3rd	10	792	2	1
11	Imperial A(nother weekend)		2nd	2nd	4th	1st	1st	10	788	2	2
12	LSE Brown Man shows White Boy what rea	ESL	3rd	2nd	2nd	2nd	1st	10	783	1	3
13	TCD Hist Rehan and Ziyad		2nd	1st	4th	1st	2nd	10	773	2	2
14	Zagreb Why dont you just meet me in the L	ESL	1st	2nd	2nd	4th	2nd	9	795	1	3
15	Sydney ESBD		1st	1st	2nd	4th	3rd	9	793	2	1
16	Hart House bon appetit		4th	1st	1st	1st	4th	9	788	3	0
17	UCD L&amp;H Hope we wake up for r1		1st	4th	1st	4th	1st	9	787	3	0
18	Princeton Kashmiri Pulao		1st	1st	4th	3rd	2nd	9	783	2	1
19	Don&#x27;t Cross the Border	Pro-Am	2nd	4th	2nd	1st	2nd	9	780	1	3
20	Sunway refugee seeks asylum at LSE		2nd	2nd	4th	1st	2nd	9	778	1	3
21	Princeton Pensive Meerkats		3rd	3rd	1st	3rd	1st	9	771	2	0
22	GUU A(bsolutely can&#x27;t reference it)		1st	3rd	3rd	1st	4th	8	797	2	0
23	Cambridge A(nalysis lacking)		2nd	3rd	2nd	2nd	3rd	8	784	0	3
24	UCD L&amp;H We could be a small company by EU		2nd	3rd	2nd	3rd	2nd	8	781	0	3
25	Technion We took a day off for this	ESL	3rd	1st	2nd	3rd	3rd	8	779	1	1
26	ASDV Bonaparte Balkan Girls	ESL	2nd	2nd	2nd	2nd	4th	8	777	0	4
27	Can&#x27;t top tab when you&#x27;re a bottom	Pro-Am	2nd	4th	1st	4th	1st	8	776	2	1
28	we&#x27;d rather defy gravity than defy		2nd	2nd	4th	3rd	1st	8	774	1	2
29	GUU C(an’t talk about that one thing)		4th	2nd	3rd	1st	2nd	8	773	1	2
30	Swing 2		3rd	1st	1st	4th	3rd	8	771	2	0
31	UCLA Khaki Shorts Respecters		4th	2nd	1st	2nd	3rd	8	763	1	2
32	Cambridge karen is this still part of your d		2nd	4th	1st	4th	2nd	7	775	1	2
33	Imperial Principled Wankers		1st	3rd	3rd	4th	2nd	7	772	1	1
34	St Andrews (-B ± √(B² - 4ac) )/2a	Pro-Am	4th	3rd	1st	2nd	3rd	7	769	1	1
35	Meeples	ESL	4th	4th	2nd	2nd	1st	7	765	1	2
36	Dukh Dard Debate	ESL	4th	2nd	2nd	2nd	3rd	7	765	0	3
37	Exeter Inferiority complEXE	Pro-Am	3rd	2nd	3rd	1st	4th	7	764	1	1
38	GUU D(on’t even think about mentioning	Pro-Am	2nd	3rd	3rd	4th	1st	7	763	1	1
39	Haifa Too many comps, not enough names	ESL	1st	4th	2nd	2nd	4th	7	762	1	2
40	THERE ARE BUGS IN YOUR SKIN THERE	Pro-Am	3rd	1st	3rd	3rd	4th	6	775	1	0
41	DTU A	ESL	2nd	3rd	3rd	2nd	4th	6	762	0	2
42	In the counterfactual chair, we wo	Pro-Am	3rd	3rd	4th	1st	3rd	6	760	1	0
43	IIT Bombay South South Co-Operation	ESL	3rd	2nd	3rd	3rd	3rd	6	759	0	1
44	Stanford Average American moment	Pro-Am	1st	4th	4th	4th	1st	6	758	2	0
45	Exeter EXEtra - Ordinary	Pro-Am	4th	4th	1st	3rd	2nd	6	757	1	1
46=	BDU utilitarian arguments disguised as	ESL	4th	1st	4th	1st	4th	6	748	2	0
46=	Queen&#x27;s sheeping		4th	1st	4th	4th	1st	6	748	2	0
48	EUDU B(asic, safe, vanilla sex @guu)		4th	1st	2nd	4th	4th	5	760	1	1
49	Aberdeen She&#x27;s everything, he&#x27;s just Cal		1st	4th	4th	2nd	4th	5	759	1	1
50	Cardiff Slavic! at the Disco		3rd	4th	3rd	2nd	3rd	5	752	0	1
51	NMIMS Hate shitty foreign accents	Pro-Am	4th	3rd	3rd	3rd	2nd	5	740	0	1
52	Shevchenko	ESL	3rd	4th	2nd	4th	2nd	5	736	0	2
