Rk	break	team	Pts	Spk	1sts	2nds
1	1	MDU RY	14	807.00	4	1
2	2	Princeton A	12	824.00	3	1
3	3	MDU Rolls Royce	12	805.00	4	0
4	4	UWODS	12	803.00	2	3
5	5	IND Halifax Grammar School	12	799.00	3	1
6	6	IND NU Phone Hu Dis	12	794.00	3	1
7	7	Yale BS	11	807.00	3	1
8	8	Cornell ER	11	802.00	2	2
9	9	IND Athabasca/Concordia Hybrid	11	784.00	3	1
10	10	Yale MS	11	776.00	2	2
11	11	IND Matt and Ryan	10	804.00	2	1
12	12	Harvard Miles Wang	10	796.00	2	2
13	13	MDU Aziz-Lewis	10	796.00	2	1
14	14	QDU CK	10	789.00	3	0
15	15	IND An economist and a lawyer walk int	10	787.00	2	1
16	16	EDS Aaron Boone vs the mlbua	10	782.00	1	3
