team	institution	result	side	ballot	adjudicators
Good Cop Bad Cop	CUB	3rd	Opening Government	View Ballot	Prashasti SaxenaⒸ , Priyal NandaⓉ
Swing 1	—	4th	Opening Opposition	View Ballot	Prashasti SaxenaⒸ , Priyal NandaⓉ
Kannis Film Festival	GNLU	1st	Closing Government	View Ballot	Prashasti SaxenaⒸ , Priyal NandaⓉ
KKAD-BURY	HNLU	2nd	Closing Opposition	View Ballot	Prashasti SaxenaⒸ , Priyal NandaⓉ
RVCE A	RVCE	2nd	Opening Government	View Ballot	Chahana CharlesⒸ , Priya ShuklaⓉ
Debating Divas	NLSIU	3rd	Opening Opposition	View Ballot	Chahana CharlesⒸ , Priya ShuklaⓉ
Banashankari bois	PESU	4th	Closing Government	View Ballot	Chahana CharlesⒸ , Priya ShuklaⓉ
Swing 5	—	1st	Closing Opposition	View Ballot	Chahana CharlesⒸ , Priya ShuklaⓉ
Kheech Lenge	NLIUB	1st	Opening Government	View Ballot	Therese GenotaⒸ , Hemant singh rajawatⓉ
Darles Chickens	MCDU	3rd	Opening Opposition	View Ballot	Therese GenotaⒸ , Hemant singh rajawatⓉ
The ConChordants	MSE	2nd	Closing Government	View Ballot	Therese GenotaⒸ , Hemant singh rajawatⓉ
Swing 3	—	4th	Closing Opposition	View Ballot	Therese GenotaⒸ , Hemant singh rajawatⓉ
Getting rekt	—	3rd	Opening Government	View Ballot	Kritadnya KalingⒸ , Aleena PaulⓉ , Vinayak MalhotraⓉ
Vikings	—	4th	Opening Opposition	View Ballot	Kritadnya KalingⒸ , Aleena PaulⓉ , Vinayak MalhotraⓉ
Eto Chudurbudur Ken ?	—	1st	Closing Government	View Ballot	Kritadnya KalingⒸ , Aleena PaulⓉ , Vinayak MalhotraⓉ
UPLB Teambulan	UPLB	2nd	Closing Opposition	View Ballot	Kritadnya KalingⒸ , Aleena PaulⓉ , Vinayak MalhotraⓉ
NLS Grr	NLSIU	3rd	Opening Government	View Ballot	Pushpit SinghⒸ , Acharaj Kaur TutejaⓉ
UPD Graphic Design is Our Passion	UPD	2nd	Opening Opposition	View Ballot	Pushpit SinghⒸ , Acharaj Kaur TutejaⓉ
ronbingchillin	DLSU SHS	4th	Closing Government	View Ballot	Pushpit SinghⒸ , Acharaj Kaur TutejaⓉ
It’s 4 AM at 107	—	1st	Closing Opposition	View Ballot	Pushpit SinghⒸ , Acharaj Kaur TutejaⓉ
The Knights	JGU	4th	Opening Government	View Ballot	Frank BannermanⒸ , Mahanth P AⓉ , Saurav TiwariⓉ
Washing Powder Nirma	VIT	1st	Opening Opposition	View Ballot	Frank BannermanⒸ , Mahanth P AⓉ , Saurav TiwariⓉ
MUST delay know more	MUST	3rd	Closing Government	View Ballot	Frank BannermanⒸ , Mahanth P AⓉ , Saurav TiwariⓉ
Current Status Quo	—	2nd	Closing Opposition	View Ballot	Frank BannermanⒸ , Mahanth P AⓉ , Saurav TiwariⓉ
NUJS	NUJS	4th	Opening Government	View Ballot	Abhilash SaneⒸ , Ananya ThakurⓉ , Virendra Pratap Singh RathodⓉ
Shreya &amp; Sid	GLCM	2nd	Opening Opposition	View Ballot	Abhilash SaneⒸ , Ananya ThakurⓉ , Virendra Pratap Singh RathodⓉ
XLRI - GGMU	XLRIJ	3rd	Closing Government	View Ballot	Abhilash SaneⒸ , Ananya ThakurⓉ , Virendra Pratap Singh RathodⓉ
IIT B	IITB	1st	Closing Opposition	View Ballot	Abhilash SaneⒸ , Ananya ThakurⓉ , Virendra Pratap Singh RathodⓉ
oh please	—	3rd	Opening Government	View Ballot	Chu Đức AnⒸ , Keshav Malik , Abhirath MSⓉ
Bun Maska	BITSG	1st	Opening Opposition	View Ballot	Chu Đức AnⒸ , Keshav Malik , Abhirath MSⓉ
FanbaseofXiaoke	—	2nd	Closing Government	View Ballot	Chu Đức AnⒸ , Keshav Malik , Abhirath MSⓉ
Not Bad Debaters	NLIUB	4th	Closing Opposition	View Ballot	Chu Đức AnⒸ , Keshav Malik , Abhirath MSⓉ
