team	institution	result	side	adjudicators
Old Monk x Ice Burst	—	advancing	Opening Government	Snigdha PriyadarshiniⒸ , Abhilash Sane , Chu Đức An
Comeback ng mga anti-man na kalahok	DLSU SHS	eliminated	Opening Opposition	Snigdha PriyadarshiniⒸ , Abhilash Sane , Chu Đức An
Marx-less Marksheet	SXCK	eliminated	Closing Government	Snigdha PriyadarshiniⒸ , Abhilash Sane , Chu Đức An
Stanford AS	SU	advancing	Closing Opposition	Snigdha PriyadarshiniⒸ , Abhilash Sane , Chu Đức An
Kannis Film Festival	GNLU	advancing	Opening Government	Prosper Michael AmetuⒸ , Ayush Kanaujia , Therese Genota
Washing Powder Nirma	VIT	eliminated	Opening Opposition	Prosper Michael AmetuⒸ , Ayush Kanaujia , Therese Genota
Osaka A	OU	advancing	Closing Government	Prosper Michael AmetuⒸ , Ayush Kanaujia , Therese Genota
Dudh si safedi nirma se aaye	VIT	eliminated	Closing Opposition	Prosper Michael AmetuⒸ , Ayush Kanaujia , Therese Genota
UPD Graphic Design is Our Passion	UPD	advancing	Opening Government	Sam UnabiaⒸ , ANGAD MATHARU , Priya Shukla
Paid Churro	UPD	eliminated	Opening Opposition	Sam UnabiaⒸ , ANGAD MATHARU , Priya Shukla
Eto Chudurbudur Ken ?	—	advancing	Closing Government	Sam UnabiaⒸ , ANGAD MATHARU , Priya Shukla
Current Status Quo	—	eliminated	Closing Opposition	Sam UnabiaⒸ , ANGAD MATHARU , Priya Shukla
MH	MHUD	advancing	Opening Government	Kritadnya KalingⒸ , Keerthivasan S , Pratyush Kumar Shekhar
Sabki Pasand Nirma!	VIT	advancing	Opening Opposition	Kritadnya KalingⒸ , Keerthivasan S , Pratyush Kumar Shekhar
gah! goo! par! eh!	DLSU SHS	eliminated	Closing Government	Kritadnya KalingⒸ , Keerthivasan S , Pratyush Kumar Shekhar
We’re mostly adjes if we don’t brea	—	eliminated	Closing Opposition	Kritadnya KalingⒸ , Keerthivasan S , Pratyush Kumar Shekhar
