Rk	break	team	institution	Pts	Spk	1sts	2nds
1	1	Stanford AS	SU	15	815.00	5	0
2	(ineligible)	Chandraywan-Aachar samporn soch vic	—	13	796.00	3	2
3	2	Dudh si safedi nirma se aaye	VIT	12	791.00	4	0
4	3	UPD Graphic Design is Our Passion	UPD	12	781.00	3	1
5	4	Sabki Pasand Nirma!	VIT	12	777.00	3	1
6	5	MH	MHUD	11	787.00	3	0
7	6	Current Status Quo	—	11	783.00	3	1
8	7	Washing Powder Nirma	VIT	11	782.00	2	2
9	8	Comeback ng mga anti-man na kalahok	DLSU SHS	11	781.00	3	0
10	9	Old Monk x Ice Burst	—	10	789.00	2	2
11	10	Osaka A	OU	10	785.00	2	1
12	11	Eto Chudurbudur Ken ?	—	10	780.00	2	2
13	12	gah! goo! par! eh!	DLSU SHS	10	775.00	2	1
14	13	We’re mostly adjes if we don’t brea	—	10	774.00	2	2
15	14	Paid Churro	UPD	10	772.00	2	1
16	15	Kannis Film Festival	GNLU	10	771.00	2	2
17	16	Marx-less Marksheet	SXCK	10	771.00	2	1
