Rk	team	categories	institution	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Stanford AS		SU	1st	1st	1st	1st	1st	15	815	5	0
2	Chandraywan-Aachar samporn soch vic		—	1st	1st	1st	2nd	2nd	13	796	3	2
3	Dudh si safedi nirma se aaye		VIT	1st	4th	1st	1st	1st	12	791	4	0
4	UPD Graphic Design is Our Passion		UPD	2nd	1st	3rd	1st	1st	12	781	3	1
5	Sabki Pasand Nirma!		VIT	1st	3rd	1st	1st	2nd	12	777	3	1
6	MH		MHUD	1st	3rd	1st	1st	3rd	11	787	3	0
7	Current Status Quo		—	2nd	1st	4th	1st	1st	11	783	3	1
8	Washing Powder Nirma		VIT	1st	3rd	2nd	2nd	1st	11	782	2	2
9	Comeback ng mga anti-man na kalahok		DLSU SHS	3rd	1st	3rd	1st	1st	11	781	3	0
10	Old Monk x Ice Burst		—	1st	1st	2nd	4th	2nd	10	789	2	2
11	Osaka A		OU	2nd	1st	1st	3rd	3rd	10	785	2	1
12	Eto Chudurbudur Ken ?		—	1st	2nd	1st	2nd	4th	10	780	2	2
13	gah! goo! par! eh!		DLSU SHS	2nd	1st	3rd	1st	3rd	10	775	2	1
14	We’re mostly adjes if we don’t brea		—	1st	1st	2nd	4th	2nd	10	774	2	2
15	Paid Churro		UPD	3rd	2nd	1st	3rd	1st	10	772	2	1
16	Kannis Film Festival		GNLU	1st	2nd	4th	2nd	1st	10	771	2	2
17	Marx-less Marksheet		SXCK	3rd	2nd	3rd	1st	1st	10	771	2	1
18	GLC-SXC Cross		—	1st	1st	3rd	3rd	2nd	10	768	2	1
19	Dumb and Dumber		BITSG	3rd	1st	1st	3rd	2nd	10	764	2	1
20	IIT B		IITB	1st	2nd	4th	3rd	1st	9	781	2	1
21	It’s 4 AM at 107		—	1st	2nd	2nd	2nd	4th	9	774	1	3
22	NUJS		NUJS	4th	1st	1st	2nd	3rd	9	773	2	1
23=	Break(down)		IPCW	2nd	2nd	3rd	1st	3rd	9	771	1	2
23=	Indecisive ambassadors		—	2nd	1st	3rd	3rd	2nd	9	771	1	2
25	Bun Maska		BITSG	1st	3rd	2nd	1st	4th	9	770	2	1
26	Machas		NLIUB	2nd	2nd	2nd	4th	1st	9	769	1	3
27	RVCE B	Novice	RVCE	4th	1st	1st	2nd	3rd	9	768	2	1
28	PATIENT ZERO		RCL	4th	1st	1st	4th	1st	9	767	3	0
29	Ninnn…		RCL	2nd	2nd	1st	4th	2nd	9	767	1	3
30	Hope-less		CUB	2nd	1st	4th	2nd	2nd	9	764	1	3
31	Debating Divas	Novice	NLSIU	3rd	4th	1st	2nd	1st	9	760	2	1
32	MiniMorty and Bigger Makmak		DLSU SHS	1st	2nd	4th	3rd	2nd	8	775	1	2
