team	institution	result	side	ballot	adjudicators
Swing 1	—	1st	Opening Government	View Ballot	Marianne Faye SisonⒸ
debate is my toxic ex	—	4th	Opening Opposition	View Ballot	Marianne Faye SisonⒸ
HG - Help I’m falling… for you &lt;33	HG	2nd	Closing Government	View Ballot	Marianne Faye SisonⒸ
Why The Long Face	TP	3rd	Closing Opposition	View Ballot	Marianne Faye SisonⒸ
Lay le	—	3rd	Opening Government	View Ballot	Cj SalayoⒸ , Cavan Tay
top 10 strongest akatsuki members	—	1st	Opening Opposition	View Ballot	Cj SalayoⒸ , Cavan Tay
Raven Hedgehog	—	4th	Closing Government	View Ballot	Cj SalayoⒸ , Cavan Tay
RIFP	TP	2nd	Closing Opposition	View Ballot	Cj SalayoⒸ , Cavan Tay
Going on hiatus can wait	—	4th	Closing Government	View Ballot	Aman GoyalⒸ , Hadome Joy Awulika
SMU We break up if we don’t break	SMU	3rd	Closing Opposition	View Ballot	Aman GoyalⒸ , Hadome Joy Awulika
solar and wind	Okayama	4th	Opening Government	View Ballot	Yashovardhan BalakrishnanⒸ , Yael Inventor
DM from Seoul	SNU	2nd	Opening Opposition	View Ballot	Yashovardhan BalakrishnanⒸ , Yael Inventor
BRAC x CU	—	3rd	Closing Government	View Ballot	Yashovardhan BalakrishnanⒸ , Yael Inventor
SBU Pablo &amp; Miguel	SBU	1st	Closing Opposition	View Ballot	Yashovardhan BalakrishnanⒸ , Yael Inventor
UU Liberation Front	UU	3rd	Opening Government	View Ballot	Charlie VitugⒸ , Pranav Anand
Bonsai Megazord	—	1st	Opening Opposition	View Ballot	Charlie VitugⒸ , Pranav Anand
56 Effects	TP	4th	Closing Government	View Ballot	Charlie VitugⒸ , Pranav Anand
ADMU krispy chicken nuggets	ADMU	2nd	Closing Opposition	View Ballot	Charlie VitugⒸ , Pranav Anand
MUDS 1	Melbourne	3rd	Opening Government	View Ballot	Taichi FukamiⒸ , Ayush Kanaujia , Kartik RajoteayaⓉ
Greendale A	Sydney	1st	Opening Opposition	View Ballot	Taichi FukamiⒸ , Ayush Kanaujia , Kartik RajoteayaⓉ
Mount Makiling	DLSU	4th	Closing Government	View Ballot	Taichi FukamiⒸ , Ayush Kanaujia , Kartik RajoteayaⓉ
We crammed uadc, thesis, and finals	DLSU	2nd	Closing Opposition	View Ballot	Taichi FukamiⒸ , Ayush Kanaujia , Kartik RajoteayaⓉ
MooMooMan	TP	4th	Opening Government	View Ballot	Farhan RahmanⒸ , Pao Taino
