team	institution	result	side	adjudicators
Wage whores can&#x27;t spar at 3 PM	—	eliminated	Closing Opposition	Imran IlmamⒸ , Louise Wee , Taichi Fukami
Barbieland University A	UPLB	eliminated	Closing Government	Sunghyun ParkⒸ , Himan Nayak , Manda Bagas Kara
ADMU cheesy hamdesal with egg	ADMU	advancing	Opening Opposition	Sunghyun ParkⒸ , Himan Nayak , Manda Bagas Kara
its as shrimple as that	DLSU	eliminated	Closing Opposition	Yashovardhan BalakrishnanⒸ , Farhan Rahman , Kartik Rajoteaya
Mount Makiling	DLSU	advancing	Opening Government	Yashovardhan BalakrishnanⒸ , Farhan Rahman , Kartik Rajoteaya
We crammed uadc, thesis, and finals	DLSU	advancing	Closing Opposition	Aman GoyalⒸ , Anjana Pillai , Marianne Faye Sison
Chee Sy	SMU	eliminated	Closing Government	Aman GoyalⒸ , Anjana Pillai , Marianne Faye Sison
SBU Pablo &amp; Miguel	SBU	eliminated	Opening Government	Aman GoyalⒸ , Anjana Pillai , Marianne Faye Sison
MUDS 1	Melbourne	advancing	Closing Government	Imran IlmamⒸ , Louise Wee , Taichi Fukami
chicken	HKIS	eliminated	Opening Government	Sunghyun ParkⒸ , Himan Nayak , Manda Bagas Kara
Greendale A	Sydney	advancing	Opening Opposition	Yashovardhan BalakrishnanⒸ , Farhan Rahman , Kartik Rajoteaya
Auckland Harper and Aisha	Auckland	advancing	Closing Opposition	Sunghyun ParkⒸ , Himan Nayak , Manda Bagas Kara
UPD GarC Belt / Dame Buckle	UPD	advancing	Opening Opposition	Imran IlmamⒸ , Louise Wee , Taichi Fukami
UPD soju + sprite + ice cream	UPD	eliminated	Opening Government	Imran IlmamⒸ , Louise Wee , Taichi Fukami
nyanko warriors	—	eliminated	Closing Government	Yashovardhan BalakrishnanⒸ , Farhan Rahman , Kartik Rajoteaya
Our Ma-Killing us for doing this	—	advancing	Opening Opposition	Aman GoyalⒸ , Anjana Pillai , Marianne Faye Sison
