Rk	break	team	institution	Pts	Spk	1sts	2nds
1	1	Greendale A	Sydney	12	646.00	4	0
2	2	ADMU cheesy hamdesal with egg	ADMU	10	636.00	2	2
3	3	UPD GarC Belt / Dame Buckle	UPD	10	617.00	2	2
4	4	Our Ma-Killing us for doing this	—	9	636.00	2	1
5	5	We crammed uadc, thesis, and finals	DLSU	9	630.00	2	1
6	6	MUDS 1	Melbourne	9	624.00	2	1
7	7	Auckland Harper and Aisha	Auckland	9	623.00	3	0
8	8	Mount Makiling	DLSU	8	632.00	2	1
9	9	nyanko warriors	—	8	631.00	2	1
10	10	Barbieland University A	UPLB	8	626.00	2	1
11	11	Wage whores can&#x27;t spar at 3 PM	—	8	625.00	2	0
12	12	SBU Pablo &amp; Miguel	SBU	8	624.00	1	2
13	13	Chee Sy	SMU	8	619.00	1	2
14	(ineligible)	Swing 1	—	8	611.00	2	1
15	14	UPD soju + sprite + ice cream	UPD	7	627.00	2	0
16	15	chicken	HKIS	7	620.00	1	2
17	16	its as shrimple as that	DLSU	7	619.00	1	1
