Rk	name	category	team	institution	R1	R2	R3	R4	Total	Avg	Stdev
1=	Matthew Toomey		Greendale A	Sydney	79	80	81	83	323	80.75	1.48
1=	Brendon Chen		Greendale A	Sydney	78	81	81	83	323	80.75	1.79
3=	Aly Barranda		ADMU cheesy hamdesal with egg	ADMU	80	81	77	82	320	80.00	1.87
3=	Shaurya Chandravanshi		Our Ma-Killing us for doing this	—	82	79	78	81	320	80.00	1.58
5=	Mezen Lababidi		Mount Makiling	DLSU	79	80	78	80	317	79.25	0.83
5=	Raymond Qiu	Novice	nyanko warriors	—	78	80	79	80	317	79.25	0.83
7=	Riva Fong		ADMU cheesy hamdesal with egg	ADMU	79	79	76	82	316	79.00	2.12
7=	Abhishek Acharya		Our Ma-Killing us for doing this	—	81	78	77	80	316	79.00	1.58
9=	Matcha Cual		UPD soju + sprite + ice cream	UPD	80	78	79	78	315	78.75	0.83
9=	Xanthipi Pontejos		Mount Makiling	DLSU	78	80	77	80	315	78.75	1.30
9=	Jill Aycardo		We crammed uadc, thesis, and finals	DLSU	76	78	80	81	315	78.75	1.92
9=	Therese Genota		We crammed uadc, thesis, and finals	DLSU	76	78	79	82	315	78.75	2.17
13=	Rose Hensher		MUDS 1	Melbourne	77	81	79	77	314	78.50	1.66
13=	Diggory Waddle		nyanko warriors	—	75	79	80	80	314	78.50	2.06
15=	JJ Pine		Barbieland University A	UPLB	79	77	77	80	313	78.25	1.30
15=	EJ Pine		Barbieland University A	UPLB	78	77	78	80	313	78.25	1.09
15=	Emily Yinchang Shi		Wage whores can&#x27;t spar at 3 PM	—	78	78	78	79	313	78.25	0.43
18=	Jaime Castro		UPD soju + sprite + ice cream	UPD	80	77	77	78	312	78.00	1.22
18=	Harper Smith		Auckland Harper and Aisha	Auckland	78	75	80	79	312	78.00	1.87
18=	Pablo Ramos		SBU Pablo &amp; Miguel	SBU	77	78	79	78	312	78.00	0.71
