Rk	team	categories	institution	R1	R2	R3	R4	Pts	Spk	1sts	2nds
1	Greendale A		Sydney	1st	1st	1st	1st	12	646	4	0
2	ADMU cheesy hamdesal with egg		ADMU	1st	2nd	1st	2nd	10	636	2	2
3	UPD GarC Belt / Dame Buckle		UPD	2nd	2nd	1st	1st	10	617	2	2
4	Our Ma-Killing us for doing this		—	1st	3rd	2nd	1st	9	636	2	1
5	We crammed uadc, thesis, and finals		DLSU	1st	1st	2nd	3rd	9	630	2	1
6	MUDS 1		Melbourne	1st	1st	3rd	2nd	9	624	2	1
7	Auckland Harper and Aisha		Auckland	1st	4th	1st	1st	9	623	3	0
8	Mount Makiling		DLSU	1st	1st	4th	2nd	8	632	2	1
9	nyanko warriors		—	1st	2nd	1st	4th	8	631	2	1
10	Barbieland University A		UPLB	2nd	4th	1st	1st	8	626	2	1
11	Wage whores can&#x27;t spar at 3 PM		—	1st	3rd	3rd	1st	8	625	2	0
12	SBU Pablo &amp; Miguel		SBU	2nd	3rd	1st	2nd	8	624	1	2
13	Chee Sy	Novice	SMU	2nd	1st	2nd	3rd	8	619	1	2
14	Swing 1		—	2nd	4th	1st	1st	8	611	2	1
15	UPD soju + sprite + ice cream		UPD	1st	4th	1st	3rd	7	627	2	0
16	chicken	Novice	HKIS	2nd	1st	4th	2nd	7	620	1	2
17	its as shrimple as that		DLSU	1st	2nd	3rd	3rd	7	619	1	1
18	HG A - we overslept	Novice	HG	2nd	3rd	2nd	2nd	7	619	0	3
19	Bonsai Megazord		—	4th	1st	1st	3rd	7	618	2	0
20	UPD Lakers in 5	Novice	UPD	3rd	2nd	2nd	2nd	7	615	0	3
21	ADMU krispy chicken nuggets	Novice	ADMU	3rd	3rd	2nd	1st	7	610	1	1
22	what are you doing stepbro: ep. 2		—	3rd	1st	2nd	4th	6	618	1	1
23	ADMU two number 9s		ADMU	2nd	2nd	2nd	4th	6	617	0	3
24=	RVCE A		RVCE	3rd	1st	4th	2nd	6	614	1	1
24=	Summer Time	Novice	—	2nd	3rd	1st	4th	6	614	1	1
26	SMU We break up if we don’t break		SMU	1st	2nd	3rd	4th	6	613	1	1
27	SRCC A	Novice	SRCC	3rd	2nd	4th	1st	6	612	1	1
28	We survived feedback from Sachin		VIT	3rd	1st	4th	2nd	6	611	1	1
29	AdZMU grimace shake	Novice	—	4th	2nd	3rd	1st	6	606	1	1
30	DM from Seoul		SNU	2nd	3rd	2nd	3rd	6	605	0	2
31	EJC	Novice	EJC	4th	1st	3rd	3rd	5	617	1	0
32	Badjudicators		SRCC	2nd	2nd	3rd	4th	5	614	0	2
33	NTUC Fairprice	Novice	NTU	4th	3rd	3rd	1st	5	609	1	0
34	Lay le		—	4th	3rd	3rd	1st	5	608	1	0
35	MooMooMan	Novice	TP	3rd	2nd	4th	2nd	5	608	0	2
36	Why The Long Face	Novice	TP	4th	2nd	3rd	2nd	5	600	0	2
37	Going on hiatus can wait		—	3rd	1st	4th	3rd	5	584	1	0
38	Swing 3		—	—	1st	3rd	3rd	5	461	1	0
39	Swing 4		—	—	4th	1st	2nd	5	458	1	1
40	top 10 strongest akatsuki members		—	3rd	4th	1st	4th	4	609	1	0
41	HG - Help I’m falling… for you &lt;33	Novice	HG	3rd	3rd	2nd	4th	4	603	0	1
42	Debating Debater	Novice	HG	4th	4th	1st	3rd	4	601	1	0
43	HG C - Taylor&#x27;s Version	Novice	HG	3rd	4th	4th	1st	4	597	1	0
44	BRAC x CU	Novice	—	4th	1st	3rd	—	4	458	1	0
45	Swing 2		—	—	2nd	2nd	4th	4	436	0	2
46	That’s too… aggressive	Novice	—	4th	4th	2nd	3rd	3	602	0	1
47	salty beaches	Novice	UPLB	4th	3rd	2nd	4th	3	601	0	1
48	debate is my toxic ex	Novice	—	2nd	4th	4th	3rd	3	599	0	1
49	Raven Hedgehog		—	4th	3rd	4th	2nd	3	598	0	1
50	RIFP	Novice	TP	4th	3rd	2nd	4th	3	583	0	1
51	UU Liberation Front		UU	3rd	3rd	3rd	—	3	460	0	0
52	56 Effects	Novice	TP	1st	4th	4th	—	3	459	1	0
53	solar and wind	Novice	Okayama	2nd	4th	4th	4th	2	597	0	1
54	Hair Dye and Korean Girl		MUST	—	4th	3rd	3rd	2	446	0	0
55	BUTEX A	Novice	BUTEX	—	2nd	4th	—	2	308	0	1
56	Yaen		—	3rd	—	—	—	1	157	0	0
57	Raccoons in Trenchcoats	Novice	—	4th	4th	4th	4th	0	587	0	0
