team	result	side	adjudicators
ROC LZ	2nd	Opening Government	Amanda LiangⒸ , Benjamin Dokupil , Laura Giugno
HWS TW	1st	Opening Opposition	Amanda LiangⒸ , Benjamin Dokupil , Laura Giugno
Gallaudet BB	4th	Closing Government	Amanda LiangⒸ , Benjamin Dokupil , Laura Giugno
Cornell GL	3rd	Closing Opposition	Amanda LiangⒸ , Benjamin Dokupil , Laura Giugno
ROC swing 2	2nd	Opening Opposition	Isabel BirneyⒸ , Julian Henry , Millie Caughey
Cornell CM	1st	Closing Government	Isabel BirneyⒸ , Julian Henry , Millie Caughey
Cornell HP	4th	Closing Opposition	Isabel BirneyⒸ , Julian Henry , Millie Caughey
Chicago PZ	3rd	Opening Government	Isabel BirneyⒸ , Julian Henry , Millie Caughey
UCLA MW	1st	Opening Government	Clarence BrontëⒸ , André Brown , Mike Arinarkin
Gallaudet BH	2nd	Opening Opposition	Clarence BrontëⒸ , André Brown , Mike Arinarkin
HWS CW	3rd	Closing Government	Clarence BrontëⒸ , André Brown , Mike Arinarkin
Cornell DP	4th	Closing Opposition	Clarence BrontëⒸ , André Brown , Mike Arinarkin
Rutgers AB	4th	Opening Government	Madeleine FordhamⒸ , Ben Shaw , Isabel Orlando , Jack Hanson
Pepperdine HW	2nd	Opening Opposition	Madeleine FordhamⒸ , Ben Shaw , Isabel Orlando , Jack Hanson
Princeton BB	1st	Closing Government	Madeleine FordhamⒸ , Ben Shaw , Isabel Orlando , Jack Hanson
Bard RW	3rd	Closing Opposition	Madeleine FordhamⒸ , Ben Shaw , Isabel Orlando , Jack Hanson
UVM KR	1st	Opening Government	Eli PallrandⒸ , Laura Jocelyn , Sophia Wlodek
ULV DR	3rd	Opening Opposition	Eli PallrandⒸ , Laura Jocelyn , Sophia Wlodek
UVM GL	4th	Closing Government	Eli PallrandⒸ , Laura Jocelyn , Sophia Wlodek
Bates CS	2nd	Closing Opposition	Eli PallrandⒸ , Laura Jocelyn , Sophia Wlodek
ROC swing	4th	Opening Government	Owen WebsterⒸ , Maggie Pierce , Sadia Hossain
ULV FR	1st	Opening Opposition	Owen WebsterⒸ , Maggie Pierce , Sadia Hossain
ROC KR	3rd	Closing Government	Owen WebsterⒸ , Maggie Pierce , Sadia Hossain
Cornell PS	2nd	Closing Opposition	Owen WebsterⒸ , Maggie Pierce , Sadia Hossain
Williams ST	1st	Opening Government	Julia García GuellⒸ , Amy Zhou , Willie Johnson
Duke HJ	2nd	Opening Opposition	Julia García GuellⒸ , Amy Zhou , Willie Johnson
Bard SB	3rd	Closing Government	Julia García GuellⒸ , Amy Zhou , Willie Johnson
ROC SY	4th	Closing Opposition	Julia García GuellⒸ , Amy Zhou , Willie Johnson
ROC DP	2nd	Opening Government	Danny SchonningⒸ , Ben Frazer , Nick Bayer
Princeton KT	1st	Opening Opposition	Danny SchonningⒸ , Ben Frazer , Nick Bayer
Cornell AL	3rd	Closing Government	Danny SchonningⒸ , Ben Frazer , Nick Bayer
UVM BR	4th	Closing Opposition	Danny SchonningⒸ , Ben Frazer , Nick Bayer
Duke MN	1st	Opening Government	Kayla PowersⒸ , Abigel Manaye , Charles Ndlovu , Gaveal Fan
Duke DW	2nd	Opening Opposition	Kayla PowersⒸ , Abigel Manaye , Charles Ndlovu , Gaveal Fan
Bard CS	3rd	Closing Government	Kayla PowersⒸ , Abigel Manaye , Charles Ndlovu , Gaveal Fan
UVM SS	4th	Closing Opposition	Kayla PowersⒸ , Abigel Manaye , Charles Ndlovu , Gaveal Fan
Stanford TC	1st	Opening Government	Pranav AnandⒸ , Amalia Mercedes Schneider , Gavin Sicard , Mo Islam
Stanford KC	4th	Opening Opposition	Pranav AnandⒸ , Amalia Mercedes Schneider , Gavin Sicard , Mo Islam
Bates NT	3rd	Closing Government	Pranav AnandⒸ , Amalia Mercedes Schneider , Gavin Sicard , Mo Islam
HWS RT	2nd	Closing Opposition	Pranav AnandⒸ , Amalia Mercedes Schneider , Gavin Sicard , Mo Islam
Duke DM	2nd	Opening Government	Meg KandarpaⒸ , Andrew Barsky , Ram Orfanel
Chicago DK	3rd	Opening Opposition	Meg KandarpaⒸ , Andrew Barsky , Ram Orfanel
Princeton FJ	1st	Closing Government	Meg KandarpaⒸ , Andrew Barsky , Ram Orfanel
Colgate DR	4th	Closing Opposition	Meg KandarpaⒸ , Andrew Barsky , Ram Orfanel
Colgate AW	3rd	Opening Government	Sreyan KanungoⒸ , Edwin Owusu , Matthew Schaupp
Cornell CP	2nd	Opening Opposition	Sreyan KanungoⒸ , Edwin Owusu , Matthew Schaupp
Cornell KW	4th	Closing Government	Sreyan KanungoⒸ , Edwin Owusu , Matthew Schaupp
Duke LP	1st	Closing Opposition	Sreyan KanungoⒸ , Edwin Owusu , Matthew Schaupp
