Rk	break	team	Pts	ATSS	Spk	1sts	2nds
1	1	Princeton FJ	15	159.80	799.00	5	0
2	2	UCLA MW	14	157.00	942.00	3	2
3	3	HWS RT	14	155.17	931.00	3	2
4	4	Bates NT	13	155.83	935.00	3	1
5	5	Duke LP	13	155.33	932.00	3	2
6	6	Duke DM	13	153.17	919.00	2	3
7	7	Cornell CP	12	154.00	924.00	2	2
8	8	Duke HJ	12	153.00	918.00	2	2
9	9	Duke MN	12	151.50	909.00	2	3
10	10	Stanford TC	11	155.50	933.00	3	1
11	11	Princeton KT	11	152.80	764.00	3	0
12	12	Bard CS	11	151.50	909.00	1	3
13	13	Gallaudet BH	11	151.17	907.00	1	3
14	14	Bard SB	11	149.83	899.00	2	1
15	15	Duke DW	11	149.33	896.00	1	3
16	16	Chicago DK	10	151.50	909.00	2	1
