Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	ATSS	Spk	1sts	2nds
1	Princeton FJ		—	1st	1st	1st	1st	1st	15	159.80	799	5	0
2	UCLA MW		1st	2nd	1st	1st	3rd	2nd	14	157.00	942	3	2
3	HWS RT		1st	1st	2nd	3rd	2nd	1st	14	155.17	931	3	2
4	Bates NT		1st	1st	3rd	1st	2nd	3rd	13	155.83	935	3	1
5	Duke LP		2nd	1st	1st	4th	2nd	1st	13	155.33	932	3	2
6	Duke DM		3rd	2nd	2nd	1st	1st	2nd	13	153.17	919	2	3
7	Cornell CP		2nd	1st	2nd	3rd	3rd	1st	12	154.00	924	2	2
8	Duke HJ		3rd	1st	2nd	2nd	1st	3rd	12	153.00	918	2	2
9	Duke MN		2nd	2nd	1st	2nd	4th	1st	12	151.50	909	2	3
10	Stanford TC		1st	1st	1st	2nd	4th	4th	11	155.50	933	3	1
11	Princeton KT		—	3rd	1st	3rd	1st	1st	11	152.80	764	3	0
12	Bard CS	Rookie	2nd	2nd	3rd	3rd	1st	2nd	11	151.50	909	1	3
13	Gallaudet BH		1st	3rd	2nd	3rd	2nd	2nd	11	151.17	907	1	3
14	Bard SB	Rookie	2nd	3rd	3rd	1st	1st	3rd	11	149.83	899	2	1
15	Duke DW		3rd	2nd	2nd	3rd	1st	2nd	11	149.33	896	1	3
16	Chicago DK		1st	4th	3rd	1st	3rd	2nd	10	151.50	909	2	1
17	UVM SS	Rookie	2nd	2nd	4th	1st	1st	4th	10	150.50	903	2	2
18	UVM KR		4th	1st	1st	1st	3rd	4th	10	149.83	899	3	0
19	Cornell CM		3rd	4th	1st	2nd	3rd	1st	10	149.83	899	2	1
20	Cornell GL	Rookie	2nd	3rd	3rd	4th	1st	1st	10	148.17	889	2	1
21	Stanford KC		1st	2nd	4th	2nd	2nd	4th	9	153.00	918	1	3
22	Cornell KW	Rookie	1st	2nd	4th	4th	2nd	2nd	9	151.50	909	1	3
23	HWS CW		2nd	1st	3rd	4th	2nd	3rd	9	151.33	908	1	2
24	Colgate AW		1st	3rd	3rd	4th	2nd	2nd	9	150.67	904	1	2
25	ROC swing 2		—	3rd	2nd	1st	2nd	3rd	9	150.20	751	1	2
26	Colgate DR	Rookie	4th	1st	4th	2nd	3rd	1st	9	149.67	898	2	1
27	Cornell DP	Rookie	3rd	1st	4th	2nd	4th	1st	9	147.83	887	2	1
28	Williams ST		1st	3rd	1st	4th	4th	3rd	8	152.83	917	2	0
29	Pepperdine HW	Rookie	3rd	3rd	2nd	3rd	3rd	2nd	8	149.67	898	0	2
30	ROC LZ	Rookie	2nd	3rd	2nd	2nd	3rd	4th	8	148.33	890	0	3
31	ULV FR		4th	4th	1st	3rd	1st	3rd	8	148.17	889	2	0
32	HWS TW	Rookie	3rd	2nd	1st	3rd	4th	3rd	8	146.00	876	1	1
33	ROC DP	Rookie	3rd	4th	2nd	4th	1st	3rd	7	147.00	882	1	1
34	Chicago PZ	Rookie	4th	4th	3rd	2nd	2nd	2nd	7	146.50	879	0	3
35	Princeton BB		—	2nd	1st	2nd	4th	4th	7	146.40	732	1	2
36	ROC KR	Rookie	4th	4th	3rd	1st	4th	1st	7	143.50	861	2	0
37	Gallaudet BB	Rookie	3rd	3rd	4th	3rd	3rd	1st	7	141.17	847	1	0
38	ROC SY	Rookie	3rd	1st	4th	4th	2nd	4th	6	148.17	889	1	1
39	UVM GL		1st	4th	4th	1st	4th	4th	6	147.83	887	2	0
40	Bard RW		2nd	4th	3rd	2nd	3rd	4th	6	147.17	883	0	2
41	Bates CS	Rookie	2nd	4th	2nd	4th	3rd	3rd	6	146.83	881	0	2
42	UVM BR	Rookie	4th	3rd	4th	1st	4th	2nd	6	146.17	877	1	1
43	ULV DR	Rookie	4th	2nd	3rd	4th	1st	4th	6	145.17	871	1	1
44	Rutgers AB	Rookie	4th	2nd	4th	2nd	4th	3rd	5	145.00	870	0	2
45	Cornell HP	Rookie	4th	3rd	4th	3rd	2nd	3rd	5	142.67	856	0	1
46	Cornell AL	Rookie	3rd	4th	3rd	3rd	3rd	4th	4	145.33	872	0	0
47	Cornell PS	Rookie	4th	4th	2nd	4th	4th	2nd	4	143.33	860	0	2
48	ROC swing		4th	4th	4th	4th	4th	4th	0	137.83	827	0	0
