team	result	side	adjudicators
KNUST Muggles at Hogwarts,magic at Odess	2nd	Opening Government	Simon Christopher LuoⒸ , Anna Sawicka
KNUST PETRICHOR	4th	Opening Opposition	LinseyⒸ , Mischa Watson , Wurdaan Kashif
Sofia Purely Crazy	2nd	Closing Government	Craig McDonaldⒸ , Daniela Williams , Oisin Browne
Oxford AP	1st	Opening Government	Daan SpacklerⒸ , Inbal Geva , Pascal Blaise Obeng
Oxford sk8er girls	3rd	Opening Government	Craig McDonaldⒸ , Daniela Williams , Oisin Browne
Imperial Of course a British institution is	3rd	Closing Government	Tamar Ben MeirⒸ , Prosper Michael Ametu , Shashwat Dash
Chulalongkorn SS	3rd	Opening Opposition	Ron LeizrowiceⒸ , Medhavini Singh , Omesh Dhar Dwivedi
DTU A	2nd	Closing Government	Nikola MichaylovⒸ , Vashmeet Kaur
Karazin Ukraine A	1st	Closing Government	Lior finkelmanⒸ , Yonatan klyiner
Reichman A	2nd	Closing Opposition	Ryosei KobayashiⒸ , Eoin Connolly , Taichi Fukami
Princeton Kashmiri Pulao	3rd	Closing Government	Daan SpacklerⒸ , Inbal Geva , Pascal Blaise Obeng
St. Andrews If We Stand Up and Cry for Seven M	3rd	Opening Government	Nikola MichaylovⒸ , Vashmeet Kaur
St. Andrews 𝜏 is the superior circle constant	3rd	Opening Opposition	Mukhtar TashkenbayevⒸ , Alishba Irfan , Kiel MirandillaⓉ
Cicero ESL extension	4th	Closing Government	Mukhtar TashkenbayevⒸ , Alishba Irfan , Kiel MirandillaⓉ
NU Aruaq	4th	Opening Opposition	Lior finkelmanⒸ , Yonatan klyiner
NU MN	1st	Opening Government	ChinmayaⒸ , Daniel Khlebnikov
KCL Polish and American Solidarity	1st	Opening Government	LinseyⒸ , Mischa Watson , Wurdaan Kashif
Ateneo RK Sanchez and &quot;Helicopter&quot; Vitug	1st	Opening Opposition	Nikola MichaylovⒸ , Vashmeet Kaur
Weizmann R&amp;D	1st	Opening Government	Ron LeizrowiceⒸ , Medhavini Singh , Omesh Dhar Dwivedi
Weizmann N &amp; K	4th	Closing Opposition	Enting LeeⒸ , Guyberli van Thuijl , Zihan TianⓉ
Weizmann DS	4th	Closing Government	Sharmila ParmanandⒸ , Amitai Wagner , Aymaan Sheikh
Odesa POIntless	4th	Closing Opposition	Simon Christopher LuoⒸ , Anna Sawicka
Stanford TC	4th	Closing Opposition	Nikola MichaylovⒸ , Vashmeet Kaur
Tel Aviv A	3rd	Opening Government	Sharmila ParmanandⒸ , Amitai Wagner , Aymaan Sheikh
