Rk	break	team	Pts	Spk	1sts	2nds
1	1	Danny and Dhruva	14	826.00	4	1
2	2	Foucault sam ti mamu	13	827.00	3	2
3	3	Sofia Purely Crazy	12	814.00	3	1
4	4	We are not sinless, but we are rea	11	812.00	3	0
5	5	Naomi shrunk Maxwell	11	811.00	3	1
6	6	Ack I always suck at this (slowed	11	808.00	2	2
7	7	Baek for Mor	11	784.00	2	2
8	8	Ateneo RK Sanchez and &quot;Helicopter&quot; Vitug	10	797.00	3	0
9	9	Bumpy CV Flatbreads	10	796.00	2	1
10	10	DTU A	10	779.00	2	2
11	11	KCL Polish and American Solidarity	10	774.00	2	1
12	12	Oxford AP	9	804.00	1	3
13	13	Princeton Kashmiri Pulao	9	794.00	0	4
14	14	We didn’t lose, we just went AWOL	9	789.00	2	0
15	15	Dung made you hear the case but he	9	789.00	1	3
16	16	Imperial Of course a British institution is	9	785.00	2	1
