Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds	Irons
1	Danny and Dhruva		1st	1st	1st	2nd	1st	14	826	4	1	0
2	Foucault sam ti mamu	ESL	2nd	1st	1st	1st	2nd	13	827	3	2	0
3	Sofia Purely Crazy		1st	1st	2nd	3rd	1st	12	814	3	1	0
4	We are not sinless, but we are rea		3rd	1st	1st	1st	3rd	11	812	3	0	0
5	Naomi shrunk Maxwell		1st	2nd	1st	4th	1st	11	811	3	1	0
6	Ack I always suck at this (slowed		1st	3rd	2nd	1st	2nd	11	808	2	2	0
7	Baek for Mor		2nd	1st	2nd	3rd	1st	11	784	2	2	0
8	Ateneo RK Sanchez and &quot;Helicopter&quot; Vitug		1st	4th	1st	3rd	1st	10	797	3	0	0
9	Bumpy CV Flatbreads		1st	3rd	1st	2nd	3rd	10	796	2	1	0
10	DTU A	ESL	4th	1st	2nd	1st	2nd	10	779	2	2	0
11	KCL Polish and American Solidarity	Pro-Am	3rd	2nd	1st	3rd	1st	10	774	2	1	0
12	Oxford AP		2nd	2nd	1st	2nd	4th	9	804	1	3	0
13	Princeton Kashmiri Pulao	Pro-Am	2nd	2nd	3rd	2nd	2nd	9	794	0	4	0
14	We didn’t lose, we just went AWOL		3rd	1st	3rd	1st	3rd	9	789	2	0	0
15	Dung made you hear the case but he		2nd	2nd	2nd	1st	4th	9	789	1	3	0
16	Imperial Of course a British institution is		2nd	1st	3rd	4th	1st	9	785	2	1	0
17	Stanford TC	Pro-Am	1st	4th	4th	1st	1st	9	781	3	0	0
18	Not Again, Surely!		1st	3rd	2nd	3rd	2nd	9	780	1	2	0
19	1st comp pls be nice	Pro-Am	3rd	3rd	2nd	1st	2nd	9	766	1	2	0
20	Tel Aviv A	ESL	1st	2nd	3rd	1st	—	9	643	2	1	0
21	What says Odesa more than Jewish a	ESL	1st	1st	4th	2nd	4th	8	792	2	1	0
22	Reichman A	ESL	2nd	4th	2nd	2nd	2nd	8	782	0	4	0
23	Oxford sk8er girls	Pro-Am	1st	1st	3rd	4th	3rd	8	774	2	0	0
24	IIT Bombay twiceborn privileged enemies die t	ESL, Pro-Am	4th	1st	2nd	2nd	3rd	8	771	1	2	0
25	Tejas Taught Us This	Pro-Am	1st	4th	2nd	4th	1st	8	770	2	1	0
26	Weizmann R&amp;D	ESL	2nd	3rd	1st	2nd	4th	8	768	1	2	0
27	Karazin Ukraine A	ESL	4th	2nd	1st	4th	1st	8	764	2	1	0
28	Chulalongkorn SS	ESL, Pro-Am	3rd	2nd	3rd	2nd	2nd	8	758	0	3	1
29	The Yanks come back		1st	3rd	4th	1st	4th	7	777	2	0	0
30	Weizmann DS	ESL, Pro-Am	1st	2nd	4th	3rd	3rd	7	776	1	1	0
31	Shrimps	Pro-Am	3rd	3rd	1st	3rd	3rd	7	770	1	0	1
32	St. Andrews 𝜏 is the superior circle constant		2nd	3rd	3rd	2nd	3rd	7	770	0	2	0
33	Hybrid ZJ	ESL	3rd	1st	4th	1st	4th	7	759	2	0	0
34	KNUST PETRICHOR	ESL	2nd	3rd	4th	2nd	2nd	7	753	0	3	0
35	St. Andrews If We Stand Up and Cry for Seven M	Pro-Am	4th	1st	3rd	4th	1st	7	745	2	0	0
36=	NU MN	ESL	4th	3rd	1st	3rd	2nd	7	741	1	1	0
36=	Ehehe	Pro-Am	3rd	2nd	4th	3rd	1st	7	741	1	1	0
38	Swing A		—	1st	1st	3rd	—	7	407	2	0	1
39	IIT Bombay Jobless Big 4 Debaters	ESL	2nd	2nd	2nd	4th	4th	6	768	0	3	1
40	Cicero ESL extension	ESL	3rd	2nd	4th	2nd	3rd	6	755	0	2	0
41	IIT Bombay 2	ESL, Pro-Am	4th	2nd	3rd	1st	4th	6	752	1	1	0
42	NU Aruaq	ESL, Pro-Am	3rd	3rd	4th	2nd	2nd	6	743	0	2	0
43	KNUST Muggles at Hogwarts,magic at Odess	ESL	—	2nd	2nd	4th	2nd	6	600	0	3	0
44	Ghost of Akina	ESL	2nd	4th	1st	4th	4th	5	758	1	1	0
45	memers and dreamers	Pro-Am	2nd	4th	3rd	3rd	3rd	5	755	0	1	1
46	Hottest bitches	Pro-Am	4th	3rd	2nd	3rd	3rd	5	748	0	1	1
47	Weizmann N &amp; K	ESL	3rd	1st	4th	4th	3rd	5	747	1	0	1
48	Floridaman stays up to do UTC+3 To	ESL	3rd	4th	3rd	4th	1st	5	736	1	0	0
49	Literally Us	ESL, Pro-Am	2nd	4th	3rd	3rd	4th	4	728	0	1	1
50	Flash Delirium	ESL, Pro-Am	4th	4th	2nd	4th	2nd	4	725	0	2	1
51	Shanghai Chipmunks		—	3rd	4th	1st	—	4	455	1	0	0
52	Swing π		—	3rd	—	1st	—	4	282	1	0	2
53	Wittgenstein&#x27;s Poker	ESL, Pro-Am	4th	4th	3rd	3rd	3rd	3	734	0	0	0
54	Erasmus The second try	ESL, Pro-Am	3rd	3rd	3rd	—	—	3	450	0	0	0
55	Fisher &amp; Falcon	ESL	4th	4th	4th	2nd	4th	2	740	0	1	0
56	Odesa POIntless	ESL	4th	2nd	4th	4th	4th	2	717	0	1	0
57	Boris and Aru	Pro-Am	3rd	—	—	—	—	1	151	0	0	0
58	local Wangs	ESL, Pro-Am	4th	4th	4th	—	4th	0	556	0	0	0
59	Swing 2		—	4th	—	4th	—	0	232	0	0	1
60	I promise to be fresh		4th	—	—	—	—	0	149	0	0	0
61	RPDA Babies	ESL, Pro-Am	—	4th	—	—	—	0	142	0	0	1
62	Phenomenological Snake	Pro-Am	4th	—	—	—	—	0	122	0	0	0
63	Swing d		—	4th	—	—	—	0	100	0	0	1
64=	UCD LawSoc A is missing some weighing? Yeah m		—	—	—	—	—	—	—	0	0	0
64=	Born to Lose		—	—	—	—	—	—	—	0	0	0
