team	result	side	adjudicators
Cambridge MS	advancing	Opening Government	Ilija IvaniševićⒸ , Alicia Wang , Ananya Krishna
Stanford BL	eliminated	Closing Government	Ilija IvaniševićⒸ , Alicia Wang , Ananya Krishna
LSE B	advancing	Opening Opposition	Ilija IvaniševićⒸ , Alicia Wang , Ananya Krishna
MDU RY	eliminated	Closing Opposition	Ilija IvaniševićⒸ , Alicia Wang , Ananya Krishna
Bucharest A	advancing	Closing Government	Aniket ChakravortyⒸ , Lucie Slamova , Michaela-Georgia Vachou-Peirantakou
Yale A	eliminated	Opening Opposition	Aniket ChakravortyⒸ , Lucie Slamova , Michaela-Georgia Vachou-Peirantakou
Hart House B	eliminated	Closing Opposition	Aniket ChakravortyⒸ , Lucie Slamova , Michaela-Georgia Vachou-Peirantakou
UoL A	advancing	Opening Government	Aniket ChakravortyⒸ , Lucie Slamova , Michaela-Georgia Vachou-Peirantakou
KCL AK	eliminated	Closing Government	Geneva RoyⒸ , Ange Qin , Guyberli van Thuijl
LSE A	advancing	Opening Opposition	Geneva RoyⒸ , Ange Qin , Guyberli van Thuijl
Harvard AM	advancing	Opening Government	Geneva RoyⒸ , Ange Qin , Guyberli van Thuijl
Aber A	eliminated	Closing Opposition	Geneva RoyⒸ , Ange Qin , Guyberli van Thuijl
TCD Phil BM	advancing	Opening Government	Amelia PotockaⒸ , Seshiran Govender , Đorđe Radosavljević
Zagreb A	advancing	Opening Opposition	Amelia PotockaⒸ , Seshiran Govender , Đorđe Radosavljević
Stanford QF	eliminated	Closing Opposition	Amelia PotockaⒸ , Seshiran Govender , Đorđe Radosavljević
Bates MB	eliminated	Closing Government	Amelia PotockaⒸ , Seshiran Govender , Đorđe Radosavljević
