Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds	Irons
1	LSE A		1st	1st	1st	1st	2nd	14	807	4	1	0
2	Bucharest A	ESL	1st	1st	3rd	1st	1st	13	807	4	0	0
3	Zagreb A	ESL	2nd	1st	2nd	1st	1st	13	807	3	2	0
4	LSE B	ESL	1st	3rd	1st	2nd	1st	12	810	3	1	0
5	MDU RY		1st	1st	1st	4th	1st	12	800	4	0	0
6	TCD Phil BM		2nd	1st	1st	1st	3rd	12	783	3	1	1
7	Yale A		1st	1st	2nd	3rd	2nd	11	809	2	2	0
8	Harvard AM		1st	2nd	1st	2nd	3rd	11	802	2	2	0
9	KCL AK		4th	1st	1st	1st	2nd	11	800	3	1	0
10	UoL A		1st	2nd	1st	3rd	2nd	11	800	2	2	0
11	Bates MB		2nd	2nd	2nd	2nd	1st	11	799	1	4	0
12	Cambridge MS		2nd	1st	4th	1st	1st	11	792	3	1	0
13	Stanford BL		1st	3rd	2nd	2nd	1st	11	791	2	2	0
14	Stanford QF		2nd	1st	2nd	2nd	2nd	11	786	1	4	0
15	Hart House B		1st	3rd	1st	3rd	1st	11	783	3	0	0
16	Aber A		1st	4th	1st	2nd	1st	11	778	3	1	0
17	Stanford HS		1st	1st	2nd	2nd	4th	10	800	2	2	0
18	UCD L&amp;H A		1st	1st	4th	3rd	1st	10	797	3	0	0
19	Cambridge AM		1st	2nd	1st	4th	2nd	10	796	2	2	0
20	LSE C	ESL	1st	2nd	3rd	1st	3rd	10	796	2	1	0
21	TCD Phil BP		3rd	1st	1st	4th	1st	10	793	3	0	0
22	Imperial 2		2nd	4th	1st	2nd	1st	10	792	2	2	0
23	EUDU CS		1st	1st	3rd	1st	4th	10	790	3	0	0
24	Stanford DL		2nd	1st	3rd	1st	3rd	10	788	2	1	0
25	Stanford AB		3rd	2nd	1st	2nd	2nd	10	788	1	3	0
26	Warsaw AM	ESL	2nd	1st	4th	2nd	1st	10	785	2	2	0
27	Bucharest B	ESL	2nd	4th	1st	1st	2nd	10	784	2	2	0
28	Exeter B		3rd	3rd	1st	2nd	1st	10	767	2	1	0
29	KCL MS		1st	2nd	4th	2nd	2nd	9	810	1	3	0
30	TCD Hist CF		3rd	1st	3rd	1st	3rd	9	789	2	0	0
31	Harvard D	Novice	2nd	3rd	1st	3rd	2nd	9	783	1	2	0
32	Cornell OP		1st	1st	4th	4th	1st	9	782	3	0	0
33	TCD Hist AH		2nd	2nd	3rd	1st	3rd	9	780	1	2	0
34	NU S	ESL	1st	3rd	2nd	3rd	2nd	9	779	1	2	0
35	UT MARA A	ESL	2nd	2nd	1st	2nd	4th	9	778	1	3	0
36=	DK Wien BE	ESL	1st	4th	1st	1st	4th	9	777	3	0	0
36=	GUU A		4th	1st	1st	1st	4th	9	777	3	0	0
38	Athabasca A		3rd	1st	4th	1st	2nd	9	775	2	1	0
39	UT MARA B	ESL	3rd	2nd	2nd	3rd	1st	9	774	1	2	0
40	Princeton IC		2nd	3rd	2nd	1st	3rd	9	772	1	2	0
41	UCD L&amp;H B		3rd	2nd	4th	1st	1st	9	769	2	1	0
42	LSE D		2nd	1st	2nd	3rd	3rd	9	767	1	2	0
43	St Andrews A		4th	2nd	2nd	2nd	1st	9	764	1	3	0
44	UBB B	ESL, Novice	3rd	3rd	2nd	1st	2nd	9	752	1	2	0
45	Hart House C		1st	2nd	3rd	4th	2nd	8	787	1	2	0
46	Harvard GS		2nd	2nd	3rd	3rd	2nd	8	782	0	3	0
